feature_name,source_or_derived,source_column,mechanism_group,preprocess_policy,mutual_exclusion_group_id,target_blind
board_day_amount_rank,source,board_day_amount_rank,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,,True
board_day_turnover_rank,source,board_day_turnover_rank,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,,True
board_day_volume_rank,source,board_day_volume_rank,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,,True
break_upper_shadow_ratio,source,break_upper_shadow_ratio,D1_PRICE_ACTION,FOLD_CLIP_Z,,True
break_lower_shadow_ratio,source,break_lower_shadow_ratio,D1_PRICE_ACTION,FOLD_CLIP_Z,,True
break_amount_ratio_vs_board_days,source,break_amount_ratio_vs_board_days,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,ME01_BREAK_ACTIVITY_RATIO,True
break_opened_from_limit_up,source,break_opened_from_limit_up,D1_PRICE_ACTION,RAW_BINARY,,True
consecutive_days_below_ma5,source,consecutive_days_below_ma5,D1_MA_POSITION,RAW_ORDINAL,ME06_MA5_POSITION,True
consecutive_days_below_ma10,source,consecutive_days_below_ma10,D1_MA_POSITION,RAW_ORDINAL,ME07_MA10_POSITION,True
d1_close_location,source,d1_close_location,D1_PRICE_ACTION,FOLD_CLIP_Z,,True
amount_above_d1_close_ratio,source,amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME02_ABOVE_CLOSE_CHIP,True
high_zone_amount_ratio,source,high_zone_amount_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,True
late_day_sell_amount_ratio,source,late_day_sell_amount_ratio,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,True
d1_vwap_to_close_gap,source,d1_vwap_to_close_gap,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,True
last_board_day_in_pool,source,last_board_day_in_pool,POOL_MEMBERSHIP,RAW_BINARY,,True
pool_consecutive_count_last_board,source,pool_consecutive_count_last_board,POOL_MEMBERSHIP,RAW_ORDINAL,,True
d1_close_above_ma5,source,d1_close_above_ma5,D1_MA_POSITION,RAW_BINARY,ME06_MA5_POSITION,True
d1_close_above_ma10,source,d1_close_above_ma10,D1_MA_POSITION,RAW_BINARY,ME07_MA10_POSITION,True
d1_true_reclaim_ma10,source,d1_true_reclaim_ma10,D1_MA_POSITION,RAW_BINARY,,True
d1_close_to_ma5_bucket,source,d1_close_to_ma5_bucket,D1_MA_POSITION,BUCKET_SENSITIVITY_ONLY,,True
d1_open_to_close_bucket,source,d1_open_to_close_bucket,D1_PRICE_ACTION,BUCKET_SENSITIVITY_ONLY,,True
