source_column,admission_status,reason_codes,mechanism_group,target_blind,notes
event_id,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
code,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
name,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
signal_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
break_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
board_streak_before_break,DERIVE_ONLY,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,BOARD_HISTORY,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
days_since_break,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
days_since_last_limit_up,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
repair_attempt_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
recognition_score,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
break_open,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_open (ED01)
break_high,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_high (ED02)
break_low,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_low (ED03)
break_close,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_close (ED04)
break_prev_close,DERIVE_ONLY,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
break_intraday_range,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,D1_PRICE_ACTION,True,精确重复别名: canonical=d1_intraday_range (ED05)
break_high_to_close_drawdown,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,D1_PRICE_ACTION,True,精确重复别名: canonical=d1_high_to_close_drawdown_raw (ED06)
break_close_location,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,D1_PRICE_ACTION,True,精确重复别名: canonical=d1_close_location (ED07)
break_volume,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_volume (ED08)
break_amount,EXCLUDE_EXACT_DUPLICATE_ALIAS,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,True,精确重复别名: canonical=d1_amount (ED09)
break_turnover_ratio,EXCLUDE_ALL_MISSING,ALL_MISSING,D1_VOLUME_ACTIVITY,True,
d1_open,DERIVE_ONLY,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_high,DERIVE_ONLY,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
