source_column,admission_status,dtype,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,is_binary,binary_value_counts,binary_minority_count,is_absolute_scale,is_bucket,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,reason_codes,mechanism_group,preprocess_policy,target_blind
board_streak_before_break,DERIVE_ONLY,int64,333,0,0.0,2,2,284,0.852853,2,3,False,,,True,False,,board_streak_before_break,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,BOARD_HISTORY,RAW_ORDINAL,True
recent_limit_up_count_10d,PRIMARY_RAW,int64,333,0,0.0,6,2,195,0.585586,2,8,False,,,False,False,,recent_limit_up_count_10d,,DEFAULT_PRIMARY,BOARD_HISTORY,RAW_ORDINAL,True
recent_limit_up_count_20d,PRIMARY_RAW,int64,333,0,0.0,10,2,142,0.426426,2,11,False,,,False,False,,recent_limit_up_count_20d,,DEFAULT_PRIMARY,BOARD_HISTORY,RAW_ORDINAL,True
recent_pool_appearance_count_10d,PRIMARY_RAW,int64,333,0,0.0,7,2,173,0.51952,1,8,False,,,False,False,,recent_pool_appearance_count_10d,,DEFAULT_PRIMARY,BOARD_HISTORY,RAW_ORDINAL,True
recent_pool_appearance_count_20d,PRIMARY_RAW,int64,333,0,0.0,10,2,126,0.378378,1,10,False,,,False,False,,recent_pool_appearance_count_20d,,DEFAULT_PRIMARY,BOARD_HISTORY,RAW_ORDINAL,True
max_board_streak_20d,PRIMARY_RAW,int64,333,0,0.0,4,2,263,0.78979,2,8,False,,,False,False,,max_board_streak_20d,,DEFAULT_PRIMARY,BOARD_HISTORY,RAW_ORDINAL,True
board_day_amount_rank,SENSITIVITY_RAW,float64,299,34,0.102102,89,11.0,11,0.033033,1.0,127.0,False,,,False,False,,board_day_amount_rank,,MISSING_LE_15PCT,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,True
board_day_turnover_rank,SENSITIVITY_RAW,float64,299,34,0.102102,89,3.0,13,0.039039,1.0,126.0,False,,,False,False,,board_day_turnover_rank,,MISSING_LE_15PCT,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,True
board_day_volume_rank,SENSITIVITY_RAW,float64,324,9,0.027027,101,10.0,11,0.033033,1.0,126.0,False,,,False,False,,board_day_volume_rank,,MISSING_LE_15PCT,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,True
break_open,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,318,3.88,3,0.009009,1.49,558.2,False,,,False,False,ED01,d1_open,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_high,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,317,3.72,2,0.006006,1.53,594.0,False,,,False,False,ED02,d1_high,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_low,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,321,19.0,2,0.006006,1.34,553.18,False,,,False,False,ED03,d1_low,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_close,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,327,3.99,3,0.009009,1.35,580.0,False,,,False,False,ED04,d1_close,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_prev_close,DERIVE_ONLY,float64,333,0,0.0,314,3.85,2,0.006006,1.43,570.58,False,,,True,False,,break_prev_close,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_open_return,PRIMARY_RAW,float64,333,0,0.0,318,0.0,16,0.048048,-0.100494233937397,0.1004514672686232,False,,,False,False,,break_open_return,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_high_return,PRIMARY_RAW,float64,333,0,0.0,323,0.0,6,0.018018,-0.0999719180005617,0.101010101010101,False,,,False,False,,break_high_return,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_close_return,PRIMARY_RAW,float64,333,0,0.0,331,0.0,3,0.009009,-0.1054938174988261,0.0980742252263742,False,,,False,False,,break_close_return,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_intraday_range,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,331,0.0781990521327014,2,0.006006,0.0,0.2001853568118627,False,,,False,False,ED05,d1_intraday_range,,EXACT_DUP_ALIAS,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_high_to_close_drawdown,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,329,0.0,3,0.009009,0.0,0.173044925124792,False,,,False,False,ED06,d1_high_to_close_drawdown_raw,,EXACT_DUP_ALIAS,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_upper_shadow_ratio,SENSITIVITY_RAW,float64,331,2,0.006006,296,0.0,35,0.105105,0.0,1.0,False,,,False,False,,break_upper_shadow_ratio,,MISSING_LE_15PCT,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_lower_shadow_ratio,SENSITIVITY_RAW,float64,331,2,0.006006,291,0.0,40,0.12012,0.0,0.8333333333333338,False,,,False,False,,break_lower_shadow_ratio,,MISSING_LE_15PCT,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_close_location,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,331,2,0.006006,306,0.0,25,0.075075,0.0,1.0,False,,,False,False,ED07,d1_close_location,,EXACT_DUP_ALIAS,D1_PRICE_ACTION,FOLD_CLIP_Z,True
break_volume,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,333,1511520.0,1,0.003003,27094.0,352760547.0,False,,,False,False,ED08,d1_volume,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_amount,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,333,576719965.3734,1,0.003003,86836270.0,35140741684.3214,False,,,False,False,ED09,d1_amount,,EXACT_DUP_ALIAS,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
break_volume_ratio_vs_board_days,PRIMARY_RAW,float64,333,0,0.0,333,1.9557475120024888,1,0.003003,0.0851824177252201,32.94142699037559,False,,,False,False,,break_volume_ratio_vs_board_days,ME01_BREAK_ACTIVITY_RATIO,ME_CANONICAL|DEFAULT_PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
break_amount_ratio_vs_board_days,SENSITIVITY_RAW,float64,331,2,0.006006,331,2.027092477077651,1,0.003003,0.0881861955582029,36.04867930179479,False,,,False,False,,break_amount_ratio_vs_board_days,ME01_BREAK_ACTIVITY_RATIO,MISSING_LE_15PCT|ME_ALTERNATIVE,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
break_turnover_ratio,EXCLUDE_ALL_MISSING,float64,0,333,1.0,0,,0,0.0,,,False,,,False,False,,break_turnover_ratio,,ALL_MISSING,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
break_touched_limit_up,PRIMARY_RAW,bool,333,0,0.0,2,False,282,0.846847,False,True,True,"False:282,True:51",51.0,False,False,,break_touched_limit_up,,BINARY|DEFAULT_PRIMARY,D1_PRICE_ACTION,RAW_BINARY,True
break_opened_from_limit_up,SENSITIVITY_RAW,bool,333,0,0.0,2,False,325,0.975976,False,True,True,"False:325,True:8",8.0,False,False,,break_opened_from_limit_up,,BINARY|BINARY_MINORITY_LT_10,D1_PRICE_ACTION,RAW_BINARY,True
d1_open,DERIVE_ONLY,float64,333,0,0.0,318,3.88,3,0.009009,1.49,558.2,False,,,True,False,ED01,d1_open,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_high,DERIVE_ONLY,float64,333,0,0.0,317,3.72,2,0.006006,1.53,594.0,False,,,True,False,ED02,d1_high,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_low,DERIVE_ONLY,float64,333,0,0.0,321,19.0,2,0.006006,1.34,553.18,False,,,True,False,ED03,d1_low,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_close,DERIVE_ONLY,float64,333,0,0.0,327,3.99,3,0.009009,1.35,580.0,False,,,True,False,ED04,d1_close,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_volume,DERIVE_ONLY,float64,333,0,0.0,333,1511520.0,1,0.003003,27094.0,352760547.0,False,,,True,False,ED08,d1_volume,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_amount,DERIVE_ONLY,float64,333,0,0.0,333,576719965.3734,1,0.003003,86836270.0,35140741684.3214,False,,,True,False,ED09,d1_amount,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_ma5,DERIVE_ONLY,float64,333,0,0.0,330,10.64,2,0.006006,1.266,520.268,False,,,True,False,,d1_ma5,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_ma10,DERIVE_ONLY,float64,333,0,0.0,333,3.438,1,0.003003,1.226,484.744,False,,,True,False,,d1_ma10,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_ma20,DERIVE_ONLY,float64,333,0,0.0,333,3.475,1,0.003003,1.29,451.72,False,,,True,False,,d1_ma20,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_close_to_ma5_raw,PRIMARY_RAW,float64,333,0,0.0,333,0.0944570135746607,1,0.003003,-0.0057244744744744,0.1974965229485394,False,,,False,False,,d1_close_to_ma5_raw,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_low_to_ma5_raw,PRIMARY_RAW,float64,333,0,0.0,333,0.0322398190045247,1,0.003003,-0.0251806204844878,0.161654135338346,False,,,False,False,,d1_low_to_ma5_raw,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_high_to_ma5_raw,PRIMARY_RAW,float64,333,0,0.0,332,0.1363636363636364,2,0.006006,0.0258626208309327,0.2411125052279379,False,,,False,False,,d1_high_to_ma5_raw,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_close_to_ma10_raw,PRIMARY_RAW,float64,333,0,0.0,333,0.12565445026178,1,0.003003,-0.0835293813500168,0.3800286421038927,False,,,False,False,,d1_close_to_ma10_raw,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_low_to_ma10_raw,PRIMARY_RAW,float64,333,0,0.0,333,0.0616637579988363,1,0.003003,-0.0977482484940928,0.3258957305299292,False,,,False,False,,d1_low_to_ma10_raw,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_close_to_ma20,PRIMARY_RAW,float64,333,0,0.0,333,0.1136690647482014,1,0.003003,-0.1735344516068868,0.6589885604844972,False,,,False,False,,d1_close_to_ma20,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_ma5_slope,PRIMARY_RAW,float64,333,0,0.0,333,0.0315052508751458,1,0.003003,-0.0623162180502149,0.095079335679447,False,,,False,False,,d1_ma5_slope,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
d1_ma10_slope,PRIMARY_RAW,float64,333,0,0.0,333,0.0138602182247127,1,0.003003,-0.0282864822769863,0.0691270104710461,False,,,False,False,,d1_ma10_slope,,DEFAULT_PRIMARY,D1_MA_POSITION,FOLD_CLIP_Z,True
deprecated_d1_reclaimed_ma5_v01,EXCLUDE_DEPRECATED,bool,333,0,0.0,2,True,330,0.990991,False,True,False,,,False,False,ED10,d1_close_above_ma5,,DEPRECATED,D1_MA_POSITION,FOLD_CLIP_Z,True
