event_id,signal_date,code,board_group,stage1_score,stage1_rank,top1,top2,top3,d2_date,d3_date,d2_open_daily,d3_high_daily,target7,positive_non_target,loss,severe_loss,raw_repair_return,capped_return_7
603061_2026-07-01,2026-07-01,603061,BOARD2,0.59452688582,1,True,True,True,2026-07-02,2026-07-03,485,489.1,0,1,0,0,0.00845360824742,0.00845360824742
003043_2026-07-01,2026-07-01,003043,BOARD2,0.580816707842,2,False,True,True,2026-07-02,2026-07-03,97.08,103.88,1,0,0,0,0.0700453234446,0.07
600707_2026-07-01,2026-07-01,600707,BOARD2,0.579282384898,3,False,False,True,2026-07-02,2026-07-03,16.4,16.03,0,0,1,0,-0.0225609756098,-0.0225609756098
600378_2026-07-01,2026-07-01,600378,BOARD2,0.576577661297,4,False,False,False,2026-07-02,2026-07-03,76.81,85.8,1,0,0,0,0.117042051816,0.07
001229_2026-07-01,2026-07-01,001229,BOARD2,0.571822144493,5,False,False,False,2026-07-02,2026-07-03,36.17,38.63,0,1,0,0,0.0680121647774,0.0680121647774
603950_2026-07-01,2026-07-01,603950,BOARD2,0.57131617151,6,False,False,False,2026-07-02,2026-07-03,82.79,86.94,0,1,0,0,0.0501268269115,0.0501268269115
603983_2026-07-01,2026-07-01,603983,BOARD2,0.568626531091,7,False,False,False,2026-07-02,2026-07-03,28.5,29.43,0,1,0,0,0.0326315789474,0.0326315789474
001237_2026-07-01,2026-07-01,001237,BOARD2,0.561512527006,8,False,False,False,2026-07-02,2026-07-03,72.01,69.83,0,0,1,0,-0.0302735731148,-0.0302735731148
000017_2026-07-01,2026-07-01,000017,BOARD2,0.558992359051,9,False,False,False,2026-07-02,2026-07-03,6.08,6.25,0,1,0,0,0.0279605263158,0.0279605263158
600363_2026-07-01,2026-07-01,600363,BOARD2,0.55723966346,10,False,False,False,2026-07-02,2026-07-03,35.22,37.2,0,1,0,0,0.0562180579216,0.0562180579216
002208_2026-07-01,2026-07-01,002208,BOARD2,0.554704065631,11,False,False,False,2026-07-02,2026-07-03,19.2,19.98,0,1,0,0,0.040625,0.040625
603459_2026-07-01,2026-07-01,603459,BOARD2,0.553754974659,12,False,False,False,2026-07-02,2026-07-03,99.63,101.5,0,1,0,0,0.0187694469537,0.0187694469537
603928_2026-07-01,2026-07-01,603928,BOARD3,0.55244570063,13,False,False,False,2026-07-02,2026-07-03,13.42,15.87,1,0,0,0,0.182563338301,0.07
