section,metric,estimate,valid_resamples,p2.5,p50,p97.5,direction_probability,min,median,max
BOOTSTRAP,TOP2_MINUS_TOP3_CAPPED,0.00043540234307,20000,-0.00580419654316,0.000375083940677,0.00695702425596,0.54525,,,
BOOTSTRAP,TOP2_MINUS_UNIVERSE_CAPPED,-0.00402120923934,20000,-0.0158372179238,-0.00388011942483,0.0067948929138,0.24765,,,
BOOTSTRAP,TOP2_TARGET7_MINUS_UNIVERSE,0.00287785007801,20000,-0.0989072178775,0.0023864706359,0.102644968214,0.51995,,,
BOOTSTRAP,TOP2_MINUS_TOP3_NEGATIVE_DATE,0.047619047619,20000,0,0.047619047619,0.142857142857,0.353,,,
BOOTSTRAP,TOP2_MINUS_TOP3_LE_MINUS_5,0.047619047619,20000,0,0.047619047619,0.142857142857,0.35945,,,
LODO,TOP2_MINUS_TOP3_CAPPED,,23,,,,0.826086956522,-0.00143373705269,0.000457172460223,0.00165701782695
LODO,TOP2_MINUS_UNIVERSE_CAPPED,,23,,,,0,-0.00592300012559,-0.00420399147749,-0.00118219798161
LODO,RANK1_MINUS_UNIVERSE_CAPPED,,23,,,,0.130434782609,-0.00595421027329,-0.00284078436161,0.00329955171427
LODO,RANK2_MINUS_UNIVERSE_CAPPED,,23,,,,0,-0.00844181619082,-0.00574130905453,-0.00102807204707
LODO,TOP2_TAIL_NO_WORSE,,23,,,,1,1,1,1
