test_date,matured_rows,matured_dates,risk_meta_dates,risk_meta_rows,risk_meta_loss_rows,risk_meta_nonloss_rows,risk_meta_target7_rows,weighted_loss_prevalence,self_label_leakage_rows,current_test_leakage_rows,feature_count,l2,threshold,july_rows_accessed
2026-06-03,146,18,18,50,10,40,21,0.185185185185,0,0,3,0.3,0.5,0
2026-06-04,150,19,19,53,11,42,22,0.19298245614,0,0,3,0.3,0.5,0
2026-06-05,152,20,20,55,11,44,24,0.183333333333,0,0,3,0.3,0.5,0
2026-06-08,159,21,21,58,13,45,25,0.206349206349,0,0,3,0.3,0.5,0
2026-06-09,165,22,22,61,14,47,25,0.212121212121,0,0,3,0.3,0.5,0
2026-06-10,171,23,23,64,15,49,26,0.217391304348,0,0,3,0.3,0.5,0
2026-06-11,174,24,24,67,17,50,26,0.236111111111,0,0,3,0.3,0.5,0
2026-06-12,183,25,25,70,18,52,27,0.24,0,0,3,0.3,0.5,0
2026-06-15,190,26,26,73,18,55,28,0.230769230769,0,0,3,0.3,0.5,0
2026-06-16,200,27,27,76,18,58,29,0.222222222222,0,0,3,0.3,0.5,0
2026-06-17,208,28,28,79,19,60,30,0.22619047619,0,0,3,0.3,0.5,0
2026-06-18,211,29,29,82,19,63,32,0.218390804598,0,0,3,0.3,0.5,0
2026-06-22,218,30,30,85,20,65,34,0.222222222222,0,0,3,0.3,0.5,0
2026-06-23,235,31,31,88,21,67,36,0.225806451613,0,0,3,0.3,0.5,0
2026-06-24,250,32,32,91,23,68,36,0.239583333333,0,0,3,0.3,0.5,0
2026-06-25,257,33,33,94,24,70,36,0.242424242424,0,0,3,0.3,0.5,0
2026-06-26,271,34,34,97,23,74,38,0.225490196078,0,0,3,0.3,0.5,0
