event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
600280_2026-06-03,2026-06-03,600280,7,2026-06-05,0.661570074138,1,True,1,0.142857142857,0.142857142857,True,0.1853558012,False,1,0,1,-0.0125313283208,-0.0125313283208
002579_2026-06-03,2026-06-03,002579,7,2026-06-05,0.648088228314,2,True,0.833333333333,0.642857142857,0.535714285714,True,0.184536137564,False,2,0,0,0.0540254237288,0.0540254237288
001210_2026-06-03,2026-06-03,001210,7,2026-06-05,0.640125977555,3,True,0.666666666667,0.357142857143,0.238095238095,True,0.185427557802,False,3,0,1,-0.244557534634,-0.244557534634
002404_2026-06-03,2026-06-03,002404,7,2026-06-05,0.632443506963,4,True,0.5,0.107142857143,0.0535714285714,False,,False,4,0,0,0.0299319727891,0.0299319727891
000055_2026-06-03,2026-06-03,000055,7,2026-06-05,0.600695323283,5,True,0.333333333333,0.892857142857,0.297619047619,False,,False,5,0,0,0,0
002421_2026-06-03,2026-06-03,002421,7,2026-06-05,0.592765147736,6,True,0.166666666667,0.392857142857,0.0654761904762,False,,False,6,0,0,0.0698151950719,0.0698151950719
603045_2026-06-03,2026-06-03,603045,7,2026-06-05,0.588764385877,7,True,0,0.714285714286,0,False,,False,7,1,0,0.154815115807,0.07
600121_2026-06-04,2026-06-04,600121,6,2026-06-08,0.65292892361,1,True,1,0.75,0.75,True,0.188603248864,False,1,0,1,-0.00709219858156,-0.00709219858156
600487_2026-06-04,2026-06-04,600487,6,2026-06-08,0.640526468833,2,True,0.8,0.125,0.1,True,0.194813270248,False,2,0,0,0.0659375,0.0659375
002137_2026-06-04,2026-06-04,002137,6,2026-06-08,0.621397884231,3,True,0.6,0.541666666667,0.325,True,0.193085176471,False,3,0,0,0.0068359375,0.0068359375
000700_2026-06-04,2026-06-04,000700,6,2026-06-08,0.612046066852,4,True,0.4,0.291666666667,0.116666666667,False,,False,4,0,1,-0.0651340996169,-0.0651340996169
603311_2026-06-04,2026-06-04,603311,6,2026-06-08,0.608505916141,5,True,0.2,0.25,0.05,False,,False,5,0,0,0.0277923439958,0.0277923439958
600936_2026-06-04,2026-06-04,600936,6,2026-06-08,0.582327156051,6,True,0,0.791666666667,0,False,,False,6,0,1,-0.0455284552846,-0.0455284552846
600688_2026-06-05,2026-06-05,600688,6,2026-06-09,0.659782465301,1,True,1,0.166666666667,0.166666666667,True,0.184611426883,False,1,0,0,0.00302114803625,0.00302114803625
