model,factor,fold_count,mean,std,median,p25,p75,min,max,positive_count,negative_count,near_zero_count,dominant_sign,dominant_sign_consistency
M1,HIGHZONE,9,0.021810,0.197352,-0.000368,-0.113157,0.086026,-0.219455,0.490546,4,5,0,-,0.555556
M1,LATESELL,9,-0.232774,0.053152,-0.229462,-0.280612,-0.182272,-0.309464,-0.148106,0,9,0,-,1.000000
M1,OPEN,9,0.115216,0.169386,0.183884,0.046641,0.224478,-0.317069,0.240832,8,1,0,+,0.888889
M1,RESET,9,0.097346,0.083030,0.080494,0.063353,0.099908,-0.004148,0.314691,8,1,0,+,0.888889
M1,INTERCEPT,9,-0.690391,0.118430,-0.666187,-0.679857,-0.637363,-1.001601,-0.586122,0,9,0,-,1.000000
M2,DAMAGE7,9,0.130895,0.065048,0.141833,0.071025,0.171986,0.042149,0.256372,9,0,0,+,1.000000
M2,HIGHZONE,9,0.011189,0.180716,-0.017523,-0.128885,0.104574,-0.231655,0.384414,4,5,0,-,0.555556
M2,LATESELL,9,-0.238585,0.058921,-0.228531,-0.300418,-0.182535,-0.317349,-0.151882,0,9,0,-,1.000000
M2,MOM7,9,0.076939,0.101871,0.095648,0.028618,0.145241,-0.139488,0.211109,7,2,0,+,0.777778
M2,OPEN,9,0.109248,0.157652,0.185109,0.059398,0.194295,-0.305496,0.217862,8,1,0,+,0.888889
M2,REGIME,9,0.039384,0.153661,0.051967,-0.080744,0.079272,-0.152425,0.370373,5,4,0,+,0.555556
M2,RESET,9,0.118422,0.097895,0.107531,0.070771,0.131864,0.011031,0.366807,9,0,0,+,1.000000
M2,INTERCEPT,9,-0.698343,0.134377,-0.651558,-0.691754,-0.644449,-1.058627,-0.574310,0,9,0,-,1.000000
