fold_id,test_signal_date,model,factor,coefficient
fold_01,2026-06-17,M1,INTERCEPT,-1.001601
fold_01,2026-06-17,M1,OPEN,-0.317069
fold_01,2026-06-17,M1,RESET,0.314691
fold_01,2026-06-17,M1,HIGHZONE,0.490546
fold_01,2026-06-17,M1,LATESELL,-0.256559
fold_01,2026-06-17,M2,INTERCEPT,-1.058627
fold_01,2026-06-17,M2,OPEN,-0.305496
fold_01,2026-06-17,M2,RESET,0.366807
fold_01,2026-06-17,M2,HIGHZONE,0.384414
fold_01,2026-06-17,M2,LATESELL,-0.261068
fold_01,2026-06-17,M2,MOM7,0.211109
fold_01,2026-06-17,M2,DAMAGE7,0.071025
fold_01,2026-06-17,M2,REGIME,0.370373
fold_02,2026-06-18,M1,INTERCEPT,-0.591828
fold_02,2026-06-18,M1,OPEN,0.046641
fold_02,2026-06-18,M1,RESET,-0.004148
fold_02,2026-06-18,M1,HIGHZONE,0.035631
fold_02,2026-06-18,M1,LATESELL,-0.309464
fold_02,2026-06-18,M2,INTERCEPT,-0.613703
fold_02,2026-06-18,M2,OPEN,0.059398
fold_02,2026-06-18,M2,RESET,0.011031
fold_02,2026-06-18,M2,HIGHZONE,0.027444
fold_02,2026-06-18,M2,LATESELL,-0.317349
fold_02,2026-06-18,M2,MOM7,0.043622
fold_02,2026-06-18,M2,DAMAGE7,0.147313
fold_02,2026-06-18,M2,REGIME,0.176514
fold_03,2026-06-22,M1,INTERCEPT,-0.738537
fold_03,2026-06-22,M1,OPEN,0.033408
fold_03,2026-06-22,M1,RESET,0.058646
fold_03,2026-06-22,M1,HIGHZONE,0.126904
fold_03,2026-06-22,M1,LATESELL,-0.280612
fold_03,2026-06-22,M2,INTERCEPT,-0.736533
fold_03,2026-06-22,M2,OPEN,0.053701
fold_03,2026-06-22,M2,RESET,0.020679
fold_03,2026-06-22,M2,HIGHZONE,0.186875
fold_03,2026-06-22,M2,LATESELL,-0.300418
fold_03,2026-06-22,M2,MOM7,-0.139488
fold_03,2026-06-22,M2,DAMAGE7,0.091913
fold_03,2026-06-22,M2,REGIME,-0.057950
fold_04,2026-06-23,M1,INTERCEPT,-0.673342
fold_04,2026-06-23,M1,OPEN,0.177217
fold_04,2026-06-23,M1,RESET,0.080494
fold_04,2026-06-23,M1,HIGHZONE,0.086026
fold_04,2026-06-23,M1,LATESELL,-0.294849
fold_04,2026-06-23,M2,INTERCEPT,-0.666064
fold_04,2026-06-23,M2,OPEN,0.194295
fold_04,2026-06-23,M2,RESET,0.070771
fold_04,2026-06-23,M2,HIGHZONE,0.104574
fold_04,2026-06-23,M2,LATESELL,-0.314264
fold_04,2026-06-23,M2,MOM7,-0.003291
fold_04,2026-06-23,M2,DAMAGE7,0.187977
fold_04,2026-06-23,M2,REGIME,-0.080744
fold_05,2026-06-24,M1,INTERCEPT,-0.586122
fold_05,2026-06-24,M1,OPEN,0.224478
fold_05,2026-06-24,M1,RESET,0.063353
fold_05,2026-06-24,M1,HIGHZONE,-0.000368
fold_05,2026-06-24,M1,LATESELL,-0.148106
fold_05,2026-06-24,M2,INTERCEPT,-0.574310
fold_05,2026-06-24,M2,OPEN,0.192613
fold_05,2026-06-24,M2,RESET,0.107531
fold_05,2026-06-24,M2,HIGHZONE,-0.017523
fold_05,2026-06-24,M2,LATESELL,-0.151882
fold_05,2026-06-24,M2,MOM7,0.181161
fold_05,2026-06-24,M2,DAMAGE7,0.256372
fold_05,2026-06-24,M2,REGIME,-0.104330
fold_06,2026-06-25,M1,INTERCEPT,-0.666187
fold_06,2026-06-25,M1,OPEN,0.231270
fold_06,2026-06-25,M1,RESET,0.115176
fold_06,2026-06-25,M1,HIGHZONE,-0.048250
fold_06,2026-06-25,M1,LATESELL,-0.182272
fold_06,2026-06-25,M2,INTERCEPT,-0.644449
fold_06,2026-06-25,M2,OPEN,0.206693
fold_06,2026-06-25,M2,RESET,0.143242
fold_06,2026-06-25,M2,HIGHZONE,-0.062903
fold_06,2026-06-25,M2,LATESELL,-0.182535
fold_06,2026-06-25,M2,MOM7,0.129831
fold_06,2026-06-25,M2,DAMAGE7,0.171986
fold_06,2026-06-25,M2,REGIME,-0.152425
fold_07,2026-06-26,M1,INTERCEPT,-0.637363
fold_07,2026-06-26,M1,OPEN,0.216284
fold_07,2026-06-26,M1,RESET,0.082757
fold_07,2026-06-26,M1,HIGHZONE,-0.113157
fold_07,2026-06-26,M1,LATESELL,-0.180671
fold_07,2026-06-26,M2,INTERCEPT,-0.648088
fold_07,2026-06-26,M2,OPEN,0.185109
fold_07,2026-06-26,M2,RESET,0.131864
