event_id,code,name,signal_date,break_date,board_streak_before_break,v02_candidate_status,v02_exclusion_reason,v02_data_quality_reason,daily_cache_file_exists,d1_date_exists,d1_ohlc_valid,prior_trade_days,daily_history_sufficient,d1_daily_complete,minute_cache_file_exists,expected_bars,actual_bars,first_timestamp,last_timestamp,missing_bars,duplicate_bars,invalid_price_volume,d1_minute_complete,missing_reason,expected_d2_date,expected_d3_date,label_d2_date,label_d3_date,daily_label_source_d2,daily_label_source_d3,d2_open_daily,d3_high_daily,d3_close_daily,daily_d2open_to_d3high_return,target7_daily_d2open_d3high,tail_loss_daily_5pct,daily_label_complete,daily_label_reason,d1_feature_complete,recoverable,recovered,fully_complete
000980_2026-05-06,000980,众泰汽车,2026-05-06,2026-05-06,2,CANDIDATE,nan,nan,True,True,True,248,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,2.55,2.72,2.64,0.06666666666666687,False,False,True,ok,True,False,False,True
002192_2026-05-06,002192,融捷股份,2026-05-06,2026-05-06,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,True,False,True,248,True,True,True,48,0,,,48,0,0,False,d1_date_missing,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,111.18,108.66,99.1,-0.02266594711279013,False,True,True,ok,False,False,False,False
002645_2026-05-06,002645,华宏科技,2026-05-06,2026-05-06,2,CANDIDATE,nan,nan,True,True,True,248,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,26.23,27.58,27.38,0.05146778497903148,False,False,True,ok,True,False,False,True
002842_2026-05-06,002842,翔鹭钨业,2026-05-06,2026-05-06,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-06 数据,True,False,True,223,True,True,True,48,0,,,48,0,0,False,d1_date_missing,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,39.5,38.91,37.55,-0.014936708860759595,False,False,True,ok,False,False,False,False
600714_2026-05-06,600714,金瑞矿业,2026-05-06,2026-05-06,2,CANDIDATE,nan,nan,True,True,True,248,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,21.44,23.53,23.1,0.09748134328358216,True,False,True,ok,True,False,False,True
605099_2026-05-06,605099,共创草坪,2026-05-06,2026-05-06,2,CANDIDATE,nan,nan,True,True,True,276,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,49.29,52.5,50.31,0.06512477175897757,False,False,True,ok,True,False,False,True
000402_2026-05-07,000402,金 融 街,2026-05-07,2026-05-07,3,LABEL_UNAVAILABLE,missing_future_label,5min 未来交易日不足 2 个 (可用 0),True,True,True,285,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,3.33,,,,False,False,False,d3_high_invalid(2026-05-11)|d3_close_invalid(2026-05-11),True,False,False,False
000553_2026-05-07,000553,安道麦A,2026-05-07,2026-05-07,2,LABEL_UNAVAILABLE,missing_future_label,5min 未来交易日不足 2 个 (可用 0),True,True,True,285,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,7.31,,,,False,False,False,d3_high_invalid(2026-05-11)|d3_close_invalid(2026-05-11),True,False,False,False
000783_2026-05-07,000783,长江证券,2026-05-07,2026-05-07,2,QUALITY_FAILED,missing_minute_data,5min 无 2026-05-07 数据,True,False,True,285,True,True,True,48,0,,,48,0,0,False,d1_date_missing,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,8.33,9.04,8.76,0.08523409363745493,True,False,True,ok,False,False,False,False
001316_2026-05-07,001316,润贝航科,2026-05-07,2026-05-07,2,LABEL_UNAVAILABLE,missing_future_label,5min 未来交易日不足 2 个 (可用 0),True,True,True,249,True,True,True,48,48,09:35,15:00,0,0,0,True,none,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,59.27,63.57,62.36,0.07254935043023436,True,False,True,ok,True,False,False,True
