section,metric,value
reproduction,business_rows,349
reproduction,candidate_rows,333
reproduction,differing_rows,16
reproduction,frozen_rows,333
reproduction,candidate_signal_dates,42
reproduction,frozen_signal_dates,42
reproduction,exact_event_id_match,True
reproduction,duplicate_event_ids_in_candidate,0
universe,candidate_status_QUALITY_FAILED,92
universe,candidate_status_CANDIDATE,49
universe,candidate_status_LABEL_UNAVAILABLE,5
universe,rows,146
universe,signal_dates,18
universe,unique_stocks,137
universe,board_streak_2_count,116
universe,board_streak_3_count,30
coverage_before,DAILY_COMPLETE,146
coverage_before,MINUTE_COMPLETE,44
coverage_before,LABEL_COMPLETE,142
coverage_before,D1_FEATURE_COMPLETE,44
coverage_before,FULLY_COMPLETE,40
coverage_after,DAILY_COMPLETE,146
coverage_after,MINUTE_COMPLETE,44
coverage_after,LABEL_COMPLETE,142
coverage_after,D1_FEATURE_COMPLETE,44
coverage_after,FULLY_COMPLETE,40
cross_tab_before,DAILY_COMPLETE+LABEL_COMPLETE,102
cross_tab_before,D1_FEATURE_COMPLETE+DAILY_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,40
cross_tab_before,D1_FEATURE_COMPLETE+DAILY_COMPLETE+MINUTE_COMPLETE,4
cross_tab_before,D1_FEATURE_COMPLETE,0
cross_tab_before,D1_FEATURE_COMPLETE+DAILY_COMPLETE,0
cross_tab_before,D1_FEATURE_COMPLETE+DAILY_COMPLETE+LABEL_COMPLETE,0
cross_tab_before,D1_FEATURE_COMPLETE+LABEL_COMPLETE,0
cross_tab_before,D1_FEATURE_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_before,D1_FEATURE_COMPLETE+MINUTE_COMPLETE,0
cross_tab_before,DAILY_COMPLETE,0
cross_tab_before,DAILY_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_before,DAILY_COMPLETE+MINUTE_COMPLETE,0
cross_tab_before,LABEL_COMPLETE,0
cross_tab_before,LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_before,MINUTE_COMPLETE,0
cross_tab_before,NONE_COMPLETE,0
cross_tab_after,DAILY_COMPLETE+LABEL_COMPLETE,102
cross_tab_after,D1_FEATURE_COMPLETE+DAILY_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,40
cross_tab_after,D1_FEATURE_COMPLETE+DAILY_COMPLETE+MINUTE_COMPLETE,4
cross_tab_after,D1_FEATURE_COMPLETE,0
cross_tab_after,D1_FEATURE_COMPLETE+DAILY_COMPLETE,0
cross_tab_after,D1_FEATURE_COMPLETE+DAILY_COMPLETE+LABEL_COMPLETE,0
cross_tab_after,D1_FEATURE_COMPLETE+LABEL_COMPLETE,0
cross_tab_after,D1_FEATURE_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_after,D1_FEATURE_COMPLETE+MINUTE_COMPLETE,0
cross_tab_after,DAILY_COMPLETE,0
cross_tab_after,DAILY_COMPLETE+LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_after,DAILY_COMPLETE+MINUTE_COMPLETE,0
cross_tab_after,LABEL_COMPLETE,0
cross_tab_after,LABEL_COMPLETE+MINUTE_COMPLETE,0
cross_tab_after,MINUTE_COMPLETE,0
cross_tab_after,NONE_COMPLETE,0
missing_pattern,rows,102
missing_pattern,unique_stocks,96
missing_pattern,unique_dates,16
missing_pattern,by_reason,"{""d1_date_missing"": 100, ""bar_grid_incomplete"": 2}"
missing_pattern,by_date,"{""2026-05-06"": 2, ""2026-05-07"": 6, ""2026-05-08"": 11, ""2026-05-11"": 10, ""2026-05-12"": 8, ""2026-05-13"": 8, ""2026-05-14"": 7, ""2026-05-15"": 8, ""2026-05-18"": 1, ""2026-05-19"": 3, ""2026-05-20"": 8, ""2026-05-21"": 3, ""2026-05-25"": 5, ""2026-05-26"": 12, ""2026-05-27"": 8, ""2026-05-29"": 2}"
missing_pattern,daily_complete_but_minute_missing_rows,102
missing_pattern,top_codes,"{""002552"": 2, ""002208"": 2, ""600396"": 2, ""600172"": 2, ""603989"": 2, ""603256"": 2, ""000066"": 1, ""000417"": 1, ""000783"": 1, ""000818"": 1}"
canonical_window,probe,"{""probe_codes"": [""000980"", ""603937"", ""002272""], ""results"": [{""code"": ""000980"", ""ok"": true, ""source"": ""sina_5m"", ""min_trade_date"": ""2026-06-10"", ""max_trade_date"": ""2026-08-07"", ""n_dates"": 42}, {""code"": ""603937"", ""ok"": true, ""source"": ""sina_5m"", ""min_trade_date"": ""2026-06-10"", ""max_trade_date"": ""2026-08-07"", ""n_dates"": 42}, {""code"": ""002272"", ""ok"": true, ""source"": ""sina_5m"", ""min_trade_date"": ""2026-06-10"", ""max_trade_date"": ""2026-08-07"", ""n_dates"": 42}]}"
recovery,recoverable_before,0
recovery,recovered,4
recovery,unrecoverable,102
recovery,minute_incomplete_after,102
