event_id,code,signal_date,board_streak_before_break,missing_reason,expected_bars,actual_bars,first_timestamp,last_timestamp,duplicate_bars,invalid_price_volume,daily_label_complete,d1_daily_complete,d1_minute_complete,raw_path,recoverable,minute_cache_path
002192_2026-05-06,002192,2026-05-06,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002192_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002192_5min.pkl
002842_2026-05-06,002842,2026-05-06,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002842_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002842_5min.pkl
000783_2026-05-07,000783,2026-05-07,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000783_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000783_5min.pkl
002158_2026-05-07,002158,2026-05-07,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002158_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002158_5min.pkl
002453_2026-05-07,002453,2026-05-07,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002453_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002453_5min.pkl
002640_2026-05-07,002640,2026-05-07,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002640_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002640_5min.pkl
002805_2026-05-07,002805,2026-05-07,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002805_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002805_5min.pkl
002989_2026-05-07,002989,2026-05-07,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002989_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002989_5min.pkl
000066_2026-05-08,000066,2026-05-08,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000066_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000066_5min.pkl
000818_2026-05-08,000818,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000818_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000818_5min.pkl
000889_2026-05-08,000889,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000889_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000889_5min.pkl
000967_2026-05-08,000967,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000967_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000967_5min.pkl
002903_2026-05-08,002903,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002903_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002903_5min.pkl
003041_2026-05-08,003041,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\003041_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\003041_5min.pkl
600396_2026-05-08,600396,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600396_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600396_5min.pkl
600673_2026-05-08,600673,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600673_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600673_5min.pkl
600719_2026-05-08,600719,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600719_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600719_5min.pkl
603256_2026-05-08,603256,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603256_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603256_5min.pkl
603316_2026-05-08,603316,2026-05-08,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603316_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603316_5min.pkl
000720_2026-05-11,000720,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000720_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000720_5min.pkl
002031_2026-05-11,002031,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002031_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002031_5min.pkl
002317_2026-05-11,002317,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002317_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002317_5min.pkl
002655_2026-05-11,002655,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002655_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002655_5min.pkl
002929_2026-05-11,002929,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002929_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002929_5min.pkl
002930_2026-05-11,002930,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002930_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002930_5min.pkl
600130_2026-05-11,600130,2026-05-11,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600130_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600130_5min.pkl
600936_2026-05-11,600936,2026-05-11,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600936_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600936_5min.pkl
603278_2026-05-11,603278,2026-05-11,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603278_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603278_5min.pkl
603618_2026-05-11,603618,2026-05-11,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603618_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603618_5min.pkl
002281_2026-05-12,002281,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002281_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002281_5min.pkl
002865_2026-05-12,002865,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002865_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002865_5min.pkl
600078_2026-05-12,600078,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600078_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600078_5min.pkl
600234_2026-05-12,600234,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600234_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600234_5min.pkl
600545_2026-05-12,600545,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600545_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600545_5min.pkl
603738_2026-05-12,603738,2026-05-12,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603738_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603738_5min.pkl
605006_2026-05-12,605006,2026-05-12,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\605006_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\605006_5min.pkl
605189_2026-05-12,605189,2026-05-12,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\605189_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\605189_5min.pkl
000672_2026-05-13,000672,2026-05-13,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\000672_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\000672_5min.pkl
001211_2026-05-13,001211,2026-05-13,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\001211_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\001211_5min.pkl
600076_2026-05-13,600076,2026-05-13,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600076_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600076_5min.pkl
600488_2026-05-13,600488,2026-05-13,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600488_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600488_5min.pkl
600683_2026-05-13,600683,2026-05-13,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600683_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600683_5min.pkl
600869_2026-05-13,600869,2026-05-13,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600869_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600869_5min.pkl
603061_2026-05-13,603061,2026-05-13,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603061_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603061_5min.pkl
