representation,model_stage,run_type,status,lambda,rank1_mean_return,rank1_median_return,rank1_baseline,rank1_excess,rank1_positive_return_rate,rank1_beat_universe_date_rate,rank1_target7_precision,rank1_n_dates,rank2_mean_return,rank2_median_return,rank2_baseline,rank2_excess,rank2_positive_return_rate,rank2_beat_universe_date_rate,rank2_target7_precision,rank2_n_dates,rank3_mean_return,rank3_median_return,rank3_baseline,rank3_excess,rank3_positive_return_rate,rank3_beat_universe_date_rate,rank3_target7_precision,rank3_n_dates,top1_mean_return,top1_median_return,top1_baseline,top1_excess,top1_positive_return_rate,top1_beat_universe_date_rate,top1_target7_precision,top1_n_dates,top2_mean_return,top2_median_return,top2_baseline,top2_excess,top2_positive_return_rate,top2_beat_universe_date_rate,top2_target7_precision,top2_n_dates,strict_top3_mean_return,strict_top3_median_return,strict_top3_baseline,strict_top3_excess,strict_top3_positive_return_rate,strict_top3_beat_universe_date_rate,strict_top3_target7_precision,strict_top3_n_dates,up_to_3_mean_return,up_to_3_median_return,up_to_3_baseline,up_to_3_excess,up_to_3_positive_return_rate,up_to_3_beat_universe_date_rate,up_to_3_target7_precision,up_to_3_n_dates,winner_capture,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target_concordance,date_equal_oof_mse_actual_target,foundation_gate_conditions_met,foundation_gate,top1_target7_hit,top3_target7_precision,up_to_3_return,may_rank1_mean_return,may_rank1_baseline,may_rank1_excess,may_rank1_beat_universe_date_rate,may_strict_top3_mean_return,may_strict_top3_baseline,may_strict_top3_excess,may_strict_top3_beat_universe_date_rate,may_winner_capture,may_all_repair_concordance,may_within_non_target_concordance,june_rank1_mean_return,june_rank1_baseline,june_rank1_excess,june_rank1_beat_universe_date_rate,june_strict_top3_mean_return,june_strict_top3_baseline,june_strict_top3_excess,june_strict_top3_beat_universe_date_rate,june_winner_capture,june_all_repair_concordance,june_within_non_target_concordance,temporal_status,delta_rank1,delta_strict_top3,delta_winner_capture,delta_repair_concordance,increment_status
CS_RANK,M0,PERMUTED,RUN,10,0.0416326007906,0.0659375,0.0299853907944,0.0116472099962,0.827586206897,0.724137931034,0.48275862069,29,0.00858437230607,0.0242257201919,0.0285562976085,-0.0199719253024,0.678571428571,0.392857142857,0.214285714286,28,0.0378837076372,0.0681933842239,0.0278352796473,0.0100484279898,0.814814814815,0.740740740741,0.444444444444,27,0.0416326007906,0.0659375,0.0299853907944,0.0116472099962,0.827586206897,0.724137931034,0.48275862069,29,0.0246019258482,0.0368594077064,0.0285562976085,-0.00395437176029,0.75,0.5,0.339285714286,28,0.0284508689948,0.0335219271653,0.0278352796473,0.000615589347526,0.765432098765,0.481481481481,0.37037037037,27,0.0305585257041,0.0404244694132,0.0299853907944,0.000573134909766,0.781609195402,0.448275862069,0.396551724138,29,0.52,0.491083210674,0.47440766346,0.553320184089,0.447450697451,0.0784560779701,3,False,0.48275862069,0.37037037037,0.0305585257041,0.0359410596811,0.0362569132683,-0.000315853587206,0.625,0.040528895531,0.0314364723066,0.00909242322443,0.571428571429,0.714285714286,0.494911297852,0.507264957265,0.0438008069276,0.0275962393758,0.0162045675518,0.761904761905,0.0242235597072,0.0265748622166,-0.00235130250939,0.45,0.444444444444,0.489807181614,0.567136752137,TEMPORALLY_MIXED,,,,,NOT_APPLICABLE
CS_RANK,M1,PERMUTED,RUN,10,0.0416326007906,0.0659375,0.0299853907944,0.0116472099962,0.827586206897,0.724137931034,0.48275862069,29,0.00858437230607,0.0242257201919,0.0285562976085,-0.0199719253024,0.678571428571,0.392857142857,0.214285714286,28,0.0381238512316,0.0681933842239,0.0278352796473,0.0102885715842,0.814814814815,0.740740740741,0.444444444444,27,0.0416326007906,0.0659375,0.0299853907944,0.0116472099962,0.827586206897,0.724137931034,0.48275862069,29,0.0246019258482,0.0368594077064,0.0285562976085,-0.00395437176029,0.75,0.5,0.339285714286,28,0.0285309168596,0.0323551986801,0.0278352796473,0.000695637212324,0.765432098765,0.518518518519,0.37037037037,27,0.0306330530265,0.0404244694132,0.0299853907944,0.000647662232164,0.781609195402,0.48275862069,0.396551724138,29,0.52,0.490694838541,0.471325725556,0.552655250732,0.463107263107,0.0786826329163,4,False,0.48275862069,0.37037037037,0.0306330530265,0.0359410596811,0.0362569132683,-0.000315853587206,0.625,0.040528895531,0.0314364723066,0.00909242322443,0.571428571429,0.714285714286,0.500887021475,0.511538461538,0.0438008069276,0.0275962393758,0.0162045675518,0.761904761905,0.0243316243247,0.0265748622166,-0.00224323789191,0.5,0.444444444444,0.48729744423,0.56499028749,TEMPORALLY_MIXED,0,8.00478647982e-05,0,-0.00038837213207,MIXED
RAW,M0,PERMUTED,RUN,10,0.0328114802189,0.0640412922959,0.0299853907944,0.0028260894245,0.793103448276,0.655172413793,0.448275862069,29,0.0234738318908,0.0454153669581,0.0285562976085,-0.00508246571771,0.785714285714,0.607142857143,0.321428571429,28,0.0408609834703,0.0681933842239,0.0278352796473,0.013025703823,0.851851851852,0.740740740741,0.481481481481,27,0.0328114802189,0.0640412922959,0.0299853907944,0.0028260894245,0.793103448276,0.655172413793,0.448275862069,29,0.0274785753444,0.0390706991876,0.0285562976085,-0.00107772226402,0.785714285714,0.5,0.375,28,0.031432088986,0.0335219271653,0.0278352796473,0.0035968093387,0.802469135802,0.666666666667,0.407407407407,27,0.0333341443166,0.0404244694132,0.0299853907944,0.00334875352224,0.816091954023,0.620689655172,0.431034482759,29,0.58,0.503839391234,0.519407708185,0.529138169523,0.493530543531,0.0777075639263,5,True,0.448275862069,0.407407407407,0.0333341443166,0.0359410596811,0.0362569132683,-0.000315853587206,0.625,0.0470849490416,0.0314364723066,0.015648476735,0.714285714286,0.761904761905,0.514172335601,0.546214896215,0.0316192594714,0.0275962393758,0.00402302009563,0.666666666667,0.0259535879666,0.0265748622166,-0.000621274250011,0.65,0.509259259259,0.500395076445,0.524015151515,TEMPORALLY_MIXED,,,,,NOT_APPLICABLE
RAW,M1,PERMUTED,RUN,10,0.0328114802189,0.0640412922959,0.0299853907944,0.0028260894245,0.793103448276,0.655172413793,0.448275862069,29,0.0234738318908,0.0454153669581,0.0285562976085,-0.00508246571771,0.785714285714,0.607142857143,0.321428571429,28,0.0408609834703,0.0681933842239,0.0278352796473,0.013025703823,0.851851851852,0.740740740741,0.481481481481,27,0.0328114802189,0.0640412922959,0.0299853907944,0.0028260894245,0.793103448276,0.655172413793,0.448275862069,29,0.0274785753444,0.0390706991876,0.0285562976085,-0.00107772226402,0.785714285714,0.5,0.375,28,0.031432088986,0.0335219271653,0.0278352796473,0.0035968093387,0.802469135802,0.666666666667,0.407407407407,27,0.0333341443166,0.0404244694132,0.0299853907944,0.00334875352224,0.816091954023,0.620689655172,0.431034482759,29,0.58,0.502365468332,0.519407708185,0.528151976229,0.489826839827,0.0778752402022,5,True,0.448275862069,0.407407407407,0.0333341443166,0.0359410596811,0.0362569132683,-0.000315853587206,0.625,0.0470849490416,0.0314364723066,0.015648476735,0.714285714286,0.761904761905,0.510997732426,0.546214896215,0.0316192594714,0.0275962393758,0.00402302009563,0.666666666667,0.0259535879666,0.0265748622166,-0.000621274250011,0.65,0.509259259259,0.499488046967,0.522733100233,TEMPORALLY_MIXED,0,0,0,-0.00147392290249,NO
CS_RANK,M0,REAL,RUN,10,0.0281104884226,0.0454831800428,0.0299853907944,-0.00187490237177,0.689655172414,0.551724137931,0.379310344828,29,0.00995174021451,0.0286239495798,0.0285562976085,-0.0186045573939,0.642857142857,0.5,0.321428571429,28,0.0358696084749,0.0681933842239,0.0278352796473,0.00803432882757,0.777777777778,0.703703703704,0.481481481481,27,0.0281104884226,0.0454831800428,0.0299853907944,-0.00187490237177,0.689655172414,0.551724137931,0.379310344828,29,0.0182830873261,0.0176626805171,0.0285562976085,-0.0102732102824,0.660714285714,0.321428571429,0.339285714286,28,0.0234109228885,0.0241207155336,0.0278352796473,-0.00442435675886,0.691358024691,0.333333333333,0.382716049383,27,0.0258661620879,0.0288792151381,0.0299853907944,-0.00411922870652,0.712643678161,0.310344827586,0.408045977011,29,0.56,0.50857420474,0.526581990456,0.461652663576,0.617147667148,0.0785514140516,2,False,0.379310344828,0.382716049383,0.0258661620879,0.0292176457981,0.0362569132683,-0.00703926747015,0.5,0.0245196216207,0.0314364723066,-0.0069168506859,0.142857142857,0.666666666667,0.502741096439,0.380769230769,0.0276887141843,0.0275962393758,9.24748085624e-05,0.571428571429,0.0230228783322,0.0265748622166,-0.00355198388439,0.4,0.518518518519,0.510518574174,0.485917693418,WEAK,,,,,NOT_APPLICABLE
CS_RANK,M1,REAL,RUN,10,0.0281104884226,0.0454831800428,0.0299853907944,-0.00187490237177,0.689655172414,0.551724137931,0.379310344828,29,0.0137525886084,0.0363025210084,0.0285562976085,-0.0148037090001,0.678571428571,0.535714285714,0.357142857143,28,0.0309317211816,0.0640412922959,0.0278352796473,0.00309644153424,0.740740740741,0.666666666667,0.444444444444,27,0.0281104884226,0.0454831800428,0.0299853907944,-0.00187490237177,0.689655172414,0.551724137931,0.379310344828,29,0.020183511523,0.0216303723867,0.0285562976085,-0.00837278608542,0.678571428571,0.392857142857,0.357142857143,28,0.0230788339762,0.0241076254259,0.0278352796473,-0.0047564456711,0.691358024691,0.333333333333,0.382716049383,27,0.0255569758592,0.0288792151381,0.0299853907944,-0.00442841493516,0.712643678161,0.310344827586,0.408045977011,29,0.533333333333,0.508260361254,0.517162838179,0.459238411161,0.63936988937,0.0785369426429,2,False,0.379310344828,0.382716049383,0.0255569758592,0.0292176457981,0.0362569132683,-0.00703926747015,0.5,0.0213059341356,0.0314364723066,-0.0101305381709,0.142857142857,0.52380952381,0.501067093504,0.374969474969,0.0276887141843,0.0275962393758,9.24748085624e-05,0.571428571429,0.0236993489204,0.0265748622166,-0.00287551329615,0.4,0.537037037037,0.510658117171,0.484519092019,WEAK,0,-0.000332088912245,-0.0266666666667,-0.000313843486112,NO
CS_RANK,M2,REAL,NOT_RUN_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,,,,NOT_TESTED
RAW,M0,REAL,RUN,10,0.0232075815952,0.0439285714286,0.0299853907944,-0.00677780919922,0.655172413793,0.51724137931,0.344827586207,29,0.0373178538995,0.063370068046,0.0285562976085,0.00876155629104,0.785714285714,0.642857142857,0.392857142857,28,0.0313542624676,0.07,0.0278352796473,0.00351898282032,0.814814814815,0.740740740741,0.518518518519,27,0.0232075815952,0.0439285714286,0.0299853907944,-0.00677780919922,0.655172413793,0.51724137931,0.344827586207,29,0.0294271388472,0.0268921764184,0.0285562976085,0.000870841238781,0.714285714286,0.464285714286,0.357142857143,28,0.0296103369994,0.0295902563858,0.0278352796473,0.0017750573521,0.740740740741,0.481481481481,0.407407407407,27,0.0316380303981,0.0316153530378,0.0299853907944,0.00165263960368,0.758620689655,0.448275862069,0.431034482759,29,0.593333333333,0.505168984843,0.539241492126,0.410061733139,0.662097162097,0.078287469874,3,False,0.344827586207,0.407407407407,0.0316380303981,0.019763215878,0.0362569132683,-0.0164936973903,0.5,0.0389679649079,0.0314364723066,0.00753149260132,0.428571428571,0.809523809524,0.57485660931,0.332478632479,0.024519720916,0.0275962393758,-0.00307651845978,0.52380952381,0.0263351672314,0.0265748622166,-0.000239694985123,0.5,0.509259259259,0.481939776688,0.433336663337,TEMPORALLY_MIXED,,,,,NOT_APPLICABLE
RAW,M1,REAL,RUN,10,0.0232075815952,0.0439285714286,0.0299853907944,-0.00677780919922,0.655172413793,0.51724137931,0.344827586207,29,0.0409724757804,0.063370068046,0.0285562976085,0.012416178172,0.821428571429,0.678571428571,0.392857142857,28,0.0275642842207,0.07,0.0278352796473,-0.000270995426575,0.777777777778,0.703703703704,0.518518518519,27,0.0232075815952,0.0439285714286,0.0299853907944,-0.00677780919922,0.655172413793,0.51724137931,0.344827586207,29,0.0312544497877,0.0309166824975,0.0285562976085,0.00269815217925,0.732142857143,0.5,0.357142857143,28,0.0296103369994,0.0295902563858,0.0278352796473,0.0017750573521,0.740740740741,0.481481481481,0.407407407407,27,0.0316380303981,0.0316153530378,0.0299853907944,0.00165263960368,0.758620689655,0.448275862069,0.431034482759,29,0.593333333333,0.50321320253,0.539241492126,0.410794333871,0.649134199134,0.078768992986,3,False,0.344827586207,0.407407407407,0.0316380303981,0.019763215878,0.0362569132683,-0.0164936973903,0.5,0.0389679649079,0.0314364723066,0.00753149260132,0.428571428571,0.809523809524,0.56023075897,0.324542124542,0.024519720916,0.0275962393758,-0.00307651845978,0.52380952381,0.0263351672314,0.0265748622166,-0.000239694985123,0.5,0.509259259259,0.484207350384,0.43666999667,TEMPORALLY_MIXED,0,0,0,-0.00195578231293,NO
RAW,M2,REAL,NOT_RUN_UNAVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,NOT_RUN,,,,,NOT_TESTED
