representation,model_stage,run_type,lambda,date_equal_oof_mse,selected,selection_basis
CS_RANK,M0,PERMUTED,0.1,0.080028962292,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M0,PERMUTED,1,0.0791571371719,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M0,PERMUTED,10,0.0779280258462,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,PERMUTED,0.1,0.0805537643947,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,PERMUTED,1,0.0794501031093,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,PERMUTED,10,0.0780981164448,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,PERMUTED,0.1,0.0801081601571,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,PERMUTED,1,0.0795218119479,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,PERMUTED,10,0.0781100138936,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,PERMUTED,0.1,0.0808238143722,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,PERMUTED,1,0.0799781880008,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,PERMUTED,10,0.0782514746075,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M0,REAL,0.1,0.0798854417292,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M0,REAL,1,0.0794929598326,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M0,REAL,10,0.0785514140516,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,REAL,0.1,0.0797976748989,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,REAL,1,0.0793946898386,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
CS_RANK,M1,REAL,10,0.0785369426429,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,REAL,0.1,0.0795220027719,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,REAL,1,0.0792569191327,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M0,REAL,10,0.078287469874,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,REAL,0.1,0.0803599133054,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,REAL,1,0.0800433066696,False,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
RAW,M1,REAL,10,0.078768992986,True,DATE_EQUAL_OOF_MSE_REPAIR_RANK_TARGET_ONLY
