event_id,code,signal_date,board,board_streak_before_break,representation,model_stage,run_type,lambda,score,rank,repair_rank_target,raw_repair_return,capped_opportunity_return_7,target7,fold_test_signal_date,fold_train_signal_dates,fold_train_max_signal_date,model_status
002208_2026-05-20,002208,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.540247979252,1,0.05,-0.0725490196078,-0.0725490196078,0,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
603115_2026-05-20,603115,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.53667208468,2,0.95,0.205409887035,0.07,1,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
603989_2026-05-20,603989,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.512079136436,3,0.65,0.11015625,0.07,1,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
600903_2026-05-20,600903,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.511901470799,4,0.75,0.145317545748,0.07,1,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
002552_2026-05-20,002552,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.507140499831,5,0.55,0.0844226579521,0.07,1,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
605218_2026-05-20,605218,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.500394686702,6,0.15,-0.0201499531396,-0.0201499531396,0,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
600850_2026-05-20,600850,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.498912140291,7,0.45,0.038338658147,0.038338658147,0,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
600758_2026-05-20,600758,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.489979909203,8,0.35,0.0168067226891,0.0168067226891,0,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
603206_2026-05-20,603206,2026-05-20,2,2,CS_RANK,M0,PERMUTED,10,0.484195106813,9,0.25,-0.00410888546482,-0.00410888546482,0,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
603311_2026-05-20,603311,2026-05-20,3,3,CS_RANK,M0,PERMUTED,10,0.470984123074,10,0.85,0.172352523099,0.07,1,2026-05-20,10,2026-05-19,CAPABILITY_SCREEN_ONLY
605288_2026-05-21,605288,2026-05-21,2,2,CS_RANK,M0,PERMUTED,10,0.55718007907,1,0.416666666667,0.0422794117647,0.0422794117647,0,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
600563_2026-05-21,600563,2026-05-21,2,2,CS_RANK,M0,PERMUTED,10,0.521329984834,2,0.916666666667,0.103625,0.07,1,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
002782_2026-05-21,002782,2026-05-21,2,2,CS_RANK,M0,PERMUTED,10,0.50636039519,3,0.25,0.039652173913,0.039652173913,0,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
603938_2026-05-21,603938,2026-05-21,3,3,CS_RANK,M0,PERMUTED,10,0.447936142954,4,0.0833333333333,-0.0416666666667,-0.0416666666667,0,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
000417_2026-05-21,000417,2026-05-21,3,3,CS_RANK,M0,PERMUTED,10,0.442177952884,5,0.75,0.101020408163,0.07,1,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
002272_2026-05-21,002272,2026-05-21,3,3,CS_RANK,M0,PERMUTED,10,0.425137065084,6,0.583333333333,0.0904325032765,0.07,1,2026-05-21,11,2026-05-20,CAPABILITY_SCREEN_ONLY
003004_2026-05-22,003004,2026-05-22,2,2,CS_RANK,M0,PERMUTED,10,0.511202795954,1,0.5,0.126801152738,0.07,1,2026-05-22,12,2026-05-21,CAPABILITY_SCREEN_ONLY
000725_2026-05-25,000725,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.546159414697,1,0.9375,0.166666666667,0.07,1,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
000012_2026-05-25,000012,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.539393204307,2,0.8125,0.0617848970252,0.0617848970252,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
002036_2026-05-25,002036,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.508875615585,3,0.4375,0.0373563218391,0.0373563218391,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
600303_2026-05-25,600303,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.500492710669,4,0.3125,0.00546448087432,0.00546448087432,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
600611_2026-05-25,600611,2026-05-25,3,3,CS_RANK,M0,PERMUTED,10,0.48657691012,5,0.0625,-0.0594227504244,-0.0594227504244,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
001225_2026-05-25,001225,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.473838139482,6,0.6875,0.0492430833478,0.0492430833478,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
002931_2026-05-25,002931,2026-05-25,2,2,CS_RANK,M0,PERMUTED,10,0.469376489704,7,0.5625,0.0478995504573,0.0478995504573,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
002442_2026-05-25,002442,2026-05-25,3,3,CS_RANK,M0,PERMUTED,10,0.44923983449,8,0.1875,0.00251256281407,0.00251256281407,0,2026-05-25,13,2026-05-22,CAPABILITY_SCREEN_ONLY
603256_2026-05-26,603256,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.539217028247,1,0.75,0.0785286103542,0.07,1,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
603936_2026-05-26,603936,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.53904535423,2,0.361111111111,0.00308641975309,0.00308641975309,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
603663_2026-05-26,603663,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.536020964997,3,0.861111111111,0.123469387755,0.07,1,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002432_2026-05-26,002432,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.534855693196,4,0.138888888889,-0.0606593406593,-0.0606593406593,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
600234_2026-05-26,600234,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.531478665436,5,0.0833333333333,-0.0880968392737,-0.0880968392737,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
605580_2026-05-26,605580,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.527936513431,6,0.916666666667,0.1272,0.07,1,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
000636_2026-05-26,000636,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.527461246229,7,0.972222222222,0.158095238095,0.07,1,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002741_2026-05-26,002741,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.520309835152,8,0.805555555556,0.120460266091,0.07,1,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
600186_2026-05-26,600186,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.515409272555,9,0.0277777777778,-0.12433661865,-0.12433661865,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002938_2026-05-26,002938,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.514644599692,10,0.194444444444,-0.0224137931034,-0.0224137931034,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
600539_2026-05-26,600539,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.499229366058,11,0.416666666667,0.0260869565217,0.0260869565217,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
603001_2026-05-26,603001,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.494131360168,12,0.305555555556,0.000943396226415,0.000943396226415,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
600503_2026-05-26,600503,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.49096005167,13,0.527777777778,0.0321428571429,0.0321428571429,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002421_2026-05-26,002421,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.488224590673,14,0.583333333333,0.0553191489362,0.0553191489362,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002897_2026-05-26,002897,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.48611152929,15,0.472222222222,0.0274577102231,0.0274577102231,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002980_2026-05-26,002980,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.475713063531,16,0.638888888889,0.0574722997928,0.0574722997928,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
002975_2026-05-26,002975,2026-05-26,2,2,CS_RANK,M0,PERMUTED,10,0.471707245552,17,0.694444444444,0.0652070442646,0.0652070442646,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
603661_2026-05-26,603661,2026-05-26,3,3,CS_RANK,M0,PERMUTED,10,0.446171021398,18,0.25,-0.00778097982709,-0.00778097982709,0,2026-05-26,14,2026-05-25,CAPABILITY_SCREEN_ONLY
003036_2026-05-27,003036,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.559831506884,1,0.95,0.244761904762,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
