representation,test_signal_date,block,feature_names,pc1_loadings,explained_variance_ratio,dominant_loading_abs,numerical_issue,adjacent_fold_loading_cosine,model_stages
CS_RANK,2026-05-20,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38962298587900857,0.44207491678757793,0.4510482208964561,-0.4162778280305065,0.2913696472214923,0.23726235985054273,-0.36720875590664]",0.598349314097,0.451048220896,,,M0|M1
CS_RANK,2026-05-21,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38690027905398755,0.43306783312480457,0.4410937105118313,-0.40570350715659415,0.30880683227222283,0.25800107840395853,-0.3763976789150897]",0.625560018116,0.441093710512,,0.999440982298,M0|M1
CS_RANK,2026-05-22,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3833358512857633,0.42966006298993153,0.44182458215328346,-0.4072279908033567,0.3199181968411591,0.2740880518321622,-0.3604585200471707]",0.628686896282,0.441824582153,,0.999668256906,M0|M1
CS_RANK,2026-05-25,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38333585128576336,0.42966006298993153,0.44182458215328346,-0.4072279908033568,0.31991819684115913,0.2740880518321623,-0.36045852004717077]",0.628686896282,0.441824582153,,1,M0|M1
CS_RANK,2026-05-26,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3756884932610862,0.42690312660118845,0.4406582437354002,-0.4054028113900947,0.32566766071772846,0.2829374483972952,-0.36327362184922707]",0.634825747608,0.440658243735,,0.99990496632,M0|M1
CS_RANK,2026-05-27,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3826657131017985,0.4279690787027791,0.4393797399471875,-0.40508374009071296,0.33574973578882406,0.2731688602417959,-0.3548421001524216]",0.647678514253,0.439379739947,,0.99984014083,M0|M1
CS_RANK,2026-05-28,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38210206791871465,0.42789808704790233,0.4366169532051204,-0.40503773034117535,0.3357408616881413,0.272325637023067,-0.3596222061828485]",0.652031045381,0.436616953205,,0.99998424082,M0|M1
CS_RANK,2026-05-29,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38336326911123036,0.42758414418690804,0.43592830150717365,-0.40536986421692894,0.3316926670554735,0.27586337766406466,-0.3601743524343713]",0.656144933876,0.435928301507,,0.999984258952,M0|M1
CS_RANK,2026-06-01,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3856564745246024,0.4291810561234607,0.43697959468306935,-0.4062221569467279,0.32562725884282306,0.27200591919148653,-0.36205630222587937]",0.652055084348,0.436979594683,,0.999967574282,M0|M1
CS_RANK,2026-06-02,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38661083347039304,0.4287400635243216,0.43618169291526343,-0.40640030075960354,0.3237805761819258,0.27189662035116124,-0.36405592154157435]",0.655276744473,0.436181692915,,0.999995402841,M0|M1
CS_RANK,2026-06-03,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3881435586252938,0.4298878787824766,0.43737477756892085,-0.4008176636397449,0.32585700360337266,0.2744440787315609,-0.3620596012900738]",0.652596591519,0.437374777569,,0.999974478798,M0|M1
CS_RANK,2026-06-04,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38952588267165283,0.43073609333945684,0.43813802699422016,-0.40256500731535605,0.33125005062891166,0.2724086690167297,-0.3532412912064632]",0.65630998053,0.438138026994,,0.999941371756,M0|M1
CS_RANK,2026-06-05,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.38740958123677943,0.42863088652684644,0.4366664172814524,-0.40192966521626217,0.3316242657870873,0.2757551084331017,-0.35769935732832914]",0.659845753595,0.436666417281,,0.999978653515,M0|M1
CS_RANK,2026-06-08,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3890428046856044,0.43010831952858875,0.43791687066816726,-0.4045097164489816,0.32999191129266753,0.2746877942279773,-0.3520016867300455]",0.645565845503,0.437916870668,,0.999975331142,M0|M1
CS_RANK,2026-06-09,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3892479785199627,0.42949960675583376,0.43719260619871914,-0.40325228673184305,0.33036275390864145,0.2762126350102752,-0.35331763108567993]",0.647203587577,0.437192606199,,0.999996643655,M0|M1
CS_RANK,2026-06-10,EXISTING_D1_REPAIR_PATH,"[""d1_low_to_close_recovery"",""d1_close_location"",""d1_close_to_vwap_raw"",""d1_high_to_close_drawdown_raw"",""d1_afternoon_return"",""d1_last_hour_return"",""intraday_low_time_fraction""]","[0.3891489906001231,0.4327216384033046,0.43910776947415586,-0.40695032185506536,0.3342606999754493,0.27281589482736945,-0.3416608275518573]",0.642415438006,0.439107769474,,0.999904826252,M0|M1
