event_id,code,signal_date,board_streak_before_break,D0,d1_close_to_ma5_raw,d1_close_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,d1_low_to_close_recovery,d1_close_location,d1_close_to_vwap_raw,d1_high_to_close_drawdown_raw,d1_afternoon_return,d1_last_hour_return,intraday_low_time_fraction,d1_up_bar_volume_ratio,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,amount_above_d1_close_ratio,volume_above_d1_close_ratio,post_low_volume_share,tier_cohort_size,tier_peer_count_ex_self,tier_peer_advance_count_d1,tier_peer_advance_rate_d1,tier_peer_break_count_d1,tier_peer_break_rate_d1,tier_peer_mean_d1_close_return,tier_peer_max_d1_close_return,subject_d1_close_return_vs_tier_mean,subject_d1_close_return_percentile_in_tier
000980_2026-05-06,000980,2026-05-06,2,2026-04-30,0.0928013876843,0.107205623902,0.143116352914,0.037803780378,0.0192566054635,0.145454545455,0.141666666667,0.707692307692,0.008,0.0952380952381,-0.0137729785404,0.070110701107,0.00398406374502,-0.00787401574803,0.382978723404,0.243068057641,0.317045304423,0.0439139182073,0,0.903013619775,0.901375239468,0.352300293041,10,9,3,0.333333333333,6,0.666666666667,0.038236626802,0.10094637224,-0.0344129641218,0.25
002192_2026-05-06,002192,2026-05-06,2,2026-04-30,0.110977876371,0.222241765973,0.333269376057,0.052369234652,0.0301582088538,0.4173890872,0.0820761683722,0.89797008547,0.0324078373108,0.477428180575,0.00458005661676,0.0332173913043,0.0121995630007,0.00324851109908,0.0212765957447,0.478702752374,0.521297247626,0.0774411620889,0,0.284877868464,0.283090296067,0.804440557164,10,9,3,0.333333333333,6,0.666666666667,0.0362426899976,0.10094637224,-0.0164675328821,0.45
002645_2026-05-06,002645,2026-05-06,2,2026-04-30,0.0914541462591,0.115522375178,0.177220666257,0.0299182466516,0.0155133879662,0.177140255009,0.0991489361702,0.831261101243,0.0125342734038,0.253968253968,-0.0044680058774,0.0350877192982,0.00077429345722,-0.00576923076923,0.0425531914894,0.338103220543,0.640302240623,0.109972652354,0,0.796636984533,0.79530689365,0.736718807444,10,9,3,0.333333333333,6,0.666666666667,0.0378916951416,0.10094637224,-0.0313085791781,0.35
002842_2026-05-06,002842,2026-05-06,2,2026-04-30,0.124728602445,0.151438933084,0.174873172187,0.0442720763723,0.01704393349,0.218508201795,0.152,0.971915747242,0.04125892621,0.847826086957,0.0179664490218,0.00706179066835,0.0149523072957,0.0128633907898,0,0.401954815266,0.598045184734,0.100351325469,0.179218880851,0.0476933596044,0.0467766899534,1,10,9,3,0.333333333333,6,0.666666666667,0.0356962844332,0.10094637224,-0.011549882802,0.55
600714_2026-05-06,600714,2026-05-06,2,2026-04-30,0.0784704242183,0.121931005905,0.18224987719,0.0372895362049,0.0188938146506,0.183606557377,0.0937003705664,0.813620071685,0.0197740112994,0.333333333333,-0.000533238071126,0.0373333333333,-0.00550964187328,0.00650557620818,0.0851063829787,0.555445238621,0.401644933838,0.08739440251,0,0.383669874117,0.379612041525,0.658225413046,10,9,3,0.333333333333,6,0.666666666667,0.0404487937201,0.10094637224,-0.0543224663843,0.05
605099_2026-05-06,605099,2026-05-06,2,2026-04-30,0.11702367531,0.182734087762,0.196965303953,0.0514461830251,0.0227822137572,0.278451612903,0.0488110137672,0.887692307692,0.0469146238377,0.621848739496,0.00146488310606,0.0265278050698,-0.0127540852929,-0.00080677692618,0,0.727423134201,0.272576865799,0.0813419643983,0.243200280791,0.69872907272,0.693972623028,1,10,9,3,0.333333333333,6,0.666666666667,0.035666522621,0.10094637224,-0.0112820264928,0.65
000402_2026-05-07,000402,2026-05-07,3,2026-05-06,0.079948420374,0.156767955801,0.180616740088,0.047972972973,0.0200774920747,0.264150943396,0.054441260745,0.846153846154,0.012084592145,0.235294117647,-0.00767340284882,0.0373563218391,-0.00593471810089,0.00600600600601,0.659574468085,0.325203019819,0.45768910334,0.0502690954142,0,0.812844996174,0.810393351953,0.229845518679,3,2,0,0,2,1,-0.0010079431228,0.0226460071514,-0.0260711133718,0.166666666667
000553_2026-05-07,000553,2026-05-07,2,2026-05-06,0.0754107981221,0.131172839506,0.146476890592,0.0342943854325,0.0179076343073,0.186084142395,0.042654028436,0.810126582278,0.0138312586445,0.285714285714,-0.00339040265627,0.032981530343,0.00825309491059,0,0.234042553191,0.420758215603,0.449912309522,0.0584268183196,0,0.53286916781,0.528827970647,0.391956596118,11,10,2,0.2,8,0.8,0.0392416333186,0.100097370983,-0.0562802727139,0.136363636364
000783_2026-05-07,000783,2026-05-07,2,2026-05-06,0.0511721704058,0.103028699907,0.129928194012,0.0314612584503,0.0146269457864,0.168067226891,0.0682593856655,0.714285714286,0.018315018315,0.230769230769,-0.00327068098141,0.0565610859729,0.0121359223301,0.00724637681159,0.617021276596,0.156341033207,0.636109807494,0.0578485508791,0,0.496749003027,0.490882422357,0.238749480042,11,10,2,0.2,8,0.8,0.0420944205769,0.100097370983,-0.0848081452964,0.0454545454545
001316_2026-05-07,001316,2026-05-07,2,2026-05-06,0.138123434297,0.165054202121,0.192934296115,0.0438193343899,0.0184602599869,0.204700683005,0.0841176470588,0.879893828799,0.0784031648984,0.706645056726,0.024532645741,0.0292975072839,-0.0134890607008,0.000834445927904,0,0.744318410569,0.238033415581,0.0467870803242,0.297984157946,0.288623523385,0.279460111764,1,11,10,2,0.2,8,0.8,0.0319303003356,0.100097370983,0.0168330571162,0.590909090909
