mechanism_block,provider,symbol_or_group,raw_cache_location,source_timestamp,sha256,status,query_date_range,notes
AUTHORITATIVE_UNIVERSE,BaoStock D1 corrected development universe v002,319_EVENTS,reports/research/v004c_baostock_d1_dev_v002_20260506_20260630/v004c_baostock_d1_dev_v002.csv,,1bf17299b78a58dfa2773722e5c3f48540351cbfa3e9cac3b0f4c2c8154e7254,AVAILABLE,2026-05-06..2026-06-30,identity anchor; outcome columns physically isolated from X selection
D0_TO_D1_CAPITAL_PATH,baostock_5m,000012,data/cache/baostock_5m/000012_5min.pkl,2026-08-08 20:41:29,6732216fa68ef733ddd771d8100d38451352edb93b90b83580f6a04635da5ebc,AVAILABLE,2026-05-25,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000029,data/cache/baostock_5m/000029_5min.pkl,2026-08-08 20:41:30,d34c3690ab59c80a2cba21ba55b67b1b56da2ff16eb8bf95088faeab3f8b874a,AVAILABLE,2026-05-13..2026-06-11,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000048,data/cache/baostock_5m/000048_5min.pkl,2026-08-08 20:41:30,bc5b9a4067e102f8796c87f41b0e13964520080ec831ff15c272724b15ec34e9,AVAILABLE,2026-06-12,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000055,data/cache/baostock_5m/000055_5min.pkl,2026-08-08 20:41:30,9461eabd9e8f56dadc9c1f7beb934e827b317e721cd69ff7985c8d7f738070d2,AVAILABLE,2026-06-03,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000066,data/cache/baostock_5m/000066_5min.pkl,2026-08-08 20:41:31,a767f25be17f77576f015ca924e338e68f2ca6cad89470dc057e87a010e4279e,AVAILABLE,2026-05-08,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000068,data/cache/baostock_5m/000068_5min.pkl,2026-08-08 20:41:31,427091c981ad7f6f0e199403a4a4f7f927cddfca9af36ef30119f06e78e20f87,AVAILABLE,2026-06-09,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000070,data/cache/baostock_5m/000070_5min.pkl,2026-08-08 20:41:32,695df8b057099eb65d057a0de90105bf8fb85674dd8236e042eb7404ca15416b,AVAILABLE,2026-06-24,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000090,data/cache/baostock_5m/000090_5min.pkl,2026-08-08 20:41:32,ef390b967d680c5c62f19ac49828ee3b4cccfdace4a5720b840433401b0e774b,AVAILABLE,2026-06-01,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000402,data/cache/baostock_5m/000402_5min.pkl,2026-08-08 20:41:33,2bc2dfb6bffba3fdb7e1484f49c217fa019924170891d786338f9597ee41bc19,AVAILABLE,2026-05-07,adjustment=none; interval=5m; 48-bar D1 slices only
D0_TO_D1_CAPITAL_PATH,baostock_5m,000417,data/cache/baostock_5m/000417_5min.pkl,2026-08-08 20:41:33,c13e5603f00203b51205457ff5458d78644619153e0af4204c8a8ec8dd443db2,AVAILABLE,2026-05-21,adjustment=none; interval=5m; 48-bar D1 slices only
