column_name,role,source,available_as_of,mechanism,preprocess_policy,model_universe,formula_or_definition,forbidden_reason
event_id,IDENTIFIER,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,-,NO_MODEL_INPUT,NONE,code + '_' + break_date (冻结 v0.2.2 来源),-
code,IDENTIFIER,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,-,NO_MODEL_INPUT,NONE,6 位股票代码,-
signal_date,IDENTIFIER,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,-,NO_MODEL_INPUT,NONE,D1 信号日 (正式切分主键; walk-forward 统一按此切分),-
board_streak_before_break,IDENTIFIER,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,-,NO_MODEL_INPUT,NONE,"断板前连板数 {2,3}; board_streak_is_3 由它派生",-
break_open_return,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D0_TO_D1_TRANSITION,FOLD_CLIP_Z,PRIMARY,break_open / break_prev_close - 1 (prev_close=末板日收盘=D0 close),-
break_high_return,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D0_TO_D1_TRANSITION,FOLD_CLIP_Z,PRIMARY,break_high / break_prev_close - 1,-
break_close_return,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D0_TO_D1_TRANSITION,FOLD_CLIP_Z,PRIMARY,break_close / break_prev_close - 1,-
break_touched_limit_up,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D0_TO_D1_TRANSITION,RAW_BINARY,PRIMARY,break_high >= 涨停价 - 0.011 (涨停价=前收×1.10 四舍五入到分),-
volume_above_d1_close_ratio,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,PRIMARY,Σvolume(bar close >= d1_close) / Σvolume,-
late_day_sell_volume_ratio,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,PRIMARY,Σvolume(time>=14:00 且 close<open) / Σvolume,-
d1_close_to_ma5_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA5_STATE,FOLD_CLIP_Z,PRIMARY,d1_close / d1_ma5 - 1,-
d1_high_to_close_drawdown_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,(d1_high - d1_close) / d1_high,-
d1_low_to_close_recovery,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,(d1_close - d1_low) / d1_low (5min 日内低点),-
d1_open_to_close_return_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,d1_close / d1_open - 1 (5min 首/末 bar),-
break_volume_ratio_vs_board_days,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,PRIMARY,break_volume / mean(断板前 streak 个板日 volume),-
d1_close_to_vwap_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_VWAP_POSITION,FOLD_CLIP_Z,PRIMARY,d1_close / d1_vwap - 1,-
break_day_in_pool,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,BOARD_OR_EVENT_STATE,RAW_BINARY,PRIMARY,D1 断板日是否出现在涨停池 (正常为 False),-
high_zone_volume_ratio,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,PRIMARY,Σvolume(typical >= d1_low+0.7×(d1_high−d1_low)) / Σvolume,-
d1_close_to_ma10_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA10_MA20_STATE,FOLD_CLIP_Z,PRIMARY,d1_close / d1_ma10 - 1,-
d1_close_to_ma20,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA10_MA20_STATE,FOLD_CLIP_Z,PRIMARY,d1_close / d1_ma20 - 1,-
d1_ma10_slope,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA10_MA20_STATE,FOLD_CLIP_Z,PRIMARY,ma10(D1) / ma10(D1 前一日) - 1,-
d1_low_to_ma5_raw,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA5_STATE,FOLD_CLIP_Z,PRIMARY,d1_low / d1_ma5 - 1,-
d1_ma5_slope,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA5_STATE,FOLD_CLIP_Z,PRIMARY,ma5(D1) / ma5(D1 前一日) - 1,-
d1_true_reclaim_ma5,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_MA5_STATE,RAW_BINARY,PRIMARY,d1_low <= d1_ma5 AND d1_close >= d1_ma5,-
d1_afternoon_return,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,d1_close / 13:00 前最后一根 bar 的 close - 1,-
d1_intraday_range,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,(d1_high - d1_low) / prev_close,-
d1_last_hour_return,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_PRICE_ACTION,FOLD_CLIP_Z,PRIMARY,d1_close / 14:00 bar 的 close - 1,-
d1_up_bar_volume_ratio,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,PRIMARY,Σvolume(close>open) / Σvolume,-
down_bar_volume_ratio,FEATURE,v004c_training_d1_v001.csv (Stage 1 冻结),D1_CLOSE,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,PRIMARY,Σvolume(close<open) / Σvolume,-
