event_id,signal_date,code,candidate_count,stage1_score,stage1_rank,original_v4a_score,original_v4a_rank_full_universe,original_v4a_scorable,missing_reason,original_v4a_rank_within_v4c_intersection
600280_2026-06-03,2026-06-03,600280,7,0.661570074138,1,0.4575137282035212,14.0,True,,3.0
002579_2026-06-03,2026-06-03,002579,7,0.648088228314,2,0.4610138071285129,10.0,True,,1.0
001210_2026-06-03,2026-06-03,001210,7,0.640125977555,3,0.4595703125647029,12.0,True,,2.0
002404_2026-06-03,2026-06-03,002404,7,0.632443506963,4,0.4381463457535323,25.0,True,,4.0
000055_2026-06-03,2026-06-03,000055,7,0.600695323283,5,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002421_2026-06-03,2026-06-03,002421,7,0.592765147736,6,0.4090042189805385,52.0,True,,6.0
603045_2026-06-03,2026-06-03,603045,7,0.588764385877,7,0.4162165019452706,47.0,True,,5.0
600121_2026-06-04,2026-06-04,600121,6,0.65292892361,1,0.4648100808764563,5.0,True,,3.0
600487_2026-06-04,2026-06-04,600487,6,0.640526468833,2,0.4815750743093681,1.0,True,,1.0
002137_2026-06-04,2026-06-04,002137,6,0.621397884231,3,0.4605548001497063,8.0,True,,5.0
000700_2026-06-04,2026-06-04,000700,6,0.612046066852,4,0.4621726021962941,6.0,True,,4.0
603311_2026-06-04,2026-06-04,603311,6,0.608505916141,5,0.4721921347515785,3.0,True,,2.0
600936_2026-06-04,2026-06-04,600936,6,0.582327156051,6,0.4266553018136297,46.0,True,,6.0
600688_2026-06-05,2026-06-05,600688,6,0.659782465301,1,0.4524118082850157,5.0,True,,1.0
600255_2026-06-05,2026-06-05,600255,6,0.643192287344,2,0.4496106009466016,8.0,True,,2.0
605162_2026-06-05,2026-06-05,605162,6,0.626879956026,3,0.4324276114272992,21.0,True,,4.0
001896_2026-06-05,2026-06-05,001896,6,0.612742396022,4,0.4495491165568179,9.0,True,,3.0
002787_2026-06-05,2026-06-05,002787,6,0.584055502965,5,0.4131009875587532,40.0,True,,5.0
600439_2026-06-05,2026-06-05,600439,6,0.579469160203,6,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
000520_2026-06-08,2026-06-08,000520,3,0.591371261451,1,0.4498821338845374,2.0,True,,1.0
600293_2026-06-08,2026-06-08,600293,3,0.566017213282,2,0.4385041355840388,4.0,True,,2.0
003036_2026-06-08,2026-06-08,003036,3,0.523107889091,3,0.4148783446557238,13.0,True,,3.0
603859_2026-06-09,2026-06-09,603859,9,0.626528279519,1,0.4622272869847549,3.0,True,,1.0
603500_2026-06-09,2026-06-09,603500,9,0.611437680055,2,0.43511847490618,10.0,True,,4.0
002421_2026-06-09,2026-06-09,002421,9,0.592821129716,3,0.4492541663181975,5.0,True,,2.0
003009_2026-06-09,2026-06-09,003009,9,0.591826599503,4,0.4388628274584257,8.0,True,,3.0
000068_2026-06-09,2026-06-09,000068,9,0.581605518672,5,0.4269763528959237,12.0,True,,5.0
002361_2026-06-09,2026-06-09,002361,9,0.576456113378,6,0.425211110454656,13.0,True,,6.0
002613_2026-06-09,2026-06-09,002613,9,0.565011080731,7,0.4131416651516708,15.0,True,,7.0
000517_2026-06-09,2026-06-09,000517,9,0.547631865776,8,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
000759_2026-06-09,2026-06-09,000759,9,0.542700800948,9,0.3823039719250912,23.0,True,,8.0
603929_2026-06-10,2026-06-10,603929,7,0.606701516414,1,0.4713362904488171,2.0,True,,2.0
603616_2026-06-10,2026-06-10,603616,7,0.595411918467,2,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
603186_2026-06-10,2026-06-10,603186,7,0.593746482363,3,0.4762073621809718,1.0,True,,1.0
001696_2026-06-10,2026-06-10,001696,7,0.582844901318,4,0.4668778129056055,3.0,True,,3.0
002747_2026-06-10,2026-06-10,002747,7,0.556544588022,5,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002362_2026-06-10,2026-06-10,002362,7,0.553336281321,6,0.4543205284588158,11.0,True,,5.0
002254_2026-06-10,2026-06-10,002254,7,0.540138504497,7,0.4567017113284358,10.0,True,,4.0
002636_2026-06-11,2026-06-11,002636,10,0.600535612351,1,0.4833927712116613,1.0,True,,1.0
605318_2026-06-11,2026-06-11,605318,10,0.597700837423,2,0.4833514805715464,2.0,True,,2.0
605589_2026-06-11,2026-06-11,605589,10,0.581178360457,3,0.4606484919026423,11.0,True,,4.0
605006_2026-06-11,2026-06-11,605006,10,0.580402769619,4,0.4710045518932435,6.0,True,,3.0
603065_2026-06-11,2026-06-11,603065,10,0.564034881813,5,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002585_2026-06-11,2026-06-11,002585,10,0.547947347533,6,0.4370558647242197,23.0,True,,5.0
000029_2026-06-11,2026-06-11,000029,10,0.545473862865,7,0.433087182665108,33.0,True,,6.0
003026_2026-06-11,2026-06-11,003026,10,0.537623134217,8,0.377105793202968,119.0,True,,9.0
603002_2026-06-11,2026-06-11,603002,10,0.531343667312,9,0.4156225654355585,61.0,True,,8.0
002669_2026-06-11,2026-06-11,002669,10,0.529100716074,10,0.4221301664030447,47.0,True,,7.0
002119_2026-06-12,2026-06-12,002119,8,0.586392572125,1,0.4613187098212403,4.0,True,,3.0
000048_2026-06-12,2026-06-12,000048,8,0.570389237292,2,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002409_2026-06-12,2026-06-12,002409,8,0.56486602319,3,0.4675018166730403,2.0,True,,1.0
600378_2026-06-12,2026-06-12,600378,8,0.548745109595,4,0.4656750063916746,3.0,True,,2.0
002165_2026-06-12,2026-06-12,002165,8,0.540653865757,5,0.4386387768800506,22.0,True,,4.0
600665_2026-06-12,2026-06-12,600665,8,0.533369440337,6,0.4172773133821916,45.0,True,,5.0
603155_2026-06-12,2026-06-12,603155,8,0.524696049824,7,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
600178_2026-06-12,2026-06-12,600178,8,0.51858552727,8,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002203_2026-06-15,2026-06-15,002203,3,0.553088870644,1,0.4685646436100604,3.0,True,,1.0
600067_2026-06-15,2026-06-15,600067,3,0.522420645657,2,0.4319396064137688,14.0,True,,2.0
603014_2026-06-15,2026-06-15,603014,3,0.472858641154,3,0.4253136093373551,15.0,True,,3.0
601958_2026-06-16,2026-06-16,601958,7,0.592319763519,1,0.4684977288587044,11.0,True,,4.0
001359_2026-06-16,2026-06-16,001359,7,0.584076635077,2,0.4763764794457507,4.0,True,,1.0
000510_2026-06-16,2026-06-16,000510,7,0.572216002721,3,0.474573890362167,5.0,True,,2.0
601696_2026-06-16,2026-06-16,601696,7,0.547238939001,4,0.453659557110852,14.0,True,,6.0
603738_2026-06-16,2026-06-16,603738,7,0.543805034004,5,0.4689176366943801,9.0,True,,3.0
603335_2026-06-16,2026-06-16,603335,7,0.520929691444,6,0.458777664737847,12.0,True,,5.0
000506_2026-06-16,2026-06-16,000506,7,0.49776781373,7,0.4320615791660563,29.0,True,,7.0
605198_2026-06-17,2026-06-17,605198,17,0.595347963081,1,0.4767686952828275,9.0,True,,6.0
603256_2026-06-17,2026-06-17,603256,17,0.590493733946,2,0.4893529689379386,1.0,True,,1.0
002515_2026-06-17,2026-06-17,002515,17,0.580208362088,3,0.4615317938297258,23.0,True,,8.0
002824_2026-06-17,2026-06-17,002824,17,0.579912100891,4,0.4838631621420621,6.0,True,,4.0
600549_2026-06-17,2026-06-17,600549,17,0.57652875494,5,0.4861042912438695,2.0,True,,2.0
605289_2026-06-17,2026-06-17,605289,17,0.567053946914,6,0.4846288344952082,4.0,True,,3.0
002851_2026-06-17,2026-06-17,002851,17,0.560273706408,7,0.4786538060863917,8.0,True,,5.0
002585_2026-06-17,2026-06-17,002585,17,0.554586794746,8,0.4524120617516492,31.0,True,,10.0
002552_2026-06-17,2026-06-17,002552,17,0.552111624994,9,0.4606795002210438,24.0,True,,9.0
002990_2026-06-17,2026-06-17,002990,17,0.544319402763,10,0.4712390345826594,12.0,True,,7.0
603516_2026-06-17,2026-06-17,603516,17,0.529892433793,11,0.4455816908088768,41.0,True,,11.0
601179_2026-06-17,2026-06-17,601179,17,0.524657251065,12,0.4328983170297565,55.0,True,,12.0
002806_2026-06-17,2026-06-17,002806,17,0.516683953512,13,0.4206959132624339,69.0,True,,13.0
600545_2026-06-17,2026-06-17,600545,17,0.508964217966,14,0.3953754782361665,122.0,True,,15.0
603045_2026-06-17,2026-06-17,603045,17,0.501441178291,15,0.3948622826911033,124.0,True,,16.0
600703_2026-06-17,2026-06-17,600703,17,0.486643311867,16,0.3987335888514985,112.0,True,,14.0
002051_2026-06-17,2026-06-17,002051,17,0.48247483137,17,0.3830909359698713,143.0,True,,17.0
603186_2026-06-18,2026-06-18,603186,15,0.585704012668,1,0.4943165073021167,2.0,True,,1.0
002741_2026-06-18,2026-06-18,002741,15,0.585158419493,2,0.478720783854668,10.0,True,,4.0
600110_2026-06-18,2026-06-18,600110,15,0.580452756331,3,0.4736731733520327,15.0,True,,6.0
603002_2026-06-18,2026-06-18,603002,15,0.573955645041,4,0.4902274366425228,5.0,True,,3.0
002080_2026-06-18,2026-06-18,002080,15,0.560803777126,5,0.4918678188389568,4.0,True,,2.0
603115_2026-06-18,2026-06-18,603115,15,0.552043813694,6,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
600186_2026-06-18,2026-06-18,600186,15,0.551631778798,7,0.47422874639716,14.0,True,,5.0
000679_2026-06-18,2026-06-18,000679,15,0.546599234047,8,0.4599221782759992,35.0,True,,9.0
603773_2026-06-18,2026-06-18,603773,15,0.538454414922,9,0.4353231555589505,69.0,True,,13.0
000777_2026-06-18,2026-06-18,000777,15,0.535094883741,10,0.4650610831552175,24.0,True,,8.0
601636_2026-06-18,2026-06-18,601636,15,0.53503798609,11,0.4398614440778668,63.0,True,,11.0
002484_2026-06-18,2026-06-18,002484,15,0.525255049639,12,0.4696839768825766,18.0,True,,7.0
600192_2026-06-18,2026-06-18,600192,15,0.523584163994,13,0.438067270929882,66.0,True,,12.0
600615_2026-06-18,2026-06-18,600615,15,0.521173712542,14,0.4438322662633402,57.0,True,,10.0
600707_2026-06-18,2026-06-18,600707,15,0.514021305021,15,0.4019396053025563,130.0,True,,14.0
001339_2026-06-22,2026-06-22,001339,7,0.517562963578,1,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002989_2026-06-22,2026-06-22,002989,7,0.515856084349,2,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002491_2026-06-22,2026-06-22,002491,7,0.512636590575,3,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002141_2026-06-22,2026-06-22,002141,7,0.504174372027,4,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002579_2026-06-22,2026-06-22,002579,7,0.503604742205,5,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
603261_2026-06-22,2026-06-22,603261,7,0.497476143419,6,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
603324_2026-06-22,2026-06-22,603324,7,0.480874776823,7,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
603663_2026-06-23,2026-06-23,603663,14,0.586697764065,1,0.4833764665653433,2.0,True,,1.0
002297_2026-06-23,2026-06-23,002297,14,0.585916022725,2,0.4590701299016531,28.0,True,,7.0
600769_2026-06-23,2026-06-23,600769,14,0.584547348003,3,0.476986122571007,8.0,True,,4.0
003031_2026-06-23,2026-06-23,003031,14,0.584507137196,4,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
000811_2026-06-23,2026-06-23,000811,14,0.584407024115,5,0.4748414068545224,10.0,True,,5.0
603082_2026-06-23,2026-06-23,603082,14,0.580361581035,6,0.4693237877703006,17.0,True,,6.0
002655_2026-06-23,2026-06-23,002655,14,0.576492802044,7,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
000657_2026-06-23,2026-06-23,000657,14,0.575906534438,8,0.4810391976434954,5.0,True,,2.0
002805_2026-06-23,2026-06-23,002805,14,0.570212773876,9,0.4771083352384613,6.0,True,,3.0
603380_2026-06-23,2026-06-23,603380,14,0.558216328985,10,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002842_2026-06-23,2026-06-23,002842,14,0.555605676934,11,0.4474704493464342,33.0,True,,8.0
001296_2026-06-23,2026-06-23,001296,14,0.542229052168,12,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
600162_2026-06-23,2026-06-23,600162,14,0.533451651476,13,0.4231980167257506,52.0,True,,9.0
002354_2026-06-23,2026-06-23,002354,14,0.532314135827,14,0.3913720241438054,89.0,True,,10.0
603757_2026-06-24,2026-06-24,603757,15,0.596544810405,1,0.5039362176413161,2.0,True,,2.0
600851_2026-06-24,2026-06-24,600851,15,0.586701950624,2,0.4799090809378517,19.0,True,,6.0
000070_2026-06-24,2026-06-24,000070,15,0.582955068084,3,0.5033668863719019,3.0,True,,3.0
600172_2026-06-24,2026-06-24,600172,15,0.582326078323,4,0.4949253241171972,5.0,True,,4.0
601869_2026-06-24,2026-06-24,601869,15,0.577372843246,5,0.5047040587151885,1.0,True,,1.0
002068_2026-06-24,2026-06-24,002068,15,0.559325472293,6,0.4645414445007941,32.0,True,,9.0
000783_2026-06-24,2026-06-24,000783,15,0.555681847817,7,0.4821043843464955,14.0,True,,5.0
600470_2026-06-24,2026-06-24,600470,15,0.553948548934,8,0.448554669501954,51.0,True,,11.0
000571_2026-06-24,2026-06-24,000571,15,0.550804470021,9,0.4760599514273412,23.0,True,,7.0
002830_2026-06-24,2026-06-24,002830,15,0.549015627306,10,0.4702570644861034,28.0,True,,8.0
600400_2026-06-24,2026-06-24,600400,15,0.547862758229,11,0.4409255809037796,59.0,True,,12.0
605580_2026-06-24,2026-06-24,605580,15,0.547690965321,12,0.4406636714610105,61.0,True,,13.0
605377_2026-06-24,2026-06-24,605377,15,0.541505855729,13,0.4581115355768888,42.0,True,,10.0
600322_2026-06-24,2026-06-24,600322,15,0.529890710676,14,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002672_2026-06-24,2026-06-24,002672,15,0.525219100429,15,0.4197126344862698,95.0,True,,14.0
600909_2026-06-25,2026-06-25,600909,9,0.585935991637,1,0.4819334947199433,27.0,True,,4.0
605069_2026-06-25,2026-06-25,605069,9,0.585333706796,2,0.4912298620850194,16.0,True,,1.0
600379_2026-06-25,2026-06-25,600379,9,0.581718702754,3,0.4782364330317514,32.0,True,,5.0
002580_2026-06-25,2026-06-25,002580,9,0.571799934422,4,0.4765310433609809,34.0,True,,6.0
002631_2026-06-25,2026-06-25,002631,9,0.569926519491,5,0.4829400426395824,26.0,True,,3.0
603938_2026-06-25,2026-06-25,603938,9,0.569380151262,6,0.4869100002914784,21.0,True,,2.0
000566_2026-06-25,2026-06-25,000566,9,0.556051086441,7,0.4508844240646327,63.0,True,,7.0
002584_2026-06-25,2026-06-25,002584,9,0.554461105172,8,,,False,NOT_IN_ARCHIVED_ORIGINAL_V4A_SCORE,
002687_2026-06-25,2026-06-25,002687,9,0.538391416489,9,0.430502349300864,101.0,True,,8.0
603989_2026-06-26,2026-06-26,603989,12,0.594136598484,1,0.4957923056659006,9.0,True,,4.0
002990_2026-06-26,2026-06-26,002990,12,0.587470412947,2,0.498018977604988,5.0,True,,2.0
600667_2026-06-26,2026-06-26,600667,12,0.578921950821,3,0.4908128201129451,11.0,True,,5.0
002080_2026-06-26,2026-06-26,002080,12,0.57749649108,4,0.4986895013298063,4.0,True,,1.0
600141_2026-06-26,2026-06-26,600141,12,0.576158976892,5,0.4889689350862469,12.0,True,,6.0
603678_2026-06-26,2026-06-26,603678,12,0.575196614348,6,0.4844584717360304,16.0,True,,7.0
600584_2026-06-26,2026-06-26,600584,12,0.571023638358,7,0.4966508996292897,8.0,True,,3.0
603929_2026-06-26,2026-06-26,603929,12,0.567444124227,8,0.4834467584050965,19.0,True,,8.0
002025_2026-06-26,2026-06-26,002025,12,0.558912536272,9,0.4735177497038653,29.0,True,,10.0
603713_2026-06-26,2026-06-26,603713,12,0.556961989121,10,0.476879401043864,28.0,True,,9.0
000818_2026-06-26,2026-06-26,000818,12,0.550765435309,11,0.4479036929076546,64.0,True,,12.0
002254_2026-06-26,2026-06-26,002254,12,0.538262782847,12,0.4487476656111391,62.0,True,,11.0
