event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
600110_2026-06-01,2026-06-01,600110,0,0.0451559934319,0.0451559934319,0.573956161071,2,0.580988837363,1,-1,1,1,0.875,0.5,0.5,1,1,0.765625,0.25,0.25,2
002806_2026-06-01,2026-06-01,002806,1,0.149321266968,0.07,0.576826170605,1,0.573422131541,2,1,0.75,0.75,0.875,0.25,0.75,0.5625,0.5625,0.765625,0.0625,0.5625,0
000090_2026-06-01,2026-06-01,000090,0,-0.0263852242744,-0.0263852242744,0.572731263479,3,0.572279852323,3,0,0.5,0.5,0.5,1,0.25,0.25,0.25,0.25,1,0.0625,1
603324_2026-06-01,2026-06-01,603324,0,0.0224038752649,0.0224038752649,0.534568190065,4,0.527266928662,4,0,0.25,0.25,0.25,0.75,1,0.0625,0.0625,0.0625,0.5625,1,1
002608_2026-06-02,2026-06-02,002608,1,0.099,0.07,0.669829779368,1,0.6805150351,1,0,1,1,0.75,1,1,1,1,0.5625,1,1,4
600011_2026-06-02,2026-06-02,600011,0,0.0260475651189,0.0260475651189,0.616202677126,2,0.610177500222,2,0,0.5,0.5,0.75,0.5,0.5,0.25,0.25,0.5625,0.25,0.25,0
600280_2026-06-03,2026-06-03,600280,0,-0.0125313283208,-0.0125313283208,0.661231793594,1,0.668131391474,1,0,1,0.857142857143,0.857142857143,0.857142857143,0.285714285714,1,0.734693877551,0.734693877551,0.734693877551,0.0816326530612,1
002579_2026-06-03,2026-06-03,002579,0,0.0540254237288,0.0540254237288,0.647916971429,2,0.654038341206,2,0,0.857142857143,1,0.857142857143,0.428571428571,0.714285714286,0.734693877551,1,0.734693877551,0.183673469388,0.510204081633,1
001210_2026-06-03,2026-06-03,001210,0,-0.244557534634,-0.244557534634,0.637872786829,3,0.639335535401,3,0,0.714285714286,0.714285714286,0.857142857143,0.571428571429,0.857142857143,0.510204081633,0.510204081633,0.734693877551,0.326530612245,0.734693877551,0
002404_2026-06-03,2026-06-03,002404,0,0.0299319727891,0.0299319727891,0.625034502764,4,0.624157929135,4,0,0.571428571429,0.571428571429,0.5,1,0.571428571429,0.326530612245,0.326530612245,0.25,1,0.326530612245,1
000055_2026-06-03,2026-06-03,000055,0,0,0,0.58808867594,5,0.574187016133,5,0,0.428571428571,0.428571428571,0.5,0.142857142857,0.142857142857,0.183673469388,0.183673469388,0.25,0.0204081632653,0.0204081632653,0
603045_2026-06-03,2026-06-03,603045,1,0.154815115807,0.07,0.577252441214,6,0.566995612001,6,0,0.142857142857,0.285714285714,0.214285714286,0.285714285714,1,0.0204081632653,0.0816326530612,0.0459183673469,0.0816326530612,1,1
002421_2026-06-03,2026-06-03,002421,0,0.0698151950719,0.0698151950719,0.576307116662,7,0.564439757921,7,0,0.285714285714,0.142857142857,0.214285714286,0.714285714286,0.428571428571,0.0816326530612,0.0204081632653,0.0459183673469,0.510204081633,0.183673469388,0
600487_2026-06-04,2026-06-04,600487,0,0.0659375,0.0659375,0.627977920763,2,0.641153739402,1,-1,1,0.833333333333,0.666666666667,1,1,1,0.694444444444,0.444444444444,1,1,3
600121_2026-06-04,2026-06-04,600121,0,-0.00709219858156,-0.00709219858156,0.637702532534,1,0.637392733192,2,1,0.833333333333,1,0.666666666667,0.166666666667,0.166666666667,0.694444444444,1,0.444444444444,0.0277777777778,0.0277777777778,1
002137_2026-06-04,2026-06-04,002137,0,0.0068359375,0.0068359375,0.607058594128,3,0.597700908423,3,0,0.333333333333,0.5,0.666666666667,0.5,0.5,0.111111111111,0.25,0.444444444444,0.25,0.25,0
603311_2026-06-04,2026-06-04,603311,0,0.0277923439958,0.0277923439958,0.593511580553,5,0.596005792109,4,-1,0.666666666667,0.666666666667,0.666666666667,0.833333333333,0.833333333333,0.444444444444,0.444444444444,0.444444444444,0.694444444444,0.694444444444,0
000700_2026-06-04,2026-06-04,000700,0,-0.0651340996169,-0.0651340996169,0.599088692159,4,0.592928486,5,1,0.5,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.25,0.111111111111,0.444444444444,0.444444444444,0.444444444444,0
600936_2026-06-04,2026-06-04,600936,0,-0.0455284552846,-0.0455284552846,0.565504396113,6,0.550614765594,6,0,0.166666666667,0.166666666667,0.166666666667,0.333333333333,0.333333333333,0.0277777777778,0.0277777777778,0.0277777777778,0.111111111111,0.111111111111,0
600688_2026-06-05,2026-06-05,600688,0,0.00302114803625,0.00302114803625,0.62474263453,1,0.628018993184,1,0,1,1,0.833333333333,0.333333333333,0.333333333333,1,1,0.694444444444,0.111111111111,0.111111111111,2
600255_2026-06-05,2026-06-05,600255,1,0.0896551724138,0.07,0.609913051929,2,0.612534702457,2,0,0.833333333333,0.833333333333,0.833333333333,0.833333333333,0.5,0.694444444444,0.694444444444,0.694444444444,0.694444444444,0.25,0
605162_2026-06-05,2026-06-05,605162,0,-0.0449915110357,-0.0449915110357,0.594657536215,3,0.588374182525,3,0,0.666666666667,0.5,0.5,0.5,0.666666666667,0.444444444444,0.25,0.25,0.25,0.444444444444,0
001896_2026-06-05,2026-06-05,001896,1,0.0850528434826,0.07,0.583564120601,4,0.580177708772,4,0,0.5,0.666666666667,0.833333333333,0.166666666667,0.833333333333,0.25,0.444444444444,0.694444444444,0.0277777777778,0.694444444444,0
002787_2026-06-05,2026-06-05,002787,0,0.0670498084291,0.0670498084291,0.556431049829,5,0.55698610113,5,0,0.333333333333,0.166666666667,0.25,1,1,0.111111111111,0.0277777777778,0.0625,1,1,2
600439_2026-06-05,2026-06-05,600439,0,-0.0113636363636,-0.0113636363636,0.549282210224,6,0.537253511909,6,0,0.166666666667,0.333333333333,0.25,0.666666666667,0.166666666667,0.0277777777778,0.111111111111,0.0625,0.444444444444,0.0277777777778,0
000520_2026-06-08,2026-06-08,000520,0,-0.0109409190372,-0.0109409190372,0.576667057781,1,0.58765291801,1,0,1,1,1,0.666666666667,0.666666666667,1,1,1,0.444444444444,0.444444444444,3
600293_2026-06-08,2026-06-08,600293,0,-0.0172839506173,-0.0172839506173,0.546188535009,2,0.544369766341,2,0,0.666666666667,0.666666666667,0.666666666667,1,0.333333333333,0.444444444444,0.444444444444,0.444444444444,1,0.111111111111,1
003036_2026-06-08,2026-06-08,003036,0,0.0681933842239,0.0681933842239,0.50598852066,3,0.498872693427,3,0,0.333333333333,0.333333333333,0.333333333333,0.333333333333,1,0.111111111111,0.111111111111,0.111111111111,0.111111111111,1,1
603859_2026-06-09,2026-06-09,603859,0,0.0640412922959,0.0640412922959,0.610228879137,1,0.62053453574,1,0,0.888888888889,0.888888888889,0.944444444444,0.888888888889,0.888888888889,0.79012345679,0.79012345679,0.891975308642,0.79012345679,0.79012345679,1
603500_2026-06-09,2026-06-09,603500,1,0.0936270653029,0.07,0.587859032421,2,0.592720351775,2,0,1,0.666666666667,0.5,1,0.666666666667,1,0.444444444444,0.25,1,0.444444444444,2
002421_2026-06-09,2026-06-09,002421,0,-0.142105263158,-0.142105263158,0.578510462191,3,0.583309749101,3,0,0.777777777778,1,0.944444444444,0.444444444444,0.444444444444,0.604938271605,1,0.891975308642,0.197530864198,0.197530864198,2
003009_2026-06-09,2026-06-09,003009,0,-0.0131004366812,-0.0131004366812,0.572928253248,4,0.573231382167,4,0,0.555555555556,0.555555555556,0.5,0.777777777778,1,0.308641975309,0.308641975309,0.25,0.604938271605,1,1
000068_2026-06-09,2026-06-09,000068,0,-0.0503978779841,-0.0503978779841,0.56332656943,5,0.556538571715,5,0,0.666666666667,0.777777777778,0.5,0.222222222222,0.222222222222,0.444444444444,0.604938271605,0.25,0.0493827160494,0.0493827160494,0
