event_id,signal_date,code,target7,capped_opportunity_return_7,control_rank,curve_rank,rank_delta,extreme_strength_count,control_top3_false_positive,control_top3_true_positive,demoted_below_top3,newly_promoted_winner,newly_promoted_false_positive,extreme_strength
002806_2026-06-01,2026-06-01,002806,1,0.07,1,2,1,0,False,True,False,False,False,False
600110_2026-06-01,2026-06-01,600110,0,0.0451559934319,2,1,-1,2,True,False,False,False,False,False
000090_2026-06-01,2026-06-01,000090,0,-0.0263852242744,3,3,0,1,True,False,False,False,False,False
603324_2026-06-01,2026-06-01,603324,0,0.0224038752649,4,4,0,1,False,False,False,False,False,False
002608_2026-06-02,2026-06-02,002608,1,0.07,1,1,0,4,False,True,False,False,False,True
600011_2026-06-02,2026-06-02,600011,0,0.0260475651189,2,2,0,0,True,False,False,False,False,False
600280_2026-06-03,2026-06-03,600280,0,-0.0125313283208,1,1,0,1,True,False,False,False,False,False
002579_2026-06-03,2026-06-03,002579,0,0.0540254237288,2,2,0,1,True,False,False,False,False,False
001210_2026-06-03,2026-06-03,001210,0,-0.244557534634,3,3,0,0,True,False,False,False,False,False
002404_2026-06-03,2026-06-03,002404,0,0.0299319727891,4,4,0,1,False,False,False,False,False,False
000055_2026-06-03,2026-06-03,000055,0,0,5,5,0,0,False,False,False,False,False,False
603045_2026-06-03,2026-06-03,603045,1,0.07,6,6,0,1,False,False,False,False,False,False
002421_2026-06-03,2026-06-03,002421,0,0.0698151950719,7,7,0,0,False,False,False,False,False,False
600121_2026-06-04,2026-06-04,600121,0,-0.00709219858156,1,2,1,1,True,False,False,False,False,False
600487_2026-06-04,2026-06-04,600487,0,0.0659375,2,1,-1,3,True,False,False,False,False,True
002137_2026-06-04,2026-06-04,002137,0,0.0068359375,3,3,0,0,True,False,False,False,False,False
000700_2026-06-04,2026-06-04,000700,0,-0.0651340996169,4,5,1,0,False,False,False,False,False,False
603311_2026-06-04,2026-06-04,603311,0,0.0277923439958,5,4,-1,0,False,False,False,False,False,False
600936_2026-06-04,2026-06-04,600936,0,-0.0455284552846,6,6,0,0,False,False,False,False,False,False
600688_2026-06-05,2026-06-05,600688,0,0.00302114803625,1,1,0,2,True,False,False,False,False,False
600255_2026-06-05,2026-06-05,600255,1,0.07,2,2,0,0,False,True,False,False,False,False
605162_2026-06-05,2026-06-05,605162,0,-0.0449915110357,3,3,0,0,True,False,False,False,False,False
001896_2026-06-05,2026-06-05,001896,1,0.07,4,4,0,0,False,False,False,False,False,False
002787_2026-06-05,2026-06-05,002787,0,0.0670498084291,5,5,0,2,False,False,False,False,False,False
600439_2026-06-05,2026-06-05,600439,0,-0.0113636363636,6,6,0,0,False,False,False,False,False,False
000520_2026-06-08,2026-06-08,000520,0,-0.0109409190372,1,1,0,3,True,False,False,False,False,True
600293_2026-06-08,2026-06-08,600293,0,-0.0172839506173,2,2,0,1,True,False,False,False,False,False
003036_2026-06-08,2026-06-08,003036,0,0.0681933842239,3,3,0,1,True,False,False,False,False,False
603859_2026-06-09,2026-06-09,603859,0,0.0640412922959,1,1,0,1,True,False,False,False,False,False
603500_2026-06-09,2026-06-09,603500,1,0.07,2,2,0,2,False,True,False,False,False,False
002421_2026-06-09,2026-06-09,002421,0,-0.142105263158,3,3,0,2,True,False,False,False,False,False
003009_2026-06-09,2026-06-09,003009,0,-0.0131004366812,4,4,0,1,False,False,False,False,False,False
000068_2026-06-09,2026-06-09,000068,0,-0.0503978779841,5,5,0,0,False,False,False,False,False,False
002361_2026-06-09,2026-06-09,002361,0,0.047323943662,6,6,0,0,False,False,False,False,False,False
002613_2026-06-09,2026-06-09,002613,0,-0.013698630137,7,7,0,0,False,False,False,False,False,False
000517_2026-06-09,2026-06-09,000517,0,0.0147783251232,8,8,0,0,False,False,False,False,False,False
000759_2026-06-09,2026-06-09,000759,0,0.00649350649351,9,9,0,0,False,False,False,False,False,False
603929_2026-06-10,2026-06-10,603929,1,0.07,1,1,0,3,False,True,False,False,False,True
603616_2026-06-10,2026-06-10,603616,0,0.0160583941606,2,3,1,0,True,False,False,False,False,False
603186_2026-06-10,2026-06-10,603186,1,0.07,3,2,-1,1,False,True,False,False,False,False
001696_2026-06-10,2026-06-10,001696,1,0.07,4,4,0,0,False,False,False,False,False,False
002747_2026-06-10,2026-06-10,002747,0,0.0194285714286,5,5,0,0,False,False,False,False,False,False
002362_2026-06-10,2026-06-10,002362,0,-0.0082219938335,6,6,0,0,False,False,False,False,False,False
002254_2026-06-10,2026-06-10,002254,1,0.07,7,7,0,0,False,False,False,False,False,False
002636_2026-06-11,2026-06-11,002636,1,0.07,1,1,0,4,False,True,False,False,False,True
605318_2026-06-11,2026-06-11,605318,0,0.0456747404844,2,2,0,2,True,False,False,False,False,False
605006_2026-06-11,2026-06-11,605006,0,0.012037037037,3,3,0,2,True,False,False,False,False,False
605589_2026-06-11,2026-06-11,605589,1,0.07,4,4,0,0,False,False,False,False,False,False
603065_2026-06-11,2026-06-11,603065,0,0.0286764705882,5,5,0,2,False,False,False,False,False,False
002585_2026-06-11,2026-06-11,002585,0,0.0257648953301,6,6,0,0,False,False,False,False,False,False
000029_2026-06-11,2026-06-11,000029,0,0.0117970900511,7,7,0,0,False,False,False,False,False,False
003026_2026-06-11,2026-06-11,003026,0,-0.0459548706659,8,8,0,0,False,False,False,False,False,False
603002_2026-06-11,2026-06-11,603002,0,0.0673719376392,9,9,0,0,False,False,False,False,False,False
002669_2026-06-11,2026-06-11,002669,0,-0.00120481927711,10,10,0,0,False,False,False,False,False,False
002119_2026-06-12,2026-06-12,002119,0,0.0543580131209,1,1,0,2,True,False,False,False,False,False
000048_2026-06-12,2026-06-12,000048,0,-0.0215053763441,2,3,1,0,True,False,False,False,False,False
002409_2026-06-12,2026-06-12,002409,1,0.07,3,2,-1,1,False,True,False,False,False,False
600378_2026-06-12,2026-06-12,600378,1,0.07,4,4,0,0,False,False,False,False,False,False
002165_2026-06-12,2026-06-12,002165,1,0.07,5,5,0,0,False,False,False,False,False,False
600665_2026-06-12,2026-06-12,600665,0,0.012987012987,6,6,0,1,False,False,False,False,False,False
603155_2026-06-12,2026-06-12,603155,1,0.07,7,7,0,0,False,False,False,False,False,False
600178_2026-06-12,2026-06-12,600178,0,-0.00398803589232,8,8,0,0,False,False,False,False,False,False
002203_2026-06-15,2026-06-15,002203,0,0.03625,1,1,0,4,True,False,False,False,False,True
600067_2026-06-15,2026-06-15,600067,0,0.0285714285714,2,2,0,0,True,False,False,False,False,False
603014_2026-06-15,2026-06-15,603014,1,0.07,3,3,0,1,False,True,False,False,False,False
601958_2026-06-16,2026-06-16,601958,0,0.0439285714286,1,2,1,0,True,False,False,False,False,False
001359_2026-06-16,2026-06-16,001359,1,0.07,2,1,-1,2,False,True,False,False,False,False
000510_2026-06-16,2026-06-16,000510,0,-0.0145310435931,3,3,0,2,True,False,False,False,False,False
603738_2026-06-16,2026-06-16,603738,1,0.07,4,4,0,0,False,False,False,False,False,False
601696_2026-06-16,2026-06-16,601696,0,-0.0187265917603,5,5,0,0,False,False,False,False,False,False
603335_2026-06-16,2026-06-16,603335,1,0.07,6,6,0,0,False,False,False,False,False,False
000506_2026-06-16,2026-06-16,000506,0,-0.00130975769483,7,7,0,0,False,False,False,False,False,False
603256_2026-06-17,2026-06-17,603256,1,0.07,1,1,0,2,False,True,False,False,False,False
605198_2026-06-17,2026-06-17,605198,0,-0.0212765957447,2,2,0,3,True,False,False,False,False,True
600549_2026-06-17,2026-06-17,600549,1,0.07,3,3,0,0,False,True,False,False,False,False
002824_2026-06-17,2026-06-17,002824,1,0.07,4,5,1,1,False,False,False,False,False,False
002515_2026-06-17,2026-06-17,002515,1,0.07,5,7,2,1,False,False,False,False,False,False
605289_2026-06-17,2026-06-17,605289,0,0.065543071161,6,4,-2,0,False,False,False,False,False,False
002851_2026-06-17,2026-06-17,002851,1,0.07,7,6,-1,1,False,False,False,False,False,False
002552_2026-06-17,2026-06-17,002552,1,0.07,8,8,0,0,False,False,False,False,False,False
002585_2026-06-17,2026-06-17,002585,0,0.0378634212306,9,10,1,0,False,False,False,False,False,False
002990_2026-06-17,2026-06-17,002990,1,0.07,10,9,-1,0,False,False,False,False,False,False
603516_2026-06-17,2026-06-17,603516,1,0.07,11,11,0,0,False,False,False,False,False,False
601179_2026-06-17,2026-06-17,601179,1,0.07,12,12,0,0,False,False,False,False,False,False
002806_2026-06-17,2026-06-17,002806,0,0.0405727923628,13,13,0,0,False,False,False,False,False,False
600545_2026-06-17,2026-06-17,600545,1,0.07,14,15,1,0,False,False,False,False,False,False
603045_2026-06-17,2026-06-17,603045,0,0.0585868150077,15,14,-1,0,False,False,False,False,False,False
600703_2026-06-17,2026-06-17,600703,1,0.07,16,16,0,0,False,False,False,False,False,False
002051_2026-06-17,2026-06-17,002051,1,0.07,17,17,0,0,False,False,False,False,False,False
603186_2026-06-18,2026-06-18,603186,0,0.0454831800428,1,1,0,4,True,False,False,False,False,True
002741_2026-06-18,2026-06-18,002741,0,-0.0204131227217,2,2,0,2,True,False,False,False,False,False
600110_2026-06-18,2026-06-18,600110,0,-0.0444572748268,3,3,0,1,True,False,False,False,False,False
603002_2026-06-18,2026-06-18,603002,1,0.07,4,4,0,0,False,False,False,False,False,False
002080_2026-06-18,2026-06-18,002080,0,0.0197681513118,5,5,0,0,False,False,False,False,False,False
603115_2026-06-18,2026-06-18,603115,0,0.0322945682451,6,6,0,0,False,False,False,False,False,False
600186_2026-06-18,2026-06-18,600186,0,0.0350515463918,7,7,0,0,False,False,False,False,False,False
000679_2026-06-18,2026-06-18,000679,0,0.0197889182058,8,9,1,0,False,False,False,False,False,False
000777_2026-06-18,2026-06-18,000777,0,0.0143464399575,9,10,1,0,False,False,False,False,False,False
603773_2026-06-18,2026-06-18,603773,0,0.0675738274464,10,8,-2,1,False,False,False,False,False,False
601636_2026-06-18,2026-06-18,601636,0,0.0048309178744,11,12,1,0,False,False,False,False,False,False
002484_2026-06-18,2026-06-18,002484,0,-0.0501659904094,12,11,-1,0,False,False,False,False,False,False
600192_2026-06-18,2026-06-18,600192,0,0.00126742712294,13,13,0,0,False,False,False,False,False,False
600615_2026-06-18,2026-06-18,600615,0,-0.00570342205323,14,14,0,0,False,False,False,False,False,False
600707_2026-06-18,2026-06-18,600707,1,0.07,15,15,0,0,False,False,False,False,False,False
001339_2026-06-22,2026-06-22,001339,0,0.0626988437961,1,1,0,1,True,False,False,False,False,False
002989_2026-06-22,2026-06-22,002989,0,0.0214190093708,2,2,0,1,True,False,False,False,False,False
002491_2026-06-22,2026-06-22,002491,1,0.07,3,3,0,2,False,True,False,False,False,False
002141_2026-06-22,2026-06-22,002141,1,0.07,4,5,1,0,False,False,False,False,False,False
002579_2026-06-22,2026-06-22,002579,0,-0.0383309073265,5,6,1,0,False,False,False,False,False,False
603261_2026-06-22,2026-06-22,603261,1,0.07,6,4,-2,0,False,False,False,False,False,False
603324_2026-06-22,2026-06-22,603324,1,0.07,7,7,0,0,False,False,False,False,False,False
603663_2026-06-23,2026-06-23,603663,0,0.0294117647059,1,1,0,0,True,False,False,False,False,False
002297_2026-06-23,2026-06-23,002297,1,0.07,2,3,1,2,False,True,False,False,False,False
003031_2026-06-23,2026-06-23,003031,0,0.0645161290323,3,2,-1,1,True,False,False,False,False,False
000811_2026-06-23,2026-06-23,000811,1,0.07,4,4,0,2,False,False,False,False,False,False
600769_2026-06-23,2026-06-23,600769,0,0.00775547445255,5,5,0,0,False,False,False,False,False,False
603082_2026-06-23,2026-06-23,603082,0,0.0208955223881,6,6,0,0,False,False,False,False,False,False
000657_2026-06-23,2026-06-23,000657,1,0.07,7,7,0,1,False,False,False,False,False,False
002655_2026-06-23,2026-06-23,002655,1,0.07,8,8,0,1,False,False,False,False,False,False
