signal_date,event_id,code,stage1_rank,final_capped_rank,membership_status,target7,raw_return,capped_return_7
2026-07-01,600707_2026-07-01,600707,3,7,DEMOTED,0,-0.0225609756098,-0.0225609756098
2026-07-01,003043_2026-07-01,003043,2,3,PRESERVED,1,0.0700453234446,0.07
2026-07-01,603061_2026-07-01,603061,1,2,PRESERVED,0,0.00845360824742,0.00845360824742
2026-07-01,603950_2026-07-01,603950,6,1,PROMOTED,0,0.0501268269115,0.0501268269115
2026-07-02,002167_2026-07-02,002167,3,7,DEMOTED,0,0.00766283524904,0.00766283524904
2026-07-02,002407_2026-07-02,002407,1,4,DEMOTED,0,-0.0672530694521,-0.0672530694521
2026-07-02,603379_2026-07-02,603379,2,5,DEMOTED,0,-0.049125,-0.049125
2026-07-02,000620_2026-07-02,000620,9,1,PROMOTED,0,0.0461956521739,0.0461956521739
2026-07-02,002273_2026-07-02,002273,10,2,PROMOTED,0,-0.0293068297655,-0.0293068297655
2026-07-02,002929_2026-07-02,002929,8,3,PROMOTED,0,0.00488155061019,0.00488155061019
2026-07-03,002559_2026-07-03,002559,2,5,DEMOTED,0,-0.0370111731844,-0.0370111731844
2026-07-03,605488_2026-07-03,605488,3,8,DEMOTED,0,-0.00887573964497,-0.00887573964497
2026-07-03,600641_2026-07-03,600641,1,3,PRESERVED,0,-0.0103537532355,-0.0103537532355
2026-07-03,002458_2026-07-03,002458,8,2,PROMOTED,0,0.0244444444444,0.0244444444444
2026-07-03,603505_2026-07-03,603505,9,1,PROMOTED,0,-0.0742417383431,-0.0742417383431
2026-07-06,002979_2026-07-06,002979,1,4,DEMOTED,0,-0.0586135895676,-0.0586135895676
2026-07-06,603338_2026-07-06,603338,3,7,DEMOTED,0,0.00377358490566,0.00377358490566
2026-07-06,603580_2026-07-06,603580,2,6,DEMOTED,1,0.100148148148,0.07
2026-07-06,000506_2026-07-06,000506,9,2,PROMOTED,1,0.137288135593,0.07
2026-07-06,603286_2026-07-06,603286,7,3,PROMOTED,0,-0.00678028220634,-0.00678028220634
2026-07-06,603559_2026-07-06,603559,10,1,PROMOTED,0,-0.0362811791383,-0.0362811791383
2026-07-07,002396_2026-07-07,002396,2,4,DEMOTED,0,0.0556760665221,0.0556760665221
2026-07-07,000656_2026-07-07,000656,3,3,PRESERVED,0,0.0381679389313,0.0381679389313
2026-07-07,603722_2026-07-07,603722,1,2,PRESERVED,0,0.0209756097561,0.0209756097561
2026-07-07,002767_2026-07-07,002767,4,1,PROMOTED,0,0.0210924824229,0.0210924824229
2026-07-08,600246_2026-07-08,600246,3,3,PRESERVED,1,0.100723140496,0.07
2026-07-08,603823_2026-07-08,603823,1,2,PRESERVED,0,0.0501307759372,0.0501307759372
2026-07-08,603861_2026-07-08,603861,2,1,PRESERVED,0,0.0429777436685,0.0429777436685
2026-07-09,001229_2026-07-09,001229,2,4,DEMOTED,1,0.0759219088937,0.07
2026-07-09,001365_2026-07-09,001365,3,3,PRESERVED,1,0.0847231487658,0.07
2026-07-09,600288_2026-07-09,600288,1,2,PRESERVED,0,0.0496067755596,0.0496067755596
2026-07-09,600094_2026-07-09,600094,4,1,PROMOTED,0,0.0281329923274,0.0281329923274
2026-07-10,000977_2026-07-10,000977,2,2,PRESERVED,0,-0.0287912087912,-0.0287912087912
2026-07-10,002841_2026-07-10,002841,1,1,PRESERVED,0,0.0153368278004,0.0153368278004
2026-07-10,603928_2026-07-10,603928,3,3,PRESERVED,0,-0.0377804014168,-0.0377804014168
2026-07-13,000887_2026-07-13,000887,3,4,DEMOTED,0,-0.0155466399198,-0.0155466399198
2026-07-13,000892_2026-07-13,000892,2,3,PRESERVED,0,-0.130864197531,-0.130864197531
2026-07-13,002829_2026-07-13,002829,1,2,PRESERVED,0,-0.0442105263158,-0.0442105263158
2026-07-13,002346_2026-07-13,002346,5,1,PROMOTED,0,0.0417895771878,0.0417895771878
2026-07-14,001395_2026-07-14,001395,2,4,DEMOTED,1,0.133841886269,0.07
2026-07-14,600513_2026-07-14,600513,3,7,DEMOTED,1,0.118304885227,0.07
2026-07-14,003020_2026-07-14,003020,1,3,PRESERVED,1,0.169871794872,0.07
2026-07-14,600992_2026-07-14,600992,6,1,PROMOTED,1,0.124513618677,0.07
2026-07-14,601608_2026-07-14,601608,7,2,PROMOTED,0,0.0224489795918,0.0224489795918
2026-07-15,002379_2026-07-15,002379,1,1,PRESERVED,0,0.0368334249588,0.0368334249588
2026-07-15,603065_2026-07-15,603065,2,2,PRESERVED,0,-0.100157315155,-0.100157315155
2026-07-16,001388_2026-07-16,001388,1,4,DEMOTED,1,0.27990430622,0.07
2026-07-16,002432_2026-07-16,002432,3,9,DEMOTED,1,0.1,0.07
2026-07-16,600829_2026-07-16,600829,2,5,DEMOTED,0,-0.053125,-0.053125
2026-07-16,600227_2026-07-16,600227,9,1,PROMOTED,1,0.203571428571,0.07
2026-07-16,600844_2026-07-16,600844,7,3,PROMOTED,0,0.0567375886525,0.0567375886525
2026-07-16,605255_2026-07-16,605255,8,2,PROMOTED,0,-0.0986986213117,-0.0986986213117
2026-07-17,002739_2026-07-17,002739,3,4,DEMOTED,0,-0.00104275286757,-0.00104275286757
2026-07-17,000504_2026-07-17,000504,2,3,PRESERVED,0,-0.0404761904762,-0.0404761904762
2026-07-17,002365_2026-07-17,002365,1,2,PRESERVED,0,0.0580204778157,0.0580204778157
2026-07-17,000566_2026-07-17,000566,4,1,PROMOTED,0,0.041394335512,0.041394335512
2026-07-20,603567_2026-07-20,603567,2,4,DEMOTED,1,0.122082585278,0.07
2026-07-20,000676_2026-07-20,000676,1,2,PRESERVED,1,0.13679245283,0.07
2026-07-20,002677_2026-07-20,002677,3,1,PRESERVED,0,-0.0123266563945,-0.0123266563945
2026-07-20,600162_2026-07-20,600162,5,3,PROMOTED,1,0.0739299610895,0.07
2026-07-21,600236_2026-07-21,600236,3,4,DEMOTED,1,0.133209990749,0.07
2026-07-21,600644_2026-07-21,600644,2,5,DEMOTED,1,0.236559139785,0.07
2026-07-21,000722_2026-07-21,000722,1,1,PRESERVED,1,0.0816473988439,0.07
2026-07-21,600227_2026-07-21,600227,6,2,PROMOTED,1,0.235714285714,0.07
2026-07-21,600722_2026-07-21,600722,7,3,PROMOTED,1,0.242873432155,0.07
2026-07-22,000889_2026-07-22,000889,1,1,PRESERVED,0,-0.0283505154639,-0.0283505154639
2026-07-22,002036_2026-07-22,002036,2,2,PRESERVED,0,-0.0206896551724,-0.0206896551724
2026-07-23,603118_2026-07-23,603118,2,3,PRESERVED,0,0.064126984127,0.064126984127
2026-07-23,603407_2026-07-23,603407,3,2,PRESERVED,0,0.0290171083529,0.0290171083529
2026-07-23,603629_2026-07-23,603629,1,1,PRESERVED,0,0.0350877192982,0.0350877192982
2026-07-24,000603_2026-07-24,000603,3,7,DEMOTED,0,-0.0238663484487,-0.0238663484487
2026-07-24,603619_2026-07-24,603619,2,4,DEMOTED,0,0.0430739109153,0.0430739109153
2026-07-24,600722_2026-07-24,600722,1,1,PRESERVED,0,-0.10009718173,-0.10009718173
2026-07-24,002412_2026-07-24,002412,7,3,PROMOTED,1,0.0734870317003,0.07
2026-07-24,600396_2026-07-24,600396,4,2,PROMOTED,1,0.229285714286,0.07
2026-07-27,600698_2026-07-27,600698,2,4,DEMOTED,0,-0.0221893491124,-0.0221893491124
2026-07-27,002083_2026-07-27,002083,3,3,PRESERVED,0,0.00677966101695,0.00677966101695
2026-07-27,002300_2026-07-27,002300,1,2,PRESERVED,0,0.0109289617486,0.0109289617486
2026-07-27,000011_2026-07-27,000011,5,1,PROMOTED,0,-0.0277777777778,-0.0277777777778
2026-07-28,600617_2026-07-28,600617,2,2,PRESERVED,0,0.0668693009119,0.0668693009119
2026-07-28,601606_2026-07-28,601606,1,1,PRESERVED,1,0.0972727272727,0.07
2026-07-28,603690_2026-07-28,603690,3,3,PRESERVED,0,-0.0450199203187,-0.0450199203187
2026-07-29,002969_2026-07-29,002969,2,4,DEMOTED,0,0.0433734939759,0.0433734939759
2026-07-29,002173_2026-07-29,002173,3,2,PRESERVED,0,0.0153617443013,0.0153617443013
2026-07-29,002388_2026-07-29,002388,1,3,PRESERVED,0,-0.0460921843687,-0.0460921843687
2026-07-29,603389_2026-07-29,603389,8,1,PROMOTED,0,-0.00437888914496,-0.00437888914496
2026-07-30,002199_2026-07-30,002199,2,5,DEMOTED,0,0.0167046317388,0.0167046317388
2026-07-30,600693_2026-07-30,600693,3,3,PRESERVED,1,0.149939540508,0.07
2026-07-30,603580_2026-07-30,603580,1,2,PRESERVED,0,0.045256916996,0.045256916996
2026-07-30,001358_2026-07-30,001358,4,1,PROMOTED,0,0.00807428340735,0.00807428340735
2026-07-31,605388_2026-07-31,605388,3,4,DEMOTED,0,0.0406779661017,0.0406779661017
2026-07-31,002882_2026-07-31,002882,1,2,PRESERVED,1,0.146555709663,0.07
2026-07-31,600228_2026-07-31,600228,2,3,PRESERVED,0,0.065306122449,0.065306122449
2026-07-31,603556_2026-07-31,603556,4,1,PROMOTED,0,0.0199773840935,0.0199773840935
