scope,model,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,winner_capture,universe_target7_rate,Top3_days_le_minus_3,Top3_days_le_minus_5,Top3_days_le_minus_10
COMBINED,CONTROL_V4A,0.0172026207819,0.0350877192982,-0.0193521343497,-0.10009718173,0.01991989278,-0.00271727199806,0.695652173913,0.304347826087,0.478260869565,0.260869565217,23,0.0145947462994,0.0430739109153,-0.0329011909878,-0.130864197531,0.01991989278,-0.0053251464806,0.608695652174,0.391304347826,0.521739130435,0.260869565217,23,0.0187819716304,0.00766283524904,-0.0123266563945,-0.0450199203187,0.0244923602074,-0.00571038857705,0.619047619048,0.380952380952,0.428571428571,0.285714285714,21,0.0172026207819,0.0350877192982,-0.0193521343497,-0.10009718173,0.01991989278,-0.00271727199806,0.695652173913,0.304347826087,0.478260869565,0.260869565217,23,0.0158986835407,0.00877214366975,-0.0152048268527,-0.0875373619233,0.01991989278,-0.00402120923933,0.608695652174,0.391304347826,0.391304347826,0.260869565217,23,0.0196527763165,0.0289583333333,-0.00149357544895,-0.0635404545888,0.0244923602074,-0.00483958389091,0.714285714286,0.285714285714,0.380952380952,0.285714285714,21,0.490196078431,0.257991715139,2,1,0
COMBINED,PAIR_CAPPED7,0.0166767526856,0.0281329923274,-0.00835277276971,-0.10009718173,0.01991989278,-0.00324314009436,0.695652173913,0.304347826087,0.434782608696,0.173913043478,23,0.0186808933544,0.0244444444444,-0.0061180234625,-0.100157315155,0.01991989278,-0.00123899942558,0.739130434783,0.260869565217,0.521739130435,0.217391304348,23,0.0227920436302,0.0567375886525,-0.0103537532355,-0.130864197531,0.0244923602074,-0.00170031657726,0.666666666667,0.333333333333,0.52380952381,0.380952380952,21,0.0166767526856,0.0281329923274,-0.00835277276971,-0.10009718173,0.01991989278,-0.00324314009436,0.695652173913,0.304347826087,0.434782608696,0.173913043478,23,0.01767882302,0.0210340460895,-0.00757579925498,-0.031661945098,0.01991989278,-0.00224106975997,0.652173913043,0.347826086957,0.347826086957,0.195652173913,23,0.0222892513649,0.0267453437034,0.00725679100619,-0.0444283822196,0.0244923602074,-0.00220310884256,0.761904761905,0.238095238095,0.47619047619,0.269841269841,21,0.460784313725,0.257991715139,1,0,0
COMBINED,TOP10_ORACLE,0.0617115801258,0.07,0.0638682257913,-0.0206896551724,0.01991989278,0.0417916873458,0.95652173913,0.0434782608696,0.95652173913,0.695652173913,23,0.0432471782708,0.0566265060241,0.0366278291148,-0.100157315155,0.01991989278,0.0233272854908,0.869565217391,0.130434782609,0.782608695652,0.391304347826,23,0.0360867401409,0.0429777436685,0.0210924824229,-0.0450199203187,0.0244923602074,0.0115943799335,0.809523809524,0.190476190476,0.666666666667,0.285714285714,21,0.0617115801258,0.07,0.0638682257913,-0.0206896551724,0.01991989278,0.0417916873458,0.95652173913,0.0434782608696,0.95652173913,0.695652173913,23,0.0524793791983,0.0601179867399,0.0496573791882,-0.031661945098,0.01991989278,0.0325594864183,0.913043478261,0.0869565217391,0.869565217391,0.54347826087,23,0.0521307467764,0.0543695065352,0.0427439372594,0.00826420364821,0.0244923602074,0.027638386569,1,0,0.857142857143,0.492063492063,21,0.872549019608,0.257991715139,0,0,0
COMBINED,FULL_ORACLE,0.0619894293669,0.07,0.0670634920635,-0.0206896551724,0.01991989278,0.0420695365869,0.95652173913,0.0434782608696,0.95652173913,0.739130434783,23,0.0457002590159,0.0668693009119,0.0397811372216,-0.100157315155,0.01991989278,0.0257803662359,0.869565217391,0.130434782609,0.782608695652,0.478260869565,23,0.0402355045849,0.0496067755596,0.0290171083529,-0.0450199203187,0.0244923602074,0.0157431443774,0.809523809524,0.190476190476,0.714285714286,0.380952380952,21,0.0619894293669,0.07,0.0670634920635,-0.0206896551724,0.01991989278,0.0420695365869,0.95652173913,0.0434782608696,0.95652173913,0.739130434783,23,0.0538448441914,0.0684346504559,0.0496573791882,-0.031661945098,0.01991989278,0.0339249514114,0.913043478261,0.0869565217391,0.869565217391,0.608695652174,23,0.0545106744432,0.0632022585199,0.0427439372594,0.00826420364821,0.0244923602074,0.0300183142357,1,0,0.857142857143,0.571428571429,21,1,0.257991715139,0,0,0
COMBINED,UNIVERSE,0.01991989278,,,,0.01991989278,0,,,,0.257991715139,23,0.01991989278,,,,0.01991989278,0,,,,0.257991715139,23,0.0244923602074,,,,0.0244923602074,0,,,,0.257991715139,21,0.01991989278,,,,0.01991989278,0,,,,0.257991715139,23,0.01991989278,,,,0.01991989278,0,,,,0.257991715139,23,0.0244923602074,,,,0.0244923602074,0,,,,0.257991715139,21,,0.257991715139,,,
LOW,CONTROL_V4A,-0.0123238404325,-0.0193521343497,-0.0478112921287,-0.0672530694521,-0.0075924507382,-0.00473138969431,0.375,0.625,0.375,0,8,-0.0421393425387,-0.0387436818303,-0.0618830787887,-0.130864197531,-0.0075924507382,-0.0345468918005,0.125,0.875,0.25,0.125,8,-0.00863485228239,-0.00495924625627,-0.0138789148511,-0.0377804014168,-0.000759595914908,-0.00787525636749,0.333333333333,0.666666666667,0.166666666667,0,6,-0.0123238404325,-0.0193521343497,-0.0478112921287,-0.0672530694521,-0.0075924507382,-0.00473138969431,0.375,0.625,0.375,0,8,-0.0272315914856,-0.0241012742641,-0.038293717505,-0.0875373619233,-0.0075924507382,-0.0196391407474,0.25,0.75,0.125,0.0625,8,-0.0208416953684,-0.0179125747454,-0.0318655307228,-0.0635404545888,-0.000759595914908,-0.0200820994535,0.333333333333,0.666666666667,0,0.0555555555556,6,0.0833333333333,0.0836707152497,2,1,0
LOW,PAIR_CAPPED7,0.00533454808594,0.0260851263796,-0.0303331813825,-0.0742417383431,-0.0075924507382,0.0129269988241,0.625,0.375,0.625,0,8,-0.00883632661744,-0.0247404319818,-0.0330327539031,-0.100157315155,-0.0075924507382,-0.00124387587924,0.375,0.625,0.5,0.125,8,-0.0368955457093,-0.0240670773262,-0.0398022432113,-0.130864197531,-0.000759595914908,-0.0361359497943,0.166666666667,0.833333333333,0,0,6,0.00533454808594,0.0260851263796,-0.0303331813825,-0.0742417383431,-0.0075924507382,0.0129269988241,0.625,0.375,0.625,0,8,-0.00175088926575,-0.00396883252969,-0.024614725726,-0.031661945098,-0.0075924507382,0.00584156147245,0.375,0.625,0.5,0.0625,8,-0.0076124134264,-0.00491073489816,-0.0193073269842,-0.0444283822196,-0.000759595914908,-0.0068528175115,0.5,0.5,0.333333333333,0.0555555555556,6,0.0833333333333,0.0836707152497,1,0,0
LOW,TOP10_ORACLE,0.0494942280987,0.0640102389078,0.0405505391305,-0.0206896551724,-0.0075924507382,0.0570866788369,0.875,0.125,1,0.5,8,0.00934708678232,0.0235724317574,-0.00817537360855,-0.100157315155,-0.0075924507382,0.0169395375205,0.625,0.375,0.75,0.125,8,0.0125972880698,0.0134271214203,-0.0119206681567,-0.0287912087912,-0.000759595914908,0.0133568839847,0.5,0.5,0.666666666667,0,6,0.0494942280987,0.0640102389078,0.0405505391305,-0.0206896551724,-0.0075924507382,0.0570866788369,0.875,0.125,1,0.5,8,0.0294206574405,0.046187910282,0.0089971977446,-0.031661945098,-0.0075924507382,0.0370131081787,0.75,0.25,0.75,0.3125,8,0.03659323935,0.0380128486471,0.0223340764573,0.00826420364821,-0.000759595914908,0.0373528352649,1,0,1,0.277777777778,6,0.791666666667,0.0836707152497,0,0,0
LOW,FULL_ORACLE,0.0494942280987,0.0640102389078,0.0405505391305,-0.0206896551724,-0.0075924507382,0.0570866788369,0.875,0.125,1,0.5,8,0.0147280071777,0.0283655816562,-0.00817537360855,-0.100157315155,-0.0075924507382,0.0223204579159,0.625,0.375,0.75,0.25,8,0.0182684131773,0.0153826414234,-0.0119206681567,-0.0287912087912,-0.000759595914908,0.0190280090922,0.5,0.5,0.666666666667,0.166666666667,6,0.0494942280987,0.0640102389078,0.0405505391305,-0.0206896551724,-0.0075924507382,0.0570866788369,0.875,0.125,1,0.5,8,0.0321111176382,0.046187910282,0.0089971977446,-0.031661945098,-0.0075924507382,0.0397035683764,0.75,0.25,0.75,0.375,8,0.0408751345615,0.0418718578709,0.0223340764573,0.00826420364821,-0.000759595914908,0.0416347304764,1,0,1,0.388888888889,6,1,0.0836707152497,0,0,0
LOW,UNIVERSE,-0.0075924507382,,,,-0.0075924507382,0,,,,0.0836707152497,8,-0.0075924507382,,,,-0.0075924507382,0,,,,0.0836707152497,8,-0.000759595914908,,,,-0.000759595914908,0,,,,0.0836707152497,6,-0.0075924507382,,,,-0.0075924507382,0,,,,0.0836707152497,8,-0.0075924507382,,,,-0.0075924507382,0,,,,0.0836707152497,8,-0.000759595914908,,,,-0.000759595914908,0,,,,0.0836707152497,6,,0.0836707152497,,,
