fold_index,test_signal_date,train_signal_dates,train_rows,train_positive,train_negative,train_pairs,test_rows,upside_test_pairwise_logloss,upside_test_pairwise_auc,upside_test_pairwise_accuracy,upside_test_evaluable_dates,constant_in_fold_features,tail_test_pairwise_logloss,tail_test_pairwise_auc,tail_test_pairwise_accuracy,tail_test_evaluable_dates
0,2026-05-20,10,86,33,53,1749,10,0.66376411468803,0.68,0.68,1,7,0.6986341808002597,0.5555555555555556,0.5555555555555556,1
1,2026-05-21,11,96,38,58,2204,6,0.7962537352642853,0.3333333333333333,0.3333333333333333,1,7,0.5644405006390876,1.0,1.0,1
2,2026-05-22,12,102,41,61,2501,1,,,,0,7,,,,0
3,2026-05-25,13,103,42,61,2562,8,0.7085073812558066,0.42857142857142855,0.42857142857142855,1,7,0.6322010170456765,0.9375,0.9375,1
4,2026-05-26,14,111,43,68,2924,18,0.6740838944590757,0.6461538461538462,0.6461538461538462,1,7,0.7060423453389235,0.39285714285714285,0.39285714285714285,1
5,2026-05-27,15,129,48,81,3888,10,0.604434739646592,0.8333333333333334,0.8333333333333334,1,7,0.684884890357828,0.625,0.625,1
6,2026-05-28,16,139,54,85,4590,4,0.6656232945764042,0.6666666666666666,0.6666666666666666,1,7,0.6696242779009348,1.0,1.0,1
7,2026-05-29,17,143,57,86,4902,3,0.6712628352829504,0.5,0.5,1,7,0.7237527990577582,0.5,0.5,1
8,2026-06-01,18,146,58,88,5104,4,0.7081643299306992,0.3333333333333333,0.3333333333333333,1,7,0.7576996435564682,0.0,0.0,1
9,2026-06-02,19,150,59,91,5369,2,0.5589129567393248,1.0,1.0,1,7,,,,0
10,2026-06-03,20,152,60,92,5520,7,0.799966853464214,0.0,0.0,1,7,0.7254459430445168,0.25,0.25,1
11,2026-06-04,21,159,61,98,5978,6,,,,0,7,0.6389101793740823,0.6666666666666666,0.6666666666666666,1
12,2026-06-05,22,165,61,104,6344,6,0.6862636745848989,0.625,0.625,1,7,0.6940777628815258,0.375,0.375,1
13,2026-06-08,23,171,63,108,6804,3,,,,0,7,0.8500455375915817,0.0,0.0,1
14,2026-06-09,24,174,63,111,6993,9,0.5735304837616285,1.0,1.0,1,7,0.664449301629847,0.95,0.95,1
15,2026-06-10,25,183,64,119,7616,7,0.6108719439616169,1.0,1.0,1,7,0.6601637422784867,0.6,0.6,1
16,2026-06-11,26,190,68,122,8296,10,0.5633526645040812,0.8125,0.8125,1,7,0.6380225374632107,0.7777777777777778,0.7777777777777778,1
17,2026-06-12,27,200,70,130,9100,8,0.7615520822895727,0.1875,0.1875,1,7,,,,0
18,2026-06-15,28,208,74,134,9916,3,0.8311144370016246,0.0,0.0,1,7,,,,0
19,2026-06-16,29,211,75,136,10200,7,0.764298842792544,0.3333333333333333,0.3333333333333333,1,7,,,,0
20,2026-06-17,30,218,78,140,10920,17,0.7497365205214194,0.4,0.4,1,7,0.8100097490580918,0.0,0.0,1
21,2026-06-18,31,235,90,145,13050,15,0.7144010795018227,0.4230769230769231,0.4230769230769231,1,7,0.6939249757758686,0.6071428571428571,0.6071428571428571,1
22,2026-06-22,32,250,92,158,14536,7,0.7045718982551858,0.4166666666666667,0.4166666666666667,1,7,0.682474534588786,0.5,0.5,1
23,2026-06-23,33,257,96,161,15456,14,0.695202276397047,0.46938775510204084,0.46938775510204084,1,7,0.6277912799298373,0.8461538461538461,0.8461538461538461,1
24,2026-06-24,34,271,103,168,17304,15,0.7245755006056838,0.4166666666666667,0.4166666666666667,1,7,0.6590611852864725,0.6481481481481481,0.6481481481481481,1
25,2026-06-25,35,286,106,180,19080,9,0.6803394090551439,0.55,0.55,1,7,0.7049956951972246,0.5,0.5,1
26,2026-06-26,36,295,110,185,20350,12,0.7013856704652712,0.4074074074074074,0.4074074074074074,1,7,0.695117728445417,0.5428571428571428,0.5428571428571428,1
27,2026-06-29,37,307,113,194,21922,5,0.7617914697983545,0.3333333333333333,0.3333333333333333,1,7,0.6747281084281385,0.5,0.5,1
28,2026-06-30,38,312,116,196,22736,7,0.6988314774813419,0.3333333333333333,0.3333333333333333,1,7,0.6887856825302678,0.7,0.7,1
