lambda,date_weighted_oof_pairwise_logloss,date_weighted_oof_pairwise_auc,date_weighted_oof_pair_accuracy,evaluable_signal_dates,rank1_mean_capped_return_EVALUATION_ONLY,top3_mean_capped_return_EVALUATION_ONLY,selected_lambda,target
0.1,0.8281740281283793,0.5002437474003408,0.5002437474003408,26,0.03468311563122877,0.03185447300437882,0,target7_daily_d2open_d3high
0.3,0.7721343579771172,0.5005999566164402,0.5005999566164402,26,0.03015432110913156,0.02678229115961746,0,target7_daily_d2open_d3high
1.0,0.7316391744953449,0.49729753966017703,0.49729753966017703,26,0.025145420940083513,0.022876227284771275,0,target7_daily_d2open_d3high
3.0,0.7079425779184005,0.5157658428262825,0.5157658428262825,26,0.0273504331471562,0.025314167127095995,0,target7_daily_d2open_d3high
10.0,0.6951074448571006,0.5049845138581402,0.5049845138581402,26,0.028231244710682207,0.02553497065165338,1,target7_daily_d2open_d3high
0.1,0.865018918080911,0.48313767636684307,0.48313767636684307,24,0.029655480875315287,0.025559598241125654,0,tail_loss_daily_5pct
0.3,0.7715191099311646,0.49478064373897707,0.49478064373897707,24,0.03216024565107601,0.025065832000993764,0,tail_loss_daily_5pct
1.0,0.7171659106793307,0.5536348104056438,0.5536348104056438,24,0.031026612961020543,0.02644712798878108,0,tail_loss_daily_5pct
3.0,0.695290149523008,0.5751265516890517,0.5751265516890517,24,0.028223797517231145,0.02513603190813353,0,tail_loss_daily_5pct
10.0,0.6893868165916789,0.561444130714964,0.561444130714964,24,0.02766484037791525,0.025042482426955368,1,tail_loss_daily_5pct
