split,rank_position,number_of_dates_available,mean_capped_return,median_capped_return,positive_return_rate,mean_excess_vs_daily_universe,beat_daily_universe_rate
May,1,8,0.03758184332897698,0.07,0.75,0.0013249300607188598,0.625
May,2,7,0.058569266086697394,0.07,1.0,0.027132793780116685,0.8571428571428571
May,3,7,-0.000672276005342238,-0.00410888546481758,0.42857142857142855,-0.032108748311922945,0.2857142857142857
May,4,6,0.03163008058217948,0.05962154167391684,0.8333333333333334,-0.0028137922990678307,0.6666666666666666
May,5,5,0.06393043478260871,0.07,1.0,0.02971393113899984,0.8
May,Top1,8,0.03758184332897698,0.07,0.75,0.0013249300607188598,0.625
May,Top2,7,0.04575997208847841,0.06373614989640572,0.8571428571428571,0.01432349978189769,0.8571428571428571
May,Top3,7,0.03028255605720485,0.024107625425919377,1.0,-0.0011539162493758562,0.42857142857142855
June,1,21,0.024669111903712765,0.045483180042837246,0.6190476190476191,-0.002927127472039618,0.5238095238095238
June,2,21,0.0264823759450224,0.04392857142857154,0.7619047619047619,-0.0011138634307299878,0.6190476190476191
June,3,20,0.022713263293904846,0.065425818561757,0.7,-0.0038615989226623384,0.6
June,4,18,0.016291424413278934,0.021005859201082888,0.6666666666666666,-0.009999349472890821,0.3888888888888889
June,5,17,0.04619570671555896,0.06757382744643903,0.8823529411764706,0.019993337959943337,0.7647058823529411
June,Top1,21,0.024669111903712765,0.045483180042837246,0.6190476190476191,-0.002927127472039618,0.5238095238095238
June,Top2,21,0.025575743924367587,0.024361702127659618,0.8095238095238095,-0.0020204954513848017,0.38095238095238093
June,Top3,20,0.023873315759710377,0.030602804711791574,0.8,-0.0027015464568568063,0.5
Combined,1,29,0.028231244710682207,0.0474406991260925,0.6551724137931034,-0.001754146083692451,0.5517241379310345
Combined,2,28,0.03450409848044115,0.048686400903564686,0.8214285714285714,0.005947800871981682,0.6785714285714286
Combined,3,27,0.01665034569780375,0.02941176470588225,0.6296296296296297,-0.011184933949507678,0.5185185185185185
Combined,4,24,0.020126088455504072,0.03013364824773601,0.7083333333333334,-0.008202960179435071,0.4583333333333333
Combined,5,22,0.05022632673079754,0.06990759753593431,0.9090909090909091,0.022202563682456176,0.7727272727272727
Combined,Top1,29,0.028231244710682207,0.0474406991260925,0.6551724137931034,-0.001754146083692451,0.5517241379310345
Combined,Top2,28,0.03062180096539529,0.033155906593406656,0.8214285714285714,0.0020655033569358214,0.5
Combined,Top3,27,0.02553497065165338,0.029590256385816378,0.8518518518518519,-0.002300308995658042,0.48148148148148145
