feature_name,found_in,historical_role,semantic_group,raw_or_derived,raw_dependencies,formula_or_definition,lookback,available_as_of,source_system,current_may_coverage,current_june_coverage,combined_coverage,structural_missing_possible,future_leakage,model_output_leakage,target_lineage_leakage,exact_duplicate_group,semantic_duplicate_group,pairwise_v1_decision,decision_reason
board_streak_is_3,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"二板/三板事件状态二元项 (PREDECLARED_DERIVED, D1_CLOSE 可得)",BOARD_HISTORY,derived,board_streak_before_break,1[board_streak_before_break == 3],board history,D1_CLOSE,v002_derived,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,"二板/三板事件状态二元项 (PREDECLARED_DERIVED, D1_CLOSE 可得)"
max_board_streak_20d,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"20 日最大连板 (含本轮), 日线 is_limit_up_day 判定",BOARD_HISTORY,derived,daily OHLCVA,20 窗口 (obs-19..obs) 内日线连续涨停天数最大值,20d,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,"20 日最大连板 (含本轮), 日线 is_limit_up_day 判定"
recent_limit_up_count_10d,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"近 10 交易日涨停次数 (v0.2.2 口径, 日线 flags)",BOARD_HISTORY,derived,daily OHLCVA,obs-9..obs 窗口内日线涨停天数之和,10d,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,"近 10 交易日涨停次数 (v0.2.2 口径, 日线 flags)"
recent_limit_up_count_20d,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),近 20 交易日涨停次数 (v0.2.2 口径),BOARD_HISTORY,derived,daily OHLCVA,obs-19..obs 窗口内日线涨停天数之和,20d,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,近 20 交易日涨停次数 (v0.2.2 口径)
recent_pool_appearance_count_10d,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),池出现频率 10 日; 5/6 前无池数据 -> 计数为覆盖下界,BOARD_HISTORY,derived,pool membership,10 窗口内该股出现在涨停池的交易日数 (池覆盖子集),10d,D1_CLOSE,pool_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,池出现频率 10 日; 5/6 前无池数据 -> 计数为覆盖下界
recent_pool_appearance_count_20d,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),池出现频率 20 日; 同 10d 覆盖下界,BOARD_HISTORY,derived,pool membership,20 窗口内该股出现在涨停池的交易日数 (池覆盖子集),20d,D1_CLOSE,pool_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,BOARD_HISTORY,FEATURE,池出现频率 20 日; 同 10d 覆盖下界
board_day_volume_rank,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),"市场横截面 volume 排名 (market rank, 非模型 rank); 池口径合法",D0_CROSS_SECTION,derived,pool membership;daily volume,D0 当日涨停池成员按 daily volume 降序 rank(method='min') (1=最高),D0,D0_CLOSE,pool_cache_rebuild,0.952054794520548,0.9653179190751445,0.9592476489028213,no,0,0,0,,D0_CROSS_SECTION,FEATURE,"市场横截面 volume 排名 (market rank, 非模型 rank); 池口径合法"
break_open_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 开盘相对 D0 收盘缺口 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_open;d0_close,d1_open / d0_close - 1,D1 intraday,D1_CLOSE,v002,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 开盘相对 D0 收盘缺口 (模型表 PRIMARY)
break_high_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 最高相对 D0 收盘 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_high;d0_close,d1_high / d0_close - 1,D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 最高相对 D0 收盘 (模型表 PRIMARY)
break_close_return,v004c_model_table/factor_dictionary/v004c_d1_dataset (frozen),D1 收盘相对 D0 收盘 (模型表 PRIMARY),D1_PRICE_ACTION,derived,d1_close;d0_close,d1_close / d0_close - 1,D1 intraday,D1_CLOSE,daily_cache_rebuild,1.0,1.0,1.0,no,0,0,0,,D1_PRICE_ACTION,FEATURE,D1 收盘相对 D0 收盘 (模型表 PRIMARY)
