D0,code,pool_member_count,members_with_daily_volume,members_missing_daily_volume,rank_denominator_complete,event_id,signal_date
2026-04-30,000980,70,70,0,True,000980_2026-05-06,2026-05-06
2026-04-30,002192,70,70,0,True,002192_2026-05-06,2026-05-06
2026-04-30,002645,70,70,0,True,002645_2026-05-06,2026-05-06
2026-04-30,002842,70,70,0,True,002842_2026-05-06,2026-05-06
2026-04-30,600714,70,70,0,True,600714_2026-05-06,2026-05-06
2026-04-30,605099,70,70,0,True,605099_2026-05-06,2026-05-06
2026-05-06,000402,89,89,0,True,000402_2026-05-07,2026-05-07
2026-05-06,000553,89,89,0,True,000553_2026-05-07,2026-05-07
2026-05-06,000783,89,89,0,True,000783_2026-05-07,2026-05-07
2026-05-06,001316,89,89,0,True,001316_2026-05-07,2026-05-07
2026-05-06,002149,89,89,0,True,002149_2026-05-07,2026-05-07
2026-05-06,002158,89,89,0,True,002158_2026-05-07,2026-05-07
2026-05-06,002181,89,89,0,True,002181_2026-05-07,2026-05-07
2026-05-06,002453,89,89,0,True,002453_2026-05-07,2026-05-07
2026-05-06,002640,89,89,0,True,002640_2026-05-07,2026-05-07
2026-05-06,002805,89,89,0,True,002805_2026-05-07,2026-05-07
2026-05-06,002989,89,89,0,True,002989_2026-05-07,2026-05-07
2026-05-06,603937,89,89,0,True,603937_2026-05-07,2026-05-07
2026-05-07,000066,92,92,0,True,000066_2026-05-08,2026-05-08
2026-05-07,000818,92,92,0,True,000818_2026-05-08,2026-05-08
2026-05-07,000889,92,92,0,True,000889_2026-05-08,2026-05-08
2026-05-07,000967,92,92,0,True,000967_2026-05-08,2026-05-08
2026-05-07,002217,92,92,0,True,002217_2026-05-08,2026-05-08
2026-05-07,002903,92,92,0,True,002903_2026-05-08,2026-05-08
2026-05-07,003041,92,92,0,True,003041_2026-05-08,2026-05-08
2026-05-07,600396,92,92,0,True,600396_2026-05-08,2026-05-08
2026-05-07,600673,92,92,0,True,600673_2026-05-08,2026-05-08
2026-05-07,600719,92,92,0,True,600719_2026-05-08,2026-05-08
2026-05-07,603158,92,92,0,True,603158_2026-05-08,2026-05-08
2026-05-07,603256,92,92,0,True,603256_2026-05-08,2026-05-08
2026-05-07,603316,92,92,0,True,603316_2026-05-08,2026-05-08
2026-05-08,000720,90,90,0,True,000720_2026-05-11,2026-05-11
2026-05-08,002031,90,90,0,True,002031_2026-05-11,2026-05-11
2026-05-08,002317,90,90,0,True,002317_2026-05-11,2026-05-11
2026-05-08,002655,90,90,0,True,002655_2026-05-11,2026-05-11
2026-05-08,002929,90,90,0,True,002929_2026-05-11,2026-05-11
2026-05-08,002930,90,90,0,True,002930_2026-05-11,2026-05-11
