event_id,code,signal_date,board_streak_before_break,source_window,break_date,board_streak_is_3,max_board_streak_20d,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,board_day_volume_rank,break_open_return,break_high_return,break_close_return,break_touched_limit_up,break_opened_from_limit_up,break_upper_shadow_ratio,break_lower_shadow_ratio,d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_close_location,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,break_volume_ratio_vs_board_days,d1_up_bar_volume_ratio,down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,d1_close_to_vwap_raw,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_ma20_slope,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,recent_7d_limit_up_count,target7_daily_d2open_d3high,tail_loss_daily_5pct,dev_label_complete,dev_feature_source_complete,dev_training_eligible,structural_missing_count,source_missing_count,unexpected_missing_count,provenance,pairwise_v1_feature_source_complete,pairwise_v1_training_eligible
000980_2026-05-06,000980,2026-05-06,2,may,2026-05-06,0,2,3,3,3,3,14.0,0.0119047619047618,0.07539682539682535,0.0,0,0,0.7272727272727287,0.13636363636363563,0.070110701107011,0.008,-0.0117647058823529,0.0952380952380953,0.0833333333333333,0.0039840637450199,-0.0078740157480314,1.8967059541952904,0.2430680576407142,0.3170453044225226,0.9013752394684028,0.9030136197754582,0.0,0.0,0.0439139182072578,0.0434568400870843,-0.0137729785404355,0.0928013876843019,0.0797918473547267,0.1751951431049436,0.1072056239015815,0.0940246045694199,0.1431163529144932,0.0378037803780377,0.0192566054635021,0.00777142857142854,1,1,0,0,0,0,0,1,2.0,0.1454545454545452,0.1416666666666666,0.7076923076923077,2,0,0,1,1,1,0,0,0,v002:event_id=000980_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
002192_2026-05-06,002192,2026-05-06,2,may,2026-05-06,0,2,3,3,3,3,39.0,0.0529207104925837,0.052920710492583733,0.017945431239699827,0,0,0.0,0.5032509752925886,0.0332173913043477,0.0324078373107996,-0.0332173913043477,0.4774281805745565,0.0669291338582677,0.0121995630007283,0.0032485110990796,1.2886961963080499,0.4787027523744969,0.5212972476255031,0.2830902960669932,0.284877868463986,0.0,0.0,0.0774411620889191,0.0778057995842242,0.0045800566167621,0.110977876371485,0.0723064931950354,0.1491496292743368,0.2222417659733522,0.1796974627325096,0.3332693760567939,0.0523692346520285,0.0301582088538068,0.02385629742406037,1,1,0,0,0,0,0,1,2.0,0.417389087200408,0.0820761683721911,0.8979700854700856,3,0,1,1,1,1,0,0,0,v002:event_id=002192_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
002645_2026-05-06,002645,2026-05-06,2,may,2026-05-06,0,2,2,3,2,3,34.0,0.0089251067132325,0.03996895615056273,0.0031043849437331072,0,0,0.6153846153846156,0.26923076923077016,0.0350877192982455,0.0125342734038386,-0.0057692307692307,0.2539682539682546,0.048894062863795,0.0007742934572203,-0.0057692307692307,2.177417959615469,0.3381032205433175,0.640302240623462,0.7953068936504109,0.796636984532923,0.0,0.0,0.1099726523543131,0.1097899676371315,-0.0044680058774009,0.0914541462590781,0.0766762371221079,0.1315656139165684,0.115522375178009,0.1004185906011307,0.1772206662568027,0.0299182466515912,0.0155133879661684,0.018176338302459794,1,1,0,0,0,0,0,1,2.0,0.1771402550091074,0.0991489361702127,0.8312611012433393,2,0,0,1,1,1,0,0,0,v002:event_id=002645_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
002842_2026-05-06,002842,2026-05-06,2,may,2026-05-06,0,2,2,2,2,2,23.0,0.0140296180826189,0.030137698103403388,0.022863081319823175,0,0,0.1473684210526323,0.6736842105263169,0.007061790668348,0.0412589262099972,0.0087112477581345,0.8478260869565208,0.0478046245778123,0.0149523072956947,0.0128633907898121,1.3024172620559427,0.4019548152656682,0.5980451847343318,0.0467766899534477,0.0476933596043917,0.1792188808514249,0.182098308018598,0.100351325469343,0.1018074270938879,0.0179664490217998,0.1247286024454346,0.0784481773511596,0.1327276882641981,0.1514389330837622,0.1040594291062235,0.1748731721874068,0.0442720763723152,0.0170439334899907,0.012646752187117638,1,1,0,0,0,0,0,1,2.0,0.2185082017951096,0.152,0.971915747241725,2,0,0,1,1,1,0,0,0,v002:event_id=002842_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
600714_2026-05-06,600714,2026-05-06,2,may,2026-05-06,0,2,2,2,2,2,32.0,0.0,0.02714932126696823,-0.01990950226244348,0,0,0.4081632653061213,0.29251700680272114,0.0373333333333333,0.0197740112994351,-0.0199095022624434,0.3333333333333342,0.0570135746606335,-0.0055096418732782,0.0065055762081784,1.105808473459911,0.5554452386206072,0.401644933837626,0.3796120415251377,0.3836698741169759,0.0,0.0,0.087394402509957,0.0869198017645897,-0.0005332380711257,0.0784704242182832,0.0570603465445131,0.1302529376618204,0.1219310059048999,0.0996581373666216,0.1822498771901095,0.0372895362049374,0.0188938146506227,0.011539310954063575,1,1,0,0,0,0,0,1,2.0,0.1836065573770491,0.0937003705664372,0.8136200716845879,2,1,0,1,1,1,0,0,0,v002:event_id=600714_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
605099_2026-05-06,605099,2026-05-06,2,may,2026-05-06,0,2,2,3,2,3,63.0,0.0,0.053283767038413865,0.023130937629078918,0,0,0.38421052631579,0.3210526315789473,0.0265278050697583,0.0469146238377007,0.0231309376290789,0.621848739495798,0.0737298636926889,-0.0127540852929454,-0.0008067769261799,1.8187113322048682,0.7274231342009105,0.2725768657990895,0.6939726230275874,0.6987290727198446,0.243200280791128,0.2467454678221536,0.0813419643982795,0.0816290871491142,0.0014648831060568,0.1170236753100337,0.0642615558060879,0.1499436302142052,0.1827340877620207,0.1268681659743111,0.1969653039528365,0.0514461830251304,0.0227822137572339,0.011733646230566164,1,1,0,0,0,0,0,1,2.0,0.2784516129032257,0.048811013767209,0.8876923076923077,2,0,0,1,1,1,0,0,0,v002:event_id=605099_2026-05-06;pool_window=complete;rank_denominator=full_pool,True,True
000402_2026-05-07,000402,2026-05-07,3,may,2026-05-07,1,3,3,5,3,5,14.0,-0.0171919770773638,-0.002865329512894088,-0.04011461318051579,0,0,0.27777777777777657,0.277777777777779,0.0373563218390804,0.0120845921450151,-0.0233236151603498,0.2352941176470591,0.0487106017191976,-0.0059347181008901,0.006006006006006,2.1195043155540882,0.325203019818669,0.4576891033395917,0.8103933519531402,0.8128449961737128,0.0,0.0,0.0502690954141682,0.0497686443150894,-0.0076734028488223,0.0799484203739524,0.0638297872340425,0.1218568665377175,0.156767955801105,0.1395027624309393,0.1806167400881058,0.0479729729729729,0.0200774920746742,0.01593268886501953,1,1,0,0,0,0,0,1,3.0,0.2641509433962266,0.0544412607449857,0.846153846153846,3,0,0,1,1,1,0,0,0,v002:event_id=000402_2026-05-07;pool_window=complete;rank_denominator=full_pool,True,True
000553_2026-05-07,000553,2026-05-07,2,may,2026-05-07,0,2,2,2,2,2,40.0,0.0013333333333334,0.017333333333333423,-0.022666666666666613,0,0,0.30000000000000066,0.24999999999999944,0.0329815303430079,0.0138312586445366,-0.0239680426098535,0.285714285714285,0.0466666666666666,0.0082530949105914,0.0,1.5033632286995515,0.4207582156029996,0.4499123095224016,0.5288279706473377,0.5328691678104961,0.0,0.0,0.0584268183196496,0.0582009729028474,-0.0033904026562701,0.0754107981220657,0.0607394366197184,0.119424882629108,0.1311728395061728,0.1157407407407409,0.1464768905920075,0.0342943854324733,0.0179076343072572,0.010191183441301988,1,1,0,0,0,0,0,1,2.0,0.186084142394822,0.042654028436019,0.8101265822784811,2,0,0,1,1,1,0,0,0,v002:event_id=000553_2026-05-07;pool_window=complete;rank_denominator=full_pool,True,True
000783_2026-05-07,000783,2026-05-07,2,may,2026-05-07,0,2,2,2,2,2,10.0,0.0056882821387942,0.005688282138794243,-0.05119453924914663,0,0,0.0,0.2307692307692312,0.0565610859728506,0.0183150183150183,-0.0565610859728507,0.2307692307692312,0.0739476678043231,0.0121359223300969,0.0072463768115942,1.4026320026165513,0.1563410332067476,0.6361098074939889,0.4908824223573397,0.4967490030273395,0.0,0.0,0.057848550879068,0.0574463054710541,-0.0032706809814124,0.0511721704058483,0.0322661961179731,0.1141920846987647,0.1030286999074197,0.0831900542256314,0.1299281940116514,0.0314612584503379,0.0146269457863659,0.010542168674698926,1,1,0,0,0,0,0,1,2.0,0.1680672268907563,0.0682593856655289,0.7142857142857143,2,1,0,1,1,1,0,0,0,v002:event_id=000783_2026-05-07;pool_window=complete;rank_denominator=full_pool,True,True
001316_2026-05-07,001316,2026-05-07,2,may,2026-05-07,0,2,2,2,2,2,87.0,-0.0077071290944124,0.08215098966544043,0.050446663163426164,0,0,0.2928802588996768,0.16990291262135876,0.0292975072839106,0.0784031648983995,0.0586054721977051,0.7066450567260937,0.1080749693466456,-0.0134890607007731,0.0008344459279037,2.8190727981626877,0.7443184105692763,0.2380334155809597,0.2794601117641893,0.2886235233851132,0.2979841579457563,0.3076297791781647,0.0467870803241997,0.0479848519892899,0.0245326457409746,0.1381234342974264,0.0551886434373338,0.1724739998481741,0.1650542021214593,0.0801569724521116,0.1929342961150564,0.0438193343898574,0.0184602599869412,0.013507792181609357,1,1,0,0,0,0,0,1,2.0,0.2047006830052229,0.0841176470588235,0.8798938287989382,2,1,0,1,1,1,0,0,0,v002:event_id=001316_2026-05-07;pool_window=complete;rank_denominator=full_pool,True,True
