trade_date,required,cache_present,source_fetch_attempted,source_fetch_success,pool_row_count,source,complete,failure_reason
2026-04-03,True,True,True,True,26,daily_limitup_derived,True,
2026-04-07,True,True,True,True,81,daily_limitup_derived,True,
2026-04-08,True,True,True,True,110,daily_limitup_derived,True,
2026-04-09,True,True,True,True,50,daily_limitup_derived,True,
2026-04-10,True,True,True,True,53,daily_limitup_derived,True,
2026-04-13,True,True,True,True,53,daily_limitup_derived,True,
2026-04-14,True,True,True,True,49,daily_limitup_derived,True,
2026-04-15,True,True,True,True,54,daily_limitup_derived,True,
2026-04-16,True,True,True,True,68,daily_limitup_derived,True,
2026-04-17,True,True,True,True,58,daily_limitup_derived,True,
2026-04-20,True,True,True,True,73,daily_limitup_derived,True,
2026-04-21,True,True,True,True,44,daily_limitup_derived,True,
2026-04-22,True,True,True,True,49,daily_limitup_derived,True,
2026-04-23,True,True,True,True,45,daily_limitup_derived,True,
2026-04-24,True,True,True,True,50,daily_limitup_derived,True,
2026-04-27,True,True,True,True,55,daily_limitup_derived,True,
2026-04-28,True,True,True,True,53,daily_limitup_derived,True,
2026-04-29,True,True,True,True,92,daily_limitup_derived,True,
2026-04-30,True,True,True,True,70,daily_limitup_derived,True,
2026-05-06,True,True,True,True,89,daily_limitup_derived,True,
2026-05-07,True,True,True,True,92,daily_limitup_derived,True,
2026-05-08,True,True,True,True,90,daily_limitup_derived,True,
2026-05-11,True,True,True,True,78,daily_limitup_derived,True,
2026-05-12,True,True,True,True,51,daily_limitup_derived,True,
2026-05-13,True,True,True,True,102,daily_limitup_derived,True,
2026-05-14,True,True,True,True,50,daily_limitup_derived,True,
2026-05-15,True,True,True,True,46,daily_limitup_derived,True,
2026-05-18,True,True,True,True,72,daily_limitup_derived,True,
2026-05-19,True,True,True,True,75,daily_limitup_derived,True,
2026-05-20,True,True,True,True,53,daily_limitup_derived,True,
2026-05-21,True,True,True,True,34,daily_limitup_derived,True,
2026-05-22,True,True,True,True,100,daily_limitup_derived,True,
2026-05-25,True,True,True,True,93,daily_limitup_derived,True,
2026-05-26,True,True,True,True,45,daily_limitup_derived,True,
2026-05-27,True,True,True,True,45,daily_limitup_derived,True,
2026-05-28,True,True,True,True,88,daily_limitup_derived,True,
2026-05-29,True,True,True,True,47,daily_limitup_derived,True,
2026-06-01,True,True,True,True,109,daily_limitup_derived,True,
2026-06-02,True,True,True,True,57,daily_limitup_derived,True,
2026-06-03,True,True,True,True,61,daily_limitup_derived,True,
2026-06-04,True,True,True,True,67,daily_limitup_derived,True,
2026-06-05,True,True,True,True,64,daily_limitup_derived,True,
2026-06-08,True,True,True,True,46,daily_limitup_derived,True,
2026-06-09,True,True,True,True,107,daily_limitup_derived,True,
2026-06-10,True,True,True,True,64,daily_limitup_derived,True,
2026-06-11,True,True,True,True,56,daily_limitup_derived,True,
2026-06-12,True,True,True,True,84,daily_limitup_derived,True,
2026-06-15,True,True,True,True,128,daily_limitup_derived,True,
2026-06-16,True,True,True,True,109,daily_limitup_derived,True,
2026-06-17,True,True,True,True,68,daily_limitup_derived,True,
2026-06-18,True,True,True,True,77,daily_limitup_derived,True,
2026-06-22,True,True,True,True,122,daily_limitup_derived,True,
2026-06-23,True,True,True,True,89,daily_limitup_derived,True,
2026-06-24,True,True,True,True,88,daily_limitup_derived,True,
2026-06-25,True,True,True,True,78,daily_limitup_derived,True,
2026-06-26,True,True,True,True,52,daily_limitup_derived,True,
2026-06-29,True,True,True,True,91,daily_limitup_derived,True,
2026-06-30,True,True,True,True,115,daily_limitup_derived,True,
