column_name,role,feature_order,dtype,available_as_of,source
event_id,IDENTIFIER,,str,D1_CLOSE,v002
code,IDENTIFIER,,str,D1_CLOSE,v002
signal_date,IDENTIFIER,,str,D1_CLOSE,v002
board_streak_before_break,IDENTIFIER,,int64,D1_CLOSE,v002
source_window,AUDIT_ONLY,,str,D1_CLOSE,v002
break_date,IDENTIFIER,,str,D1_CLOSE,v002
board_streak_is_3,FEATURE,1.0,int64,D1_CLOSE,v002_derived
max_board_streak_20d,FEATURE,2.0,int64,D1_CLOSE,daily_cache_rebuild
recent_limit_up_count_10d,FEATURE,3.0,int64,D1_CLOSE,daily_cache_rebuild
recent_limit_up_count_20d,FEATURE,4.0,int64,D1_CLOSE,daily_cache_rebuild
recent_pool_appearance_count_10d,FEATURE,5.0,int64,D1_CLOSE,pool_cache_rebuild
recent_pool_appearance_count_20d,FEATURE,6.0,int64,D1_CLOSE,pool_cache_rebuild
board_day_volume_rank,FEATURE,7.0,float64,D0_CLOSE,pool_cache_rebuild
break_open_return,FEATURE,8.0,float64,D1_CLOSE,v002
break_high_return,FEATURE,9.0,float64,D1_CLOSE,daily_cache_rebuild
break_close_return,FEATURE,10.0,float64,D1_CLOSE,daily_cache_rebuild
break_touched_limit_up,FEATURE,11.0,int64,D1_CLOSE,daily_cache_rebuild
break_opened_from_limit_up,FEATURE,12.0,int64,D1_CLOSE,daily_cache_rebuild
break_upper_shadow_ratio,FEATURE,13.0,float64,D1_CLOSE,daily_cache_rebuild
break_lower_shadow_ratio,FEATURE,14.0,float64,D1_CLOSE,daily_cache_rebuild
d1_high_to_close_drawdown_raw,FEATURE,15.0,float64,D1_CLOSE,v002
d1_low_to_close_recovery,FEATURE,16.0,float64,D1_CLOSE,v002
d1_open_to_close_return_raw,FEATURE,17.0,float64,D1_CLOSE,v002
d1_close_location,FEATURE,18.0,float64,D1_CLOSE,v002
d1_intraday_range,FEATURE,19.0,float64,D1_CLOSE,v002
d1_afternoon_return,FEATURE,20.0,float64,D1_CLOSE,v002
d1_last_hour_return,FEATURE,21.0,float64,D1_CLOSE,v002
break_volume_ratio_vs_board_days,FEATURE,22.0,float64,D1_CLOSE,daily_cache_rebuild
d1_up_bar_volume_ratio,FEATURE,23.0,float64,D1_CLOSE,v002
down_bar_volume_ratio,FEATURE,24.0,float64,D1_CLOSE,v002
volume_above_d1_close_ratio,FEATURE,25.0,float64,D1_CLOSE,v002
amount_above_d1_close_ratio,FEATURE,26.0,float64,D1_CLOSE,v002
high_zone_volume_ratio,FEATURE,27.0,float64,D1_CLOSE,v002
high_zone_amount_ratio,FEATURE,28.0,float64,D1_CLOSE,v002
late_day_sell_volume_ratio,FEATURE,29.0,float64,D1_CLOSE,v002
late_day_sell_amount_ratio,FEATURE,30.0,float64,D1_CLOSE,v002
d1_close_to_vwap_raw,FEATURE,31.0,float64,D1_CLOSE,v002
d1_close_to_ma5_raw,FEATURE,32.0,float64,D1_CLOSE,v002
d1_low_to_ma5_raw,FEATURE,33.0,float64,D1_CLOSE,v002
d1_high_to_ma5_raw,FEATURE,34.0,float64,D1_CLOSE,v002
d1_close_to_ma10_raw,FEATURE,35.0,float64,D1_CLOSE,v002
d1_low_to_ma10_raw,FEATURE,36.0,float64,D1_CLOSE,v002
d1_close_to_ma20,FEATURE,37.0,float64,D1_CLOSE,v002
d1_ma5_slope,FEATURE,38.0,float64,D1_CLOSE,v002
d1_ma10_slope,FEATURE,39.0,float64,D1_CLOSE,v002
d1_ma20_slope,FEATURE,40.0,float64,D1_CLOSE,daily_cache_rebuild
d1_close_above_ma5,FEATURE,41.0,int64,D1_CLOSE,v002
d1_close_above_ma10,FEATURE,42.0,int64,D1_CLOSE,v002
d1_true_reclaim_ma5,FEATURE,43.0,int64,D1_CLOSE,v002
d1_true_reclaim_ma10,FEATURE,44.0,int64,D1_CLOSE,v002
consecutive_days_below_ma5,FEATURE,45.0,int64,D1_CLOSE,v002
consecutive_days_below_ma10,FEATURE,46.0,int64,D1_CLOSE,v002
break_day_in_pool,FEATURE,47.0,int64,D1_CLOSE,pool_cache_rebuild
last_board_day_in_pool,FEATURE,48.0,int64,D0_CLOSE,pool_cache_rebuild
pool_consecutive_count_last_board,FEATURE,49.0,float64,D0_CLOSE,pool_cache_rebuild
recent_7d_cumulative_return,FEATURE,50.0,float64,D1_CLOSE,v002
recent_7d_max_drawdown,FEATURE,51.0,float64,D1_CLOSE,v002
recent_7d_close_position,FEATURE,52.0,float64,D1_CLOSE,v002
recent_7d_limit_up_count,FEATURE,53.0,int64,D1_CLOSE,daily_cache_rebuild
target7_daily_d2open_d3high,LABEL_ONLY,,int64,D3_CLOSE,v002_label
tail_loss_daily_5pct,LABEL_ONLY,,int64,D3_CLOSE,v002_label
dev_label_complete,AUDIT_ONLY,,int64,D3_CLOSE,v002
dev_feature_source_complete,AUDIT_ONLY,,int64,D3_CLOSE,v002
dev_training_eligible,AUDIT_ONLY,,int64,D3_CLOSE,v002
structural_missing_count,AUDIT_ONLY,,int64,D1_CLOSE,v002
source_missing_count,AUDIT_ONLY,,int64,D1_CLOSE,v002
unexpected_missing_count,AUDIT_ONLY,,int64,D1_CLOSE,v002
provenance,AUDIT_ONLY,,str,D1_CLOSE,v002
pairwise_v1_feature_source_complete,PAIRWISE_ELIGIBILITY,,bool,D1_CLOSE,v002_corrected
pairwise_v1_training_eligible,PAIRWISE_ELIGIBILITY,,bool,D1_CLOSE,v002_corrected
