feature_name,beta_shared,gamma_board3_deviation,board3_total,beta_median_across_folds,beta_sign_agreement,gamma_median_across_folds,_stability_n_folds
board_streak_is_3,0.001717998723107468,0.0014056353189061109,0.003123634042013579,0.001770809512473687,0.8620689655172413,0.001407517402927737,29
max_board_streak_20d,0.0001097333446980678,0.00174452231986918,0.0018542556645672478,0.0021242892199291167,0.7931034482758621,0.0019677543665037856,29
recent_limit_up_count_10d,-0.0005043528558225361,0.0024210891834577104,0.0019167363276351742,0.0002038428378744768,0.6551724137931034,0.0014652400958536937,29
recent_limit_up_count_20d,0.0004593364282783565,0.0012787960533704019,0.0017381324816487583,0.0006531996276972818,0.6896551724137931,0.0005791185128807329,29
recent_pool_appearance_count_10d,-0.0006258755242374927,0.0024024419860088774,0.0017765664617713846,3.703196386393681e-05,0.5517241379310345,0.0014702589947970428,29
recent_pool_appearance_count_20d,0.0004750484549388241,0.0012758197016986262,0.0017508681566374502,0.0006658396065708976,0.6896551724137931,0.0005731882666553548,29
board_day_volume_rank,0.0015183253204718783,-0.003523537799746043,-0.0020052124792741648,0.002721093380341423,0.8620689655172413,-0.0031257687981814915,29
break_open_return,0.002609166806745819,-0.0016179956825491501,0.000991171124196669,0.006478184372958449,1.0,-0.0005173283140231893,29
break_high_return,0.0026912211661870265,-0.0008300689081651848,0.0018611522580218418,0.01033036933849649,1.0,-2.5802805638774908e-05,29
break_close_return,0.0017984156600901033,-0.00015270479851809985,0.0016457108615720035,0.007608517357575921,1.0,0.0008801120995768676,29
break_touched_limit_up,0.001430768000129674,-0.0002116225029395247,0.0012191454971901493,0.004275142169523378,1.0,0.001733173892751558,29
break_opened_from_limit_up,0.0007738204389691769,-0.000586804601234689,0.0001870158377344879,0.005156517101255188,1.0,0.00205603843132674,29
break_upper_shadow_ratio,-0.00037904471721391617,0.0004945851008831691,0.00011554038366925291,0.002033502499145458,0.7241379310344828,-3.279506598261312e-05,29
break_lower_shadow_ratio,0.001279413327309557,-8.297605155233795e-05,0.001196437275757219,0.0018198370611634106,0.6206896551724138,0.0003308321562057478,29
d1_high_to_close_drawdown_raw,0.00011161276656649783,-0.0009237266724686144,-0.0008121139059021165,0.0005680195027653332,0.6896551724137931,-0.0008227648423516536,29
d1_low_to_close_recovery,0.0029894006357474175,0.0008930535036817993,0.003882454139429217,0.00405256399462307,1.0,0.0017829768577646528,29
d1_open_to_close_return_raw,-6.046544233501852e-05,0.0009834034396149912,0.0009229379972799727,0.0008045804349302117,0.6206896551724138,0.001042992984176871,29
d1_close_location,0.0011811405698672526,0.0005268683233330687,0.0017080088932003212,0.002297588934801437,0.9655172413793104,0.0014707975314567823,29
d1_intraday_range,0.0034725034002311026,-8.179207681251116e-05,0.0033907113234185916,0.004603274887203661,1.0,0.00048430441132085326,29
d1_afternoon_return,0.002759020533813691,0.0014535509390347207,0.0042125714728484115,0.0017528945912157635,0.8275862068965517,0.0009852244245692288,29
d1_last_hour_return,0.004357893790988098,0.0006654737391104225,0.005023367530098521,0.005650466401380966,1.0,0.0018099176987714043,29
break_volume_ratio_vs_board_days,-0.003963796826351488,-0.0029993368645565557,-0.006963133690908043,-0.0018502614706585607,0.9310344827586207,-0.0013362355941097474,29
d1_up_bar_volume_ratio,8.20847480082006e-05,-0.001162653081559425,-0.0010805683335512245,0.000964956573394823,0.7241379310344828,-0.0002318313565397538,29
down_bar_volume_ratio,-0.0006502395327620377,0.0005355181141859786,-0.00011472141857605904,-0.002044740132281878,0.7241379310344828,0.0005853703019415612,29
volume_above_d1_close_ratio,-0.004220521631106843,-6.163745618003809e-05,-0.004282159087286881,-0.004686927790896236,1.0,-0.00029435842656972826,29
amount_above_d1_close_ratio,-0.0043081059721713465,-7.067058874071857e-05,-0.004378776560912065,-0.004759366588476743,1.0,-0.0002848305603508717,29
high_zone_volume_ratio,0.00038251455383989694,-0.00044189334502405897,-5.9378791184162036e-05,0.0045857084992817695,1.0,0.0008267686746058644,29
high_zone_amount_ratio,0.00038713586726667995,-0.0004278409436256888,-4.0705076359008835e-05,0.00453323423694362,0.9655172413793104,0.0008222354428814832,29
late_day_sell_volume_ratio,-0.0036294026205828055,0.001136576512983545,-0.0024928261075992603,-0.004873859619029,0.9310344827586207,0.0008089968806837527,29
late_day_sell_amount_ratio,-0.003587128714228298,0.001224499613049794,-0.0023626291011785037,-0.004935810251583404,0.9310344827586207,0.0008474588369822735,29
d1_close_to_vwap_raw,0.0017670640906403585,0.0011279724669923047,0.0028950365576326633,0.0011249786541514984,0.896551724137931,0.0011933309706227543,29
d1_close_to_ma5_raw,0.002229733451452147,7.675222310278531e-05,0.0023064856745549324,0.007419673218475647,1.0,0.0010373615548506117,29
d1_low_to_ma5_raw,0.000306796487768391,-0.000693497698799462,-0.000386701211031071,0.005597093273610661,1.0,0.0002391012949403708,29
d1_high_to_ma5_raw,0.0033728726978425085,-0.0004020464692660074,0.0029708262285765012,0.009348883340328453,1.0,0.0004179637924850438,29
d1_close_to_ma10_raw,0.0016528818821434936,-0.0005945630928747465,0.001058318789268747,0.00428768621287549,1.0,0.0005965955672908253,29
d1_low_to_ma10_raw,0.00032857005052003063,-0.0010292065813845006,-0.0007006365308644699,0.002807806586428435,0.9655172413793104,-0.00024482155094860195,29
d1_close_to_ma20,0.00415957365574208,0.00042387675127265374,0.004583450407014734,0.005584986214272219,1.0,0.0011433206715867187,29
d1_ma5_slope,0.0005478466525267502,-0.000600160498795109,-5.231384626835879e-05,0.004212618557447362,1.0,0.001064138090986394,29
d1_ma10_slope,0.004466247004879884,-0.0008005701525224697,0.0036656768523574143,0.006694480932824398,1.0,0.00021248633900910067,29
d1_ma20_slope,0.0028692839610684907,0.0005363156706198079,0.0034055996316882985,0.002460512686941391,0.6896551724137931,0.0006868953061875203,29
d1_close_above_ma5,0.0,0.0,0.0,0.0,0.0,0.0,29
d1_close_above_ma10,0.0,0.0,0.0,0.0,0.0,0.0,29
d1_true_reclaim_ma5,0.005171750770541981,-0.00011290334575334162,0.005058847424788639,0.00492388689938577,1.0,-0.00010425597744780628,29
d1_true_reclaim_ma10,0.0,0.0,0.0,0.0,0.0,0.0,29
consecutive_days_below_ma5,0.0,0.0,0.0,0.0,0.0,0.0,29
consecutive_days_below_ma10,0.0,0.0,0.0,0.0,0.0,0.0,29
break_day_in_pool,0.0,0.0,0.0,0.0,0.0,0.0,29
