signal_date,candidate_count,target7_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank1_target7,rank2_event_id,rank2_capped_return,rank2_target7,rank3_event_id,rank3_capped_return,rank3_target7,top1_capped_return,top1_excess_vs_universe,top1_beat_universe,top2_capped_return,top2_excess_vs_universe,top2_beat_universe,top3_capped_return,top3_excess_vs_universe,top3_beat_universe,top3_target7_hits,available_winner_capture
2026-05-20,10,5,0.030833752262373587,603311_2026-05-20,0.07,1,600903_2026-05-20,0.07,1,002208_2026-05-20,-0.07254901960784321,0,0.07,0.03916624773762642,1,0.07,0.03916624773762642,1,0.022483660130718935,-0.008350092131654652,0,2,0.6666666666666666
2026-05-21,6,3,0.041710819835180483,000417_2026-05-21,0.07,1,605288_2026-05-21,0.042279411764706065,0,603938_2026-05-21,-0.04166666666666674,0,0.07,0.028289180164819523,1,0.056139705882353036,0.014428886047172552,1,0.023537581699346444,-0.01817323813583404,0,1,0.3333333333333333
2026-05-22,1,1,0.07,003004_2026-05-22,0.07,1,,,0,,,0,0.07,0.0,0,,,0,,,0,1,1.0
2026-05-25,8,1,0.026854768241664752,002442_2026-05-25,0.002512562814070307,0,600611_2026-05-25,-0.05942275042444811,0,000012_2026-05-25,0.06178489702517154,0,0.002512562814070307,-0.024342205427594445,0,-0.028455093805188902,-0.055309862046853654,0,0.0016249031382645773,-0.025229865103400174,0,0,0.0
2026-05-26,18,5,0.01746823674148515,603661_2026-05-26,-0.007780979827089474,0,002432_2026-05-26,-0.060659340659340644,0,605580_2026-05-26,0.07,1,-0.007780979827089474,-0.025249216568574623,0,-0.03422016024321506,-0.05168839698470021,0,0.0005198931711899631,-0.016948343570295187,0,1,0.3333333333333333
2026-05-27,10,6,0.05421494113734039,002185_2026-05-27,0.06699751861042191,0,002552_2026-05-27,0.07,1,002957_2026-05-27,0.07,1,0.06699751861042191,0.012782577473081522,1,0.06849875930521096,0.014283818167870568,1,0.06899917287014064,0.014784231732800246,1,2,0.6666666666666666
2026-05-28,4,3,0.035580719069439534,002771_2026-05-28,0.07,1,002251_2026-05-28,0.07,1,001257_2026-05-28,-0.06767712372224188,0,0.07,0.03441928093056047,1,0.07,0.03441928093056047,1,0.024107625425919377,-0.011473093643520157,0,2,0.6666666666666666
2026-05-29,3,1,0.013392068858581074,603989_2026-05-29,-0.032201914708442136,0,002579_2026-05-29,0.07,1,603032_2026-05-29,0.0023781212841853527,0,-0.032201914708442136,-0.04559398356702321,0,0.018899042645778935,0.005506973787197861,1,0.013392068858581074,0.0,0,1,1.0
2026-06-01,4,1,0.027793661105589965,000090_2026-06-01,-0.02638522427440637,0,002806_2026-06-01,0.07,1,600110_2026-06-01,0.0451559934318555,0,-0.02638522427440637,-0.054178885379996336,0,0.021807387862796818,-0.005986273242793147,0,0.029590256385816378,0.001796595280226413,1,1,1.0
2026-06-02,2,1,0.04802378255945647,002608_2026-06-02,0.07,1,600011_2026-06-02,0.02604756511891293,0,,,0,0.07,0.02197621744054354,1,0.04802378255945647,0.0,0,,,0,1,1.0
2026-06-03,7,1,-0.00475946733783925,600280_2026-06-03,-0.01253132832080206,0,002404_2026-06-03,0.029931972789115635,0,001210_2026-06-03,-0.24455753463387053,0,-0.01253132832080206,-0.0077718609829628095,0,0.008700322234156788,0.013459789571996037,1,-0.07571896338851898,-0.07095949605067974,0,0,0.0
2026-06-04,6,0,-0.002864828664527752,000700_2026-06-04,-0.06513409961685834,0,600487_2026-06-04,0.06593749999999998,0,600121_2026-06-04,-0.007092198581560294,0,-0.06513409961685834,-0.06226927095233059,0,0.0004017001915708196,0.0032665288560985717,1,-0.0020962660661395516,0.0007685625983882005,1,0,
2026-06-05,6,2,0.025619301511013715,600688_2026-06-05,0.0030211480362536403,0,001896_2026-06-05,0.07,1,605162_2026-06-05,-0.044991511035653575,0,0.0030211480362536403,-0.022598153474760074,0,0.03651057401812682,0.010891272507113109,1,0.009343212333533357,-0.016276089177480357,0,1,0.5
2026-06-08,3,0,0.0133228381898118,600293_2026-06-08,-0.01728395061728394,0,000520_2026-06-08,-0.010940919037199293,0,003036_2026-06-08,0.06819338422391863,0,-0.01728395061728394,-0.03060678880709574,0,-0.014112434827241616,-0.027435273017053417,0,0.0133228381898118,0.0,0,0,
