section,scope,metric,june,july,status
reclaim_internal,RECLAIM,june_pearson,0.578665,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,june_spearman,0.541420,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,july_pearson,0.440917,,COMPOSITE_SUPPORTED
reclaim_internal,RECLAIM,july_spearman,0.430603,,COMPOSITE_SUPPORTED
vif,OPEN,R1,1.175655,,OK
vif,OPEN,R2,1.305917,,OK
vif,DIVERGENCE,R1,2.524647,,OK
vif,DIVERGENCE,R2,3.542297,,OK
vif,SUPPLY,R1,1.090099,,OK
vif,SUPPLY,R2,1.283091,,OK
vif,RECLAIM,R1,2.396484,,OK
vif,RECLAIM,R2,3.063147,,OK
vif,DIVERGENCE_SQ,R2,3.190158,,OK
vif,DIVERGENCE_X_RECLAIM,R2,2.853549,,OK
vif,DIVERGENCE_X_SUPPLY,R2,1.262530,,OK
condition_number,R1,s_max,18.291346,,OK
condition_number,R1,s_min,6.237557,,OK
condition_number,R1,kappa,2.932454,,OK
condition_number,R2,s_max,18.487077,,OK
condition_number,R2,s_min,5.116557,,OK
condition_number,R2,kappa,3.613187,,OK
condition_number,REPAIR_BLOCK,s_max,17.868307,,OK
condition_number,REPAIR_BLOCK,s_min,6.643486,,OK
condition_number,REPAIR_BLOCK,kappa,2.689598,,OK
condition_number,CONDITIONAL_BLOCK,s_max,17.179727,,OK
condition_number,CONDITIONAL_BLOCK,s_min,6.869831,,OK
condition_number,CONDITIONAL_BLOCK,kappa,2.500750,,OK
factor_dist,OPEN,june_mean,-0.000000,,
factor_dist,OPEN,june_std,1.000000,,
factor_dist,OPEN,june_min,-2.174073,,
factor_dist,OPEN,june_p01,-2.173186,,
factor_dist,OPEN,june_p05,-1.401272,,
factor_dist,OPEN,june_p25,-0.642253,,
factor_dist,OPEN,june_median,-0.215206,,
factor_dist,OPEN,june_p75,0.592770,,
factor_dist,OPEN,june_p95,2.015682,,
factor_dist,OPEN,june_p99,2.578492,,
factor_dist,OPEN,june_max,2.578746,,
factor_dist,OPEN,june_skew,0.532293,,
factor_dist,OPEN,july_mean,-0.099393,,
factor_dist,OPEN,july_std,1.182385,,
factor_dist,OPEN,july_min,-2.174073,,
factor_dist,OPEN,july_p01,-2.174073,,
factor_dist,OPEN,july_p05,-2.174073,,
factor_dist,OPEN,july_p25,-0.884469,,
factor_dist,OPEN,july_median,-0.245357,,
factor_dist,OPEN,july_p75,0.562505,,
factor_dist,OPEN,july_p95,2.261206,,
factor_dist,OPEN,july_p99,2.578180,,
factor_dist,OPEN,july_max,2.578746,,
factor_dist,OPEN,july_skew,0.467841,,
factor_dist,DIVERGENCE,june_mean,0.000000,,
factor_dist,DIVERGENCE,june_std,1.000000,,
factor_dist,DIVERGENCE,june_min,-2.141085,,
