left_factor,right_factor,hierarchy_expected,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
OPEN,DIVERGENCE,False,0.331331,0.256027,0.331331,0.256027,LOW,0.410258,0.400242
OPEN,SUPPLY,False,-0.022353,-0.086467,0.022353,0.086467,LOW,-0.001869,-0.013722
OPEN,RECLAIM,False,-0.109349,-0.083538,0.109349,0.083538,LOW,-0.191784,-0.250225
OPEN,DIVERGENCE_SQ,False,0.258214,0.130179,0.258214,0.130179,LOW,0.304921,0.173626
OPEN,DIVERGENCE_X_RECLAIM,False,0.009209,0.021163,0.009209,0.021163,LOW,-0.233304,-0.113910
OPEN,DIVERGENCE_X_SUPPLY,False,0.055327,0.085788,0.055327,0.085788,LOW,-0.143688,-0.146437
DIVERGENCE,SUPPLY,False,0.155739,0.192562,0.155739,0.192562,LOW,0.009257,0.066112
DIVERGENCE,RECLAIM,False,-0.734046,-0.772495,0.734046,0.772495,HIGH,-0.719497,-0.762796
DIVERGENCE,DIVERGENCE_SQ,True,0.276325,0.025956,0.276325,0.025956,LOW,0.579938,0.307626
DIVERGENCE,DIVERGENCE_X_RECLAIM,True,0.062134,-0.007864,0.062134,0.007864,LOW,-0.366309,-0.334179
DIVERGENCE,DIVERGENCE_X_SUPPLY,True,-0.157619,-0.124980,0.157619,0.124980,LOW,-0.261102,-0.168212
SUPPLY,RECLAIM,False,-0.277251,-0.327039,0.277251,0.327039,LOW,-0.228276,-0.259092
SUPPLY,DIVERGENCE_SQ,False,-0.137688,-0.109186,0.137688,0.109186,LOW,-0.246834,-0.185586
SUPPLY,DIVERGENCE_X_RECLAIM,False,-0.068171,-0.047203,0.068171,0.047203,LOW,0.050005,0.007384
SUPPLY,DIVERGENCE_X_SUPPLY,True,0.215573,0.084334,0.215573,0.084334,LOW,0.213927,0.100166
RECLAIM,DIVERGENCE_SQ,False,0.058186,0.049985,0.058186,0.049985,LOW,-0.212609,-0.186536
RECLAIM,DIVERGENCE_X_RECLAIM,True,-0.253793,-0.009260,0.253793,0.009260,LOW,0.112359,0.241074
RECLAIM,DIVERGENCE_X_SUPPLY,False,-0.073080,-0.056054,0.073080,0.056054,LOW,-0.016706,-0.090224
DIVERGENCE_SQ,DIVERGENCE_X_RECLAIM,False,-0.703821,-0.708982,0.703821,0.708982,HIGH,-0.789380,-0.793382
DIVERGENCE_SQ,DIVERGENCE_X_SUPPLY,False,-0.064450,0.151633,0.064450,0.151633,LOW,-0.289701,-0.015698
DIVERGENCE_X_RECLAIM,DIVERGENCE_X_SUPPLY,False,-0.119805,-0.270675,0.119805,0.270675,LOW,-0.014653,-0.088043
