left_factor,right_factor,hierarchy_expected,classification,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
OPEN,DIVERGENCE,False,,0.278685,0.206973,0.278685,0.206973,LOW,0.328888,0.305175
OPEN,CLOSE_DAMAGE,False,,0.331331,0.256027,0.331331,0.256027,LOW,0.410258,0.400242
OPEN,SUPPLY,False,,-0.022353,-0.086467,0.022353,0.086467,LOW,-0.001869,-0.013722
OPEN,RECLAIM,False,,-0.109349,-0.083538,0.109349,0.083538,LOW,-0.191784,-0.250225
OPEN,DIVERGENCE_SQ,False,,0.184742,0.019210,0.184742,0.019210,LOW,0.097247,0.052412
OPEN,DIVERGENCE_X_RECLAIM,False,,-0.135856,-0.238610,0.135856,0.238610,LOW,-0.157522,-0.207369
OPEN,DIVERGENCE_X_DAMAGE,False,,0.392943,0.371251,0.392943,0.371251,LOW,0.302376,0.228465
DIVERGENCE,CLOSE_DAMAGE,False,,0.329897,0.274516,0.329897,0.274516,LOW,0.344186,0.281575
DIVERGENCE,SUPPLY,False,,-0.024241,-0.030139,0.024241,0.030139,LOW,-0.121021,-0.136559
DIVERGENCE,RECLAIM,False,,0.214091,0.137127,0.214091,0.137127,LOW,0.189155,0.109371
DIVERGENCE,DIVERGENCE_SQ,True,EXPECTED_HIERARCHICAL_DEPENDENCE,0.424135,-0.007323,0.424135,0.007323,LOW,0.405981,0.213847
DIVERGENCE,DIVERGENCE_X_RECLAIM,True,EXPECTED_HIERARCHICAL_DEPENDENCE,0.135823,-0.116046,0.135823,0.116046,LOW,-0.084291,-0.277712
DIVERGENCE,DIVERGENCE_X_DAMAGE,True,EXPECTED_HIERARCHICAL_DEPENDENCE,0.186730,-0.062104,0.186730,0.062104,LOW,0.280791,0.106795
CLOSE_DAMAGE,SUPPLY,False,,0.155739,0.192562,0.155739,0.192562,LOW,0.009257,0.066112
CLOSE_DAMAGE,RECLAIM,False,SEMANTIC_STATE_DEPENDENCE,-0.734046,-0.772495,0.734046,0.772495,HIGH,-0.719497,-0.762796
CLOSE_DAMAGE,DIVERGENCE_SQ,False,,0.161553,0.028670,0.161553,0.028670,LOW,0.149174,0.028601
CLOSE_DAMAGE,DIVERGENCE_X_RECLAIM,False,,-0.393622,-0.248740,0.393622,0.248740,LOW,-0.560855,-0.479815
CLOSE_DAMAGE,DIVERGENCE_X_DAMAGE,True,EXPECTED_HIERARCHICAL_DEPENDENCE,0.541061,0.231181,0.541061,0.231181,MODERATE,0.694556,0.447149
SUPPLY,RECLAIM,False,,-0.277251,-0.327039,0.277251,0.327039,LOW,-0.228276,-0.259092
SUPPLY,DIVERGENCE_SQ,False,,-0.034963,-0.029865,0.034963,0.029865,LOW,-0.295517,-0.264739
SUPPLY,DIVERGENCE_X_RECLAIM,False,,0.028696,0.075150,0.028696,0.075150,LOW,0.035070,0.083099
SUPPLY,DIVERGENCE_X_DAMAGE,False,,-0.104175,-0.121724,0.104175,0.121724,LOW,-0.221818,-0.204418
RECLAIM,DIVERGENCE_SQ,False,,0.120766,-0.006063,0.120766,0.006063,LOW,0.126098,0.029375
RECLAIM,DIVERGENCE_X_RECLAIM,True,EXPECTED_HIERARCHICAL_DEPENDENCE,0.570667,0.209665,0.570667,0.209665,MODERATE,0.507560,0.269196
RECLAIM,DIVERGENCE_X_DAMAGE,False,,-0.404530,-0.216847,0.404530,0.216847,LOW,-0.429376,-0.289095
DIVERGENCE_SQ,DIVERGENCE_X_RECLAIM,False,,0.283070,0.182231,0.283070,0.182231,LOW,0.213726,0.057161
DIVERGENCE_SQ,DIVERGENCE_X_DAMAGE,False,,0.393930,0.280256,0.393930,0.280256,LOW,0.338035,0.272197
DIVERGENCE_X_RECLAIM,DIVERGENCE_X_DAMAGE,False,,-0.678438,-0.684547,0.678438,0.684547,MODERATE,-0.762709,-0.779658
