left,right,reclaim_internal,june_pearson,june_spearman,abs_june_pearson,abs_june_spearman,severity,july_pearson,july_spearman
break_open_return,d1_intraday_range,False,0.264224,0.206810,0.264224,0.206810,LOW,0.343029,0.305050
break_open_return,d1_open_to_close_return_raw,False,-0.428092,-0.350582,0.428092,0.350582,LOW,-0.486361,-0.448513
break_open_return,d1_high_to_close_drawdown_raw,False,0.245967,0.150689,0.245967,0.150689,LOW,0.317242,0.312685
break_open_return,d1_close_to_vwap_raw,False,-0.252542,-0.188886,0.252542,0.188886,LOW,-0.331674,-0.362478
break_open_return,late_day_sell_volume_ratio,False,-0.015901,-0.086711,0.015901,0.086711,LOW,0.011380,-0.012791
break_open_return,d1_low_to_close_recovery,False,-0.060088,-0.028412,0.060088,0.028412,LOW,-0.070930,-0.087419
break_open_return,d1_afternoon_return,False,-0.129113,-0.113425,0.129113,0.113425,LOW,-0.231774,-0.293097
d1_intraday_range,d1_open_to_close_return_raw,False,-0.210513,-0.155950,0.210513,0.155950,LOW,-0.179891,-0.234963
d1_intraday_range,d1_high_to_close_drawdown_raw,False,0.576394,0.514181,0.576394,0.514181,MODERATE,0.576663,0.520068
d1_intraday_range,d1_close_to_vwap_raw,False,-0.152181,-0.186716,0.152181,0.186716,LOW,-0.204529,-0.180836
d1_intraday_range,late_day_sell_volume_ratio,False,-0.011042,-0.029870,0.011042,0.029870,LOW,-0.094352,-0.136568
d1_intraday_range,d1_low_to_close_recovery,False,0.366523,0.257806,0.366523,0.257806,LOW,0.359328,0.267352
d1_intraday_range,d1_afternoon_return,False,0.029173,-0.018753,0.029173,0.018753,LOW,-0.055755,-0.101821
d1_open_to_close_return_raw,d1_high_to_close_drawdown_raw,False,-0.801756,-0.783998,0.801756,0.783998,HIGH,-0.763213,-0.774923
d1_open_to_close_return_raw,d1_close_to_vwap_raw,False,0.744837,0.761978,0.744837,0.761978,HIGH,0.701921,0.688921
d1_open_to_close_return_raw,late_day_sell_volume_ratio,False,-0.086967,-0.103707,0.086967,0.103707,LOW,0.057749,0.048670
d1_open_to_close_return_raw,d1_low_to_close_recovery,False,0.678459,0.732054,0.678459,0.732054,HIGH,0.677689,0.643497
d1_open_to_close_return_raw,d1_afternoon_return,False,0.398585,0.407601,0.398585,0.407601,LOW,0.249810,0.232514
d1_high_to_close_drawdown_raw,d1_close_to_vwap_raw,False,-0.826121,-0.855404,0.826121,0.855404,SEVERE,-0.827602,-0.825882
d1_high_to_close_drawdown_raw,late_day_sell_volume_ratio,False,0.134084,0.193763,0.134084,0.193763,LOW,-0.022332,0.028564
d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,False,-0.544820,-0.623042,0.544820,0.623042,MODERATE,-0.550852,-0.594090
d1_high_to_close_drawdown_raw,d1_afternoon_return,False,-0.463532,-0.482204,0.463532,0.482204,LOW,-0.406497,-0.448959
d1_close_to_vwap_raw,late_day_sell_volume_ratio,False,-0.206136,-0.259953,0.206136,0.259953,LOW,-0.091075,-0.124781
d1_close_to_vwap_raw,d1_low_to_close_recovery,False,0.800219,0.809343,0.800219,0.809343,HIGH,0.757940,0.783930
d1_close_to_vwap_raw,d1_afternoon_return,False,0.712425,0.674581,0.712425,0.674581,HIGH,0.674633,0.668999
late_day_sell_volume_ratio,d1_low_to_close_recovery,False,-0.164465,-0.185038,0.164465,0.185038,LOW,-0.070903,-0.051777
late_day_sell_volume_ratio,d1_afternoon_return,False,-0.313245,-0.356698,0.313245,0.356698,LOW,-0.326046,-0.349813
d1_low_to_close_recovery,d1_afternoon_return,True,0.578665,0.541420,0.578665,0.541420,MODERATE,0.440917,0.430603
