section,model,tercile,count,mean_predicted,observed_rate,spread
tercile,R1,LOW,54,0.25945415159502044,0.25925925925925924,
tercile,R1,MID,53,0.3240297298463894,0.2641509433962264,
tercile,R1,HIGH,53,0.4374663644553428,0.24528301886792453,
all,R1,ALL,160,0.3398113574007682,0.25625,
concentration,R1,TOP20,32,,0.21875,
concentration,R1,BOTTOM20,32,,0.25,
concentration,R1,SPREAD,,,,-0.03125
tercile,R2,LOW,54,0.24722561149028557,0.2962962962962963,
tercile,R2,MID,53,0.334057344098901,0.24528301886792453,
tercile,R2,HIGH,53,0.4410311212745156,0.22641509433962265,
all,R2,ALL,160,0.34018669803291557,0.25625,
concentration,R2,TOP20,32,,0.25,
concentration,R2,BOTTOM20,32,,0.3125,
concentration,R2,SPREAD,,,,-0.0625
