signal_date,candidate_count,target7_count,candidate_rate,k,r1_top1_event_id,r1_top1_target,r1_top3_hits,r1_top3_target_rate,r1_daily_auc,r1_auc_valid,r2_top1_event_id,r2_top1_target,r2_top3_hits,r2_top3_target_rate,r2_daily_auc,r2_auc_valid,same_top1,top3_overlap
2026-07-01,15,3,0.200000,3,603928_2026-07-01,1,1,0.333333,0.611111,True,603928_2026-07-01,1,1,0.333333,0.555556,True,YES,3
2026-07-02,18,2,0.111111,3,002053_2026-07-02,0,1,0.333333,0.500000,True,002747_2026-07-02,1,1,0.333333,0.500000,True,NO,3
2026-07-03,12,1,0.083333,3,603538_2026-07-03,1,1,0.333333,1.000000,True,603538_2026-07-03,1,1,0.333333,1.000000,True,YES,3
2026-07-06,13,3,0.230769,3,001317_2026-07-06,1,1,0.333333,0.566667,True,001317_2026-07-06,1,1,0.333333,0.500000,True,YES,2
2026-07-07,6,0,0.000000,3,002767_2026-07-07,0,0,0.000000,,False,002767_2026-07-07,0,0,0.000000,,False,YES,3
2026-07-08,3,1,0.333333,3,603861_2026-07-08,0,1,0.333333,0.000000,True,603861_2026-07-08,0,1,0.333333,0.000000,True,YES,3
2026-07-09,4,1,0.250000,3,002951_2026-07-09,0,1,0.333333,0.333333,True,001229_2026-07-09,1,1,0.333333,1.000000,True,NO,3
2026-07-10,4,1,0.250000,3,603928_2026-07-10,0,1,0.333333,0.666667,True,603928_2026-07-10,0,1,0.333333,0.333333,True,YES,3
2026-07-13,6,0,0.000000,3,000892_2026-07-13,0,0,0.000000,,False,000892_2026-07-13,0,0,0.000000,,False,YES,2
2026-07-14,8,4,0.500000,3,601608_2026-07-14,0,1,0.333333,0.375000,True,601608_2026-07-14,0,2,0.666667,0.437500,True,YES,2
2026-07-15,2,0,0.000000,2,603065_2026-07-15,0,0,0.000000,,False,603065_2026-07-15,0,0,0.000000,,False,YES,2
2026-07-16,12,5,0.416667,3,600844_2026-07-16,0,1,0.333333,0.571429,True,600844_2026-07-16,0,1,0.333333,0.542857,True,YES,3
2026-07-17,5,0,0.000000,3,002365_2026-07-17,0,0,0.000000,,False,002365_2026-07-17,0,0,0.000000,,False,YES,3
2026-07-20,6,4,0.666667,3,002677_2026-07-20,0,2,0.666667,0.250000,True,002677_2026-07-20,0,1,0.333333,0.000000,True,YES,2
2026-07-21,7,7,1.000000,3,600722_2026-07-21,1,3,1.000000,,False,600722_2026-07-21,1,3,1.000000,,False,YES,2
2026-07-22,1,0,0.000000,1,000889_2026-07-22,0,0,0.000000,,False,000889_2026-07-22,0,0,0.000000,,False,YES,1
2026-07-23,3,0,0.000000,3,603118_2026-07-23,0,0,0.000000,,False,603118_2026-07-23,0,0,0.000000,,False,YES,3
2026-07-24,9,5,0.555556,3,002412_2026-07-24,1,1,0.333333,0.400000,True,002412_2026-07-24,1,1,0.333333,0.400000,True,YES,3
2026-07-27,13,2,0.153846,3,002083_2026-07-27,0,0,0.000000,0.500000,True,002083_2026-07-27,0,0,0.000000,0.363636,True,YES,2
2026-07-28,3,1,0.333333,3,601606_2026-07-28,1,1,0.333333,1.000000,True,601606_2026-07-28,1,1,0.333333,1.000000,True,YES,3
2026-07-29,10,1,0.100000,3,002173_2026-07-29,0,0,0.000000,0.222222,True,002969_2026-07-29,0,0,0.000000,0.111111,True,NO,3
