section,factor,rank,coefficient,max_abs_contribution,event_id,code,signal_date,factor_value,contribution,abs_contribution
max_abs_contribution,OPEN,0,0.119904,0.309202,002412_2026-07-24,002412,2026-07-24,2.578746,0.309202,0.309202
max_abs_contribution,DIVERGENCE,0,-0.156602,0.404018,002969_2026-07-29,002969,2026-07-29,2.579906,-0.404018,0.404018
max_abs_contribution,CLOSE_DAMAGE,0,0.539700,1.369347,002767_2026-07-07,002767,2026-07-07,2.537237,1.369347,1.369347
max_abs_contribution,SUPPLY,0,-0.162977,0.379835,002167_2026-07-02,002167,2026-07-02,2.330606,-0.379835,0.379835
max_abs_contribution,RECLAIM,0,0.414053,1.041121,002969_2026-07-29,002969,2026-07-29,2.514460,1.041121,1.041121
max_abs_contribution,DIVERGENCE_SQ,0,0.278701,1.053027,002969_2026-07-29,002969,2026-07-29,3.778340,1.053027,1.053027
max_abs_contribution,DIVERGENCE_X_RECLAIM,0,-0.286307,1.349372,002969_2026-07-29,002969,2026-07-29,4.713029,-1.349372,1.349372
max_abs_contribution,DIVERGENCE_X_DAMAGE,0,-0.364459,1.263950,000892_2026-07-13,000892,2026-07-13,3.468019,-1.263950,1.263950
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,1,-0.286307,1.349372,002969_2026-07-29,002969,2026-07-29,4.713029,-1.349372,1.349372
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,2,-0.286307,1.349372,001229_2026-07-09,001229,2026-07-09,3.451682,-0.988240,0.988240
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,3,-0.286307,1.349372,603928_2026-07-10,603928,2026-07-10,3.299195,-0.944582,0.944582
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,4,-0.286307,1.349372,002412_2026-07-24,002412,2026-07-24,-2.730329,0.781712,0.781712
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,5,-0.286307,1.349372,002218_2026-07-27,002218,2026-07-27,2.417786,-0.692229,0.692229
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,6,-0.286307,1.349372,000908_2026-07-06,000908,2026-07-06,2.183569,-0.625171,0.625171
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,7,-0.286307,1.349372,000566_2026-07-17,000566,2026-07-17,-2.048913,0.586618,0.586618
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,8,-0.286307,1.349372,000011_2026-07-27,000011,2026-07-27,-2.045932,0.585764,0.585764
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,9,-0.286307,1.349372,002767_2026-07-07,002767,2026-07-07,-2.020557,0.578499,0.578499
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,10,-0.286307,1.349372,002951_2026-07-09,002951,2026-07-09,1.962208,-0.561794,0.561794
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,1,-0.364459,1.263950,000892_2026-07-13,000892,2026-07-13,3.468019,-1.263950,1.263950
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,2,-0.364459,1.263950,000566_2026-07-17,000566,2026-07-17,3.377506,-1.230961,1.230961
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,3,-0.364459,1.263950,002767_2026-07-07,002767,2026-07-07,3.303007,-1.203809,1.203809
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,4,-0.364459,1.263950,002173_2026-07-29,002173,2026-07-29,3.263876,-1.189548,1.189548
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,5,-0.364459,1.263950,600785_2026-07-17,600785,2026-07-17,3.062256,-1.116065,1.116065
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,6,-0.364459,1.263950,002412_2026-07-24,002412,2026-07-24,2.976292,-1.084735,1.084735
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,7,-0.364459,1.263950,601606_2026-07-28,601606,2026-07-28,2.971121,-1.082850,1.082850
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,8,-0.364459,1.263950,603861_2026-07-08,603861,2026-07-08,2.871167,-1.046422,1.046422
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,9,-0.364459,1.263950,603211_2026-07-07,603211,2026-07-07,2.556628,-0.931785,0.931785
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,10,-0.364459,1.263950,603928_2026-07-01,603928,2026-07-01,2.244717,-0.818106,0.818106
