section,model,field,value
model,R0,model,R0
model,R0,development_only,OOT_JULY_202607
model,R0,logloss,0.5858750285035323
model,R0,brier,0.19777536001871096
model,R0,auc,0.5
model,R0,average_precision,0.25625
model,R0,mean_probability,0.3410404624277456
model,R0,observed_rate,0.25625
model,R0,calibration_gap,0.08479046242774563
model,R0,top1_target_rate,NA
model,R0,top3_target_rate,NA
model,R0,top3_picks,NA
model,R0,dates_with_top3_hit,NA
model,R0,zero_hit_dates,NA
model,R0,pooled_candidate_rate,NA
model,R0,mean_daily_candidate_rate,NA
model,R0,valid_auc_dates,NA
model,R0,mean_daily_auc,NA
model,R0,median_daily_auc,NA
model,R0,pair_weighted_within_date_auc,NA
model,R0,dates_auc_gt_0_5,NA
model,R0,dates_auc_eq_0_5,NA
model,R0,dates_auc_lt_0_5,NA
model,R1,model,R1
model,R1,development_only,OOT_JULY_202607
model,R1,logloss,0.6010375594795868
model,R1,brier,0.2053523982716003
model,R1,auc,0.49784791965566716
model,R1,average_precision,0.25936769790003267
model,R1,mean_probability,0.3398113574007682
model,R1,observed_rate,0.25625
model,R1,calibration_gap,0.0835613574007682
model,R1,top1_target_rate,0.2857142857142857
model,R1,top3_target_rate,0.26666666666666666
model,R1,top3_picks,60
model,R1,dates_with_top3_hit,13
model,R1,zero_hit_dates,8
model,R1,pooled_candidate_rate,0.25625
model,R1,mean_daily_candidate_rate,0.24688644688644684
model,R1,valid_auc_dates,14
model,R1,mean_daily_auc,0.4997448979591837
model,R1,median_daily_auc,0.5
model,R1,pair_weighted_within_date_auc,0.5240174672489083
model,R1,dates_auc_gt_0_5,6
model,R1,dates_auc_eq_0_5,2
model,R1,dates_auc_lt_0_5,6
model,R2,model,R2
model,R2,development_only,OOT_JULY_202607
model,R2,logloss,0.6105515284500409
model,R2,brier,0.2089519063124856
model,R2,auc,0.463619594179135
model,R2,average_precision,0.2693209234519927
model,R2,mean_probability,0.34018669803291557
model,R2,observed_rate,0.25625
model,R2,calibration_gap,0.08393669803291559
model,R2,top1_target_rate,0.38095238095238093
model,R2,top3_target_rate,0.26666666666666666
model,R2,top3_picks,60
model,R2,dates_with_top3_hit,13
model,R2,zero_hit_dates,8
model,R2,pooled_candidate_rate,0.25625
model,R2,mean_daily_candidate_rate,0.24688644688644684
model,R2,valid_auc_dates,14
model,R2,mean_daily_auc,0.4817138218923933
model,R2,median_daily_auc,0.46875
model,R2,pair_weighted_within_date_auc,0.4847161572052402
model,R2,dates_auc_gt_0_5,5
model,R2,dates_auc_eq_0_5,2
model,R2,dates_auc_lt_0_5,7
gate,,R1_PROBABILITY_PASS,NO
gate,,R1_RANKING_PASS,YES
gate,,R1_OOT_PASS,NO
gate,,R2_PROBABILITY_PASS,NO
gate,,R2_RANKING_PASS,NO
gate,,R2_OOT_PASS,NO
gate,,R2_INCREMENTAL_PASS,NO
gate,,R2_ONLY_OOT_PASS,NO
two_phase,,PHASE_A_COMPLETE,YES
two_phase,,PRE_TARGET_PREDICTION_SHA256,8fe5e0745495e948149a29c833e6cce938ec997f78e93f4bab2ad6bec1409eea
two_phase,,TARGET_OPENED,YES
two_phase,,POST_TARGET_PREDICTION_SHA256,8fe5e0745495e948149a29c833e6cce938ec997f78e93f4bab2ad6bec1409eea
two_phase,,IDENTICAL,YES
decision,,FINAL_DECISION,REJECT_REPAIR_STATE_V002_OOT
decision,,CONFIDENCE,N/A
decision,,forward_shadow_candidate,NONE
decision,,observed_rate,0.25625
comparison,,r1_ll_improvement_vs_r0,-0.015162530976054467
comparison,,r1_brier_improvement_vs_r0,-0.007577038252889329
comparison,,r2_ll_improvement_vs_r0,-0.024676499946508557
comparison,,r2_brier_improvement_vs_r0,-0.011176546293774653
comparison,,r2_ll_improvement_vs_r1,-0.00951396897045409
comparison,,r2_brier_improvement_vs_r1,-0.003599508040885324
