section,signal_date,model,daily_auc,auc_valid,field,value
date,2026-07-01,r1,0.611111111111111,True,,
date,2026-07-01,r2,0.5555555555555556,True,,
date,2026-07-02,r1,0.5,True,,
date,2026-07-02,r2,0.5,True,,
date,2026-07-03,r1,1.0,True,,
date,2026-07-03,r2,1.0,True,,
date,2026-07-06,r1,0.5666666666666667,True,,
date,2026-07-06,r2,0.5,True,,
date,2026-07-07,r1,,False,,
date,2026-07-07,r2,,False,,
date,2026-07-08,r1,0.0,True,,
date,2026-07-08,r2,0.0,True,,
date,2026-07-09,r1,0.33333333333333337,True,,
date,2026-07-09,r2,1.0,True,,
date,2026-07-10,r1,0.6666666666666667,True,,
date,2026-07-10,r2,0.33333333333333337,True,,
date,2026-07-13,r1,,False,,
date,2026-07-13,r2,,False,,
date,2026-07-14,r1,0.375,True,,
date,2026-07-14,r2,0.4375,True,,
date,2026-07-15,r1,,False,,
date,2026-07-15,r2,,False,,
date,2026-07-16,r1,0.5714285714285715,True,,
date,2026-07-16,r2,0.5428571428571429,True,,
date,2026-07-17,r1,,False,,
date,2026-07-17,r2,,False,,
date,2026-07-20,r1,0.25,True,,
date,2026-07-20,r2,0.0,True,,
date,2026-07-21,r1,,False,,
date,2026-07-21,r2,,False,,
date,2026-07-22,r1,,False,,
date,2026-07-22,r2,,False,,
date,2026-07-23,r1,,False,,
date,2026-07-23,r2,,False,,
date,2026-07-24,r1,0.4,True,,
date,2026-07-24,r2,0.4,True,,
date,2026-07-27,r1,0.5,True,,
date,2026-07-27,r2,0.36363636363636365,True,,
date,2026-07-28,r1,1.0,True,,
date,2026-07-28,r2,1.0,True,,
date,2026-07-29,r1,0.2222222222222222,True,,
date,2026-07-29,r2,0.11111111111111116,True,,
summary,,R1,,,valid_auc_dates,14
summary,,R1,,,mean_daily_auc,0.4997448979591837
summary,,R1,,,median_daily_auc,0.5
summary,,R1,,,pair_weighted_within_date_auc,0.5240174672489083
summary,,R1,,,dates_auc_gt_0_5,6
summary,,R1,,,dates_auc_eq_0_5,2
summary,,R1,,,dates_auc_lt_0_5,6
summary,,R2,,,valid_auc_dates,14
summary,,R2,,,mean_daily_auc,0.4817138218923933
summary,,R2,,,median_daily_auc,0.46875
summary,,R2,,,pair_weighted_within_date_auc,0.4847161572052402
summary,,R2,,,dates_auc_gt_0_5,5
summary,,R2,,,dates_auc_eq_0_5,2
summary,,R2,,,dates_auc_lt_0_5,7
