signal_date,candidate_count,candidate_target_rate,r1_top1_target,r1_top3_hits,r1_top3_target_rate,r1_daily_auc,r1_auc_valid,r2_top1_target,r2_top3_hits,r2_top3_target_rate,r2_daily_auc,r2_auc_valid
2026-06-01,4,0.250000,1,1,0.333333,1.000000,True,1,1,0.333333,1.000000,True
2026-06-02,2,0.500000,1,1,0.500000,1.000000,True,1,1,0.500000,1.000000,True
2026-06-03,7,0.142857,0,1,0.333333,0.833333,True,0,1,0.333333,0.666667,True
2026-06-04,6,0.000000,0,0,0.000000,,False,0,0,0.000000,,False
2026-06-05,6,0.333333,1,1,0.333333,0.500000,True,1,1,0.333333,0.500000,True
2026-06-08,3,0.000000,0,0,0.000000,,False,0,0,0.000000,,False
2026-06-09,9,0.111111,0,0,0.000000,0.125000,True,0,0,0.000000,0.125000,True
2026-06-10,7,0.571429,0,1,0.333333,0.333333,True,1,1,0.333333,0.416667,True
2026-06-11,10,0.200000,0,0,0.000000,0.125000,True,0,0,0.000000,0.312500,True
2026-06-12,8,0.500000,1,2,0.666667,0.625000,True,1,2,0.666667,0.625000,True
2026-06-15,3,0.333333,1,1,0.333333,1.000000,True,1,1,0.333333,1.000000,True
2026-06-16,7,0.428571,1,2,0.666667,0.750000,True,1,3,1.000000,1.000000,True
2026-06-17,17,0.705882,1,2,0.666667,0.633333,True,1,2,0.666667,0.650000,True
2026-06-18,15,0.133333,0,0,0.000000,0.538462,True,0,0,0.000000,0.500000,True
2026-06-22,7,0.571429,1,2,0.666667,0.750000,True,1,2,0.666667,0.833333,True
2026-06-23,14,0.500000,1,3,1.000000,0.612245,True,1,3,1.000000,0.632653,True
2026-06-24,15,0.200000,0,2,0.666667,0.611111,True,0,1,0.333333,0.583333,True
2026-06-25,9,0.444444,0,1,0.333333,0.450000,True,0,1,0.333333,0.550000,True
2026-06-26,12,0.250000,1,2,0.666667,0.777778,True,1,2,0.666667,0.740741,True
2026-06-29,5,0.600000,0,2,0.666667,0.333333,True,0,2,0.666667,0.333333,True
2026-06-30,7,0.142857,0,0,0.000000,0.000000,True,0,0,0.000000,0.166667,True
