section,factor,rank,coefficient,max_abs_contribution,event_id,code,signal_date,factor_value,contribution,abs_contribution
max_abs_contribution,OPEN,0,0.119904,0.309202,603616_2026-06-10,603616,2026-06-10,2.578746,0.309202,0.309202
max_abs_contribution,DIVERGENCE,0,-0.156602,0.449656,603261_2026-06-22,603261,2026-06-22,2.871334,-0.449656,0.449656
max_abs_contribution,CLOSE_DAMAGE,0,0.539700,1.439695,000517_2026-06-09,000517,2026-06-09,2.667584,1.439695,1.439695
max_abs_contribution,SUPPLY,0,-0.162977,0.379835,002119_2026-06-12,002119,2026-06-12,2.330606,-0.379835,0.379835
max_abs_contribution,RECLAIM,0,0.414053,1.465065,002068_2026-06-24,002068,2026-06-24,3.538350,1.465065,1.465065
max_abs_contribution,DIVERGENCE_SQ,0,0.278701,1.348802,603261_2026-06-22,603261,2026-06-22,4.839607,1.348802,1.348802
max_abs_contribution,DIVERGENCE_X_RECLAIM,0,-0.286307,1.845864,605580_2026-06-24,605580,2026-06-24,6.447152,-1.845864,1.845864
max_abs_contribution,DIVERGENCE_X_DAMAGE,0,-0.364459,2.048431,001896_2026-06-05,001896,2026-06-05,5.620476,-2.048431,2.048431
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,1,-0.286307,1.845864,605580_2026-06-24,605580,2026-06-24,6.447152,-1.845864,1.845864
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,2,-0.286307,1.845864,002068_2026-06-24,002068,2026-06-24,5.536048,-1.585008,1.585008
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,3,-0.286307,1.845864,001896_2026-06-05,001896,2026-06-05,-4.557176,1.304751,1.304751
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,4,-0.286307,1.845864,000811_2026-06-23,000811,2026-06-23,4.410502,-1.262757,1.262757
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,5,-0.286307,1.845864,603261_2026-06-22,603261,2026-06-22,3.355800,-0.960788,0.960788
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,6,-0.286307,1.845864,600178_2026-06-12,600178,2026-06-12,-2.380291,0.681494,0.681494
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,7,-0.286307,1.845864,002579_2026-06-03,002579,2026-06-03,-1.992461,0.570455,0.570455
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,8,-0.286307,1.845864,000517_2026-06-09,000517,2026-06-09,-1.640891,0.469798,0.469798
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,9,-0.286307,1.845864,600280_2026-06-03,600280,2026-06-03,1.564123,-0.447819,0.447819
top10_DIVERGENCE_X_RECLAIM,DIVERGENCE_X_RECLAIM,10,-0.286307,1.845864,603155_2026-06-30,603155,2026-06-30,1.501362,-0.429850,0.429850
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,1,-0.364459,2.048431,001896_2026-06-05,001896,2026-06-05,5.620476,-2.048431,2.048431
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,2,-0.364459,2.048431,000517_2026-06-09,000517,2026-06-09,4.849930,-1.767599,1.767599
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,3,-0.364459,2.048431,600228_2026-06-29,600228,2026-06-29,4.284547,-1.561540,1.561540
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,4,-0.364459,2.048431,002068_2026-06-24,002068,2026-06-24,-3.797496,1.384030,1.384030
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,5,-0.364459,2.048431,605580_2026-06-24,605580,2026-06-24,-3.608115,1.315008,1.315008
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,6,-0.364459,2.048431,002584_2026-06-25,002584,2026-06-25,3.143673,-1.145739,1.145739
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,7,-0.364459,2.048431,002141_2026-06-22,002141,2026-06-22,3.029459,-1.104112,1.104112
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,8,-0.364459,2.048431,000823_2026-06-29,000823,2026-06-29,1.845600,-0.672645,0.672645
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,9,-0.364459,2.048431,600178_2026-06-12,600178,2026-06-12,1.744474,-0.635789,0.635789
top10_DIVERGENCE_X_DAMAGE,DIVERGENCE_X_DAMAGE,10,-0.364459,2.048431,603757_2026-06-24,603757,2026-06-24,-1.622491,0.591331,0.591331
