event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,closing_completion_gap,strength_x_gap,capped_pair_score,capped_pair_rank,final_capped_rank,target7,raw_repair_return,capped_opportunity_return_7,outcome_state,rank_strict_stage1,rank_strict_capped,rank_winner_protect,rank_loss_permission,rank_oracle_loss_stage1_backfill,rank_oracle_risk_oracle_backfill,rank_top10_oracle
600280_2026-06-03,2026-06-03,600280,7,2026-06-05,0.661570074138,1,True,0.142857142857,0.142857142857,0.00802447860289,2,2,0,-0.0125313283208,-0.0125313283208,LOSS,1,2,2,1,4,4,4
002579_2026-06-03,2026-06-03,002579,7,2026-06-05,0.648088228314,2,True,0.642857142857,0.535714285714,0.00805901460836,1,1,0,0.0540254237288,0.0540254237288,POSITIVE_NON_TARGET,2,1,1,2,1,1,3
001210_2026-06-03,2026-06-03,001210,7,2026-06-05,0.640125977555,3,True,0.357142857143,0.238095238095,0.00623211289564,3,3,0,-0.244557534634,-0.244557534634,LOSS,3,3,3,3,5,5,5
002404_2026-06-03,2026-06-03,002404,7,2026-06-05,0.632443506963,4,True,0.107142857143,0.0535714285714,0.00424462052506,5,5,0,0.0299319727891,0.0299319727891,POSITIVE_NON_TARGET,4,4,4,4,2,6,6
000055_2026-06-03,2026-06-03,000055,7,2026-06-05,0.600695323283,5,True,0.892857142857,0.297619047619,0.0061560686777,4,4,0,0,0,POSITIVE_NON_TARGET,5,5,5,5,3,7,7
002421_2026-06-03,2026-06-03,002421,7,2026-06-05,0.592765147736,6,True,0.392857142857,0.0654761904762,0.00305991613103,7,7,0,0.0698151950719,0.0698151950719,POSITIVE_NON_TARGET,6,6,6,6,6,3,2
603045_2026-06-03,2026-06-03,603045,7,2026-06-05,0.588764385877,7,True,0.714285714286,0,0.00357588297735,6,6,1,0.154815115807,0.07,TARGET7,7,7,7,7,7,2,1
600121_2026-06-04,2026-06-04,600121,6,2026-06-08,0.65292892361,1,True,0.75,0.75,0.0233897287063,1,1,0,-0.00709219858156,-0.00709219858156,LOSS,1,1,1,1,4,4,4
600487_2026-06-04,2026-06-04,600487,6,2026-06-08,0.640526468833,2,True,0.125,0.1,0.0116343011186,3,3,0,0.0659375,0.0659375,POSITIVE_NON_TARGET,2,3,3,2,1,1,1
002137_2026-06-04,2026-06-04,002137,6,2026-06-08,0.621397884231,3,True,0.541666666667,0.325,0.0150106936064,2,2,0,0.0068359375,0.0068359375,POSITIVE_NON_TARGET,3,2,2,3,2,2,3
000700_2026-06-04,2026-06-04,000700,6,2026-06-08,0.612046066852,4,True,0.291666666667,0.116666666667,0.00892516784315,5,5,0,-0.0651340996169,-0.0651340996169,LOSS,4,4,4,4,3,5,5
603311_2026-06-04,2026-06-04,603311,6,2026-06-08,0.608505916141,5,True,0.25,0.05,0.00580746751676,6,6,0,0.0277923439958,0.0277923439958,POSITIVE_NON_TARGET,5,5,5,5,5,3,2
600936_2026-06-04,2026-06-04,600936,6,2026-06-08,0.582327156051,6,True,0.791666666667,0,0.010332338622,4,4,0,-0.0455284552846,-0.0455284552846,LOSS,6,6,6,6,6,6,6
