signal_date,slot_pair,demoted_code,demoted_event_id,demoted_stage1_rank,demoted_target7,demoted_raw_return,demoted_state,promoted_code,promoted_event_id,promoted_capped_rank,promoted_target7,promoted_raw_return,promoted_state,pair_delta_capped_return,daily_slot_contribution,overall_mean_contribution
2026-06-05,1,605162,605162_2026-06-05,3,0,-0.0449915110357,LOSS,001896,001896_2026-06-05,2,1,0.0850528434826,TARGET7,0.114991511036,0.0383305036786,0.0022547355105
2026-06-09,1,603859,603859_2026-06-09,1,0,0.0640412922959,POSITIVE_NON_TARGET,000068,000068_2026-06-09,2,0,-0.0503978779841,LOSS,-0.11443917028,-0.0381463900933,-0.00224390529961
2026-06-09,2,603500,603500_2026-06-09,2,1,0.0936270653029,TARGET7,003009,003009_2026-06-09,3,0,-0.0131004366812,LOSS,-0.0831004366812,-0.0277001455604,-0.00162942032708
2026-06-10,1,603186,603186_2026-06-10,3,1,0.12896813445,TARGET7,002747,002747_2026-06-10,3,0,0.0194285714286,POSITIVE_NON_TARGET,-0.0505714285714,-0.0168571428571,-0.000991596638655
2026-06-11,1,002636,002636_2026-06-11,1,1,0.0890098899878,TARGET7,000029,000029_2026-06-11,1,0,0.0117970900511,POSITIVE_NON_TARGET,-0.0582029099489,-0.019400969983,-0.00114123352841
2026-06-11,2,605318,605318_2026-06-11,2,0,0.0456747404844,POSITIVE_NON_TARGET,002585,002585_2026-06-11,2,0,0.0257648953301,POSITIVE_NON_TARGET,-0.0199098451543,-0.00663661505144,-0.000390389120673
2026-06-11,3,605589,605589_2026-06-11,3,1,0.0872881355932,TARGET7,003026,003026_2026-06-11,3,0,-0.0459548706659,LOSS,-0.115954870666,-0.0386516235553,-0.00227362491502
2026-06-12,1,002409,002409_2026-06-12,3,1,0.0771077107711,TARGET7,600378,600378_2026-06-12,1,1,0.0784588441331,TARGET7,0,0,0
2026-06-16,1,000510,000510_2026-06-16,3,0,-0.0145310435931,LOSS,603335,603335_2026-06-16,3,1,0.111922141119,TARGET7,0.0845310435931,0.028177014531,0.001657471443
2026-06-18,1,600110,600110_2026-06-18,3,0,-0.0444572748268,LOSS,603115,603115_2026-06-18,3,0,0.0322945682451,POSITIVE_NON_TARGET,0.0767518430719,0.0255839476906,0.00150493809945
2026-06-22,1,002491,002491_2026-06-22,3,1,0.0711188204683,TARGET7,002141,002141_2026-06-22,2,1,0.0746268656716,TARGET7,0,0,0
2026-06-23,1,603663,603663_2026-06-23,1,0,0.0294117647059,POSITIVE_NON_TARGET,003031,003031_2026-06-23,1,0,0.0645161290323,POSITIVE_NON_TARGET,0.0351043643264,0.0117014547755,0.000688320869145
2026-06-23,2,002297,002297_2026-06-23,2,1,0.132492113565,TARGET7,000657,000657_2026-06-23,2,1,0.0773082315241,TARGET7,0,0,0
2026-06-23,3,600769,600769_2026-06-23,3,0,0.00775547445255,POSITIVE_NON_TARGET,002655,002655_2026-06-23,3,1,0.112807463953,TARGET7,0.0622445255474,0.0207481751825,0.00122048089309
2026-06-24,1,603757,603757_2026-06-24,1,0,0.0516980613227,POSITIVE_NON_TARGET,000783,000783_2026-06-24,1,1,0.091103965702,TARGET7,0.0183019386773,0.00610064622577,0.000358861542692
2026-06-25,1,605069,605069_2026-06-25,2,1,0.108333333333,TARGET7,002687,002687_2026-06-25,1,1,0.134703196347,TARGET7,0,0,0
2026-06-25,2,600379,600379_2026-06-25,3,0,-0.0113182423435,LOSS,002580,002580_2026-06-25,3,0,-0.12269446672,LOSS,-0.111376224377,-0.0371254081255,-0.0021838475368
2026-06-26,1,603989,603989_2026-06-26,1,0,-0.0419642857143,LOSS,600584,600584_2026-06-26,1,0,0.0200970873786,POSITIVE_NON_TARGET,0.0620613730929,0.0206871243643,0.00121688966849
2026-06-26,2,002990,002990_2026-06-26,2,1,0.086383601757,TARGET7,002080,002080_2026-06-26,3,0,-0.0525252525253,LOSS,-0.122525252525,-0.0408417508418,-0.00240245593187
