test_date,strict_date_available,unavailable_reason,matured_training_rows,matured_training_dates,immature_rows_excluded,latest_training_signal_date,latest_training_label_available_date,stage1_training_rows,stage2_meta_rows,stage2_meta_dates,stage2_pair_count,self_label_leakage_rows,current_test_leakage_rows,july_rows_accessed
2026-06-01,False,MATURED_DATES_16_LT_18,139,16,7,2026-05-27,2026-05-29,139,0,0,0,0,0,0
2026-06-02,False,MATURED_DATES_17_LT_18,143,17,7,2026-05-28,2026-06-01,143,0,0,0,0,0,0
2026-06-03,True,,146,18,6,2026-05-29,2026-06-02,146,130,18,497,0,0,0
2026-06-04,True,,150,19,9,2026-06-01,2026-06-03,150,134,19,503,0,0,0
2026-06-05,True,,152,20,13,2026-06-02,2026-06-04,152,136,20,504,0,0,0
2026-06-08,True,,159,21,12,2026-06-03,2026-06-05,159,143,21,525,0,0,0
2026-06-09,True,,165,22,9,2026-06-04,2026-06-08,165,149,22,540,0,0,0
2026-06-10,True,,171,23,12,2026-06-05,2026-06-09,171,155,23,555,0,0,0
2026-06-11,True,,174,24,16,2026-06-08,2026-06-10,174,158,24,558,0,0,0
2026-06-12,True,,183,25,17,2026-06-09,2026-06-11,183,167,25,594,0,0,0
2026-06-15,True,,190,26,18,2026-06-10,2026-06-12,190,174,26,615,0,0,0
2026-06-16,True,,200,27,11,2026-06-11,2026-06-15,200,184,27,660,0,0,0
2026-06-17,True,,208,28,10,2026-06-12,2026-06-16,208,192,28,688,0,0,0
2026-06-18,True,,211,29,24,2026-06-15,2026-06-17,211,195,29,691,0,0,0
2026-06-22,True,,218,30,32,2026-06-16,2026-06-18,218,202,30,712,0,0,0
2026-06-23,True,,235,31,22,2026-06-17,2026-06-22,235,212,31,757,0,0,0
2026-06-24,True,,250,32,21,2026-06-18,2026-06-23,250,222,32,802,0,0,0
2026-06-25,True,,257,33,29,2026-06-22,2026-06-24,257,229,33,823,0,0,0
2026-06-26,True,,271,34,24,2026-06-23,2026-06-25,271,239,34,868,0,0,0
2026-06-29,False,JULY_OUTCOME_FORBIDDEN,286,35,21,2026-06-24,2026-06-26,286,0,0,0,0,0,0
2026-06-30,False,JULY_OUTCOME_FORBIDDEN,295,36,17,2026-06-25,2026-06-29,295,0,0,0,0,0,0
