context_type,context_value,rows,loss_count,loss_rate,target7_count,target7_rate,mean_raw_return,coverage_pass_count,foundation_pass_count,exceptional_count,best_oriented_auc_loss_nonloss,best_oriented_auc_loss_target7,best_absolute_cliff,best_BH_q
BOARD,board2,36,8,0.222222222222,12,0.333333333333,0.0383938602283,,,,,,,
BOARD,board3,15,8,0.533333333333,4,0.266666666667,0.0208555574233,,,,,,,
CANDIDATE_COUNT_BUCKET,5-9,27,8,0.296296296296,9,0.333333333333,0.0273480471808,,,,,,,
CANDIDATE_COUNT_BUCKET,<5,6,2,0.333333333333,1,0.166666666667,0.036106930058,,,,,,,
CANDIDATE_COUNT_BUCKET,>=10,18,6,0.333333333333,6,0.333333333333,0.0411096375188,,,,,,,
FEATURE_GROUP,BOARD_HISTORY,6,,,,,,6,0,0,0.7125,0.703125,0.425,1
FEATURE_GROUP,D0_CROSS_SECTION,1,,,,,,1,0,0,0.576785714286,0.58203125,0.153571428571,1
FEATURE_GROUP,D1_CHIP_DISTRIBUTION,4,,,,,,4,0,0,0.566071428571,0.5703125,0.132142857143,1
FEATURE_GROUP,D1_LATE_DAY_PRESSURE,2,,,,,,2,0,0,0.505357142857,0.53515625,0.0107142857143,1
FEATURE_GROUP,D1_MA_POSITION,15,,,,,,15,0,0,0.580357142857,0.578125,0.160714285714,1
FEATURE_GROUP,D1_PRICE_ACTION,14,,,,,,14,0,0,0.626785714286,0.6171875,0.253571428571,1
FEATURE_GROUP,D1_VOLUME_ACTIVITY,3,,,,,,3,0,0,0.641071428571,0.69140625,0.282142857143,1
FEATURE_GROUP,D1_VWAP_POSITION,1,,,,,,1,0,0,0.560714285714,0.59765625,0.121428571429,1
FEATURE_GROUP,POOL_MEMBERSHIP,3,,,,,,3,0,0,0.65,0.625,0.3,1
FEATURE_GROUP,RECENT_7D_PATH,4,,,,,,4,0,0,0.695535714286,0.70703125,0.391071428571,1
STAGE1_RANK,Rank1,17,5,0.294117647059,3,0.176470588235,0.0318323220452,,,,,,,
STAGE1_RANK,Rank2,17,4,0.235294117647,7,0.411764705882,0.05217795863,,,,,,,
STAGE1_RANK,Rank3,17,7,0.411764705882,6,0.352941176471,0.0156963269463,,,,,,,
