feature,group,signal_date,loss_n,nonloss_n,loss_median,nonloss_median,raw_daily_diff,risk_sign,oriented_daily_diff,direction_match
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-03,2,1,0.459022283807,0.919016663227,-0.45999437942,1,-0.45999437942,False
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-04,1,2,0.919284760989,0.499555266209,0.41972949478,1,0.41972949478,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-05,1,2,0.94085199796,0.892385452481,0.0484665454787,1,0.0484665454787,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-08,2,1,0.589236231901,1,-0.410763768099,1,-0.410763768099,False
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-09,1,2,0.726102168269,0.13434947504,0.591752693229,1,0.591752693229,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-12,1,2,1,0.908089460961,0.0919105390391,1,0.0919105390391,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-16,1,2,0.258100655499,0.248818281506,0.00928237399268,1,0.00928237399268,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-17,1,2,0.184033131004,0.646503183522,-0.462470052518,1,-0.462470052518,False
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-18,2,1,0.27681429548,0.0616731076907,0.21514118779,1,0.21514118779,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-24,2,1,0.556121469537,0.0380146560912,0.518106813446,1,0.518106813446,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-25,1,2,0.386413872731,0.37519904411,0.0112148286215,1,0.0112148286215,True
amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,2026-06-26,1,2,0.701131169503,0.951718367514,-0.250587198011,1,-0.250587198011,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-03,2,1,30.5,10,20.5,-1,-20.5,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-04,1,2,3,23,-20,-1,20,True
board_day_volume_rank,D0_CROSS_SECTION,2026-06-05,1,2,37,5.5,31.5,-1,-31.5,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-08,2,1,19.5,47,-27.5,-1,27.5,True
board_day_volume_rank,D0_CROSS_SECTION,2026-06-09,1,2,2,22,-20,-1,20,True
board_day_volume_rank,D0_CROSS_SECTION,2026-06-12,1,2,36,19.5,16.5,-1,-16.5,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-16,1,2,78,61,17,-1,-17,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-17,1,2,74,49,25,-1,-25,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-18,2,1,45.5,48,-2.5,-1,2.5,True
board_day_volume_rank,D0_CROSS_SECTION,2026-06-24,2,1,24,78,-54,-1,54,True
board_day_volume_rank,D0_CROSS_SECTION,2026-06-25,1,2,31,28.5,2.5,-1,-2.5,False
board_day_volume_rank,D0_CROSS_SECTION,2026-06-26,1,2,68,63,5,-1,-5,False
board_streak_is_3,BOARD_HISTORY,2026-06-03,2,1,0.5,0,0.5,1,0.5,True
