feature_order,feature_name,feature_group,d1_safe,available_as_of,dtype,nonmissing_rows,unique_values,coverage
1,board_streak_is_3,BOARD_HISTORY,True,D1_CLOSE,binary,51,2,1
2,max_board_streak_20d,BOARD_HISTORY,True,D1_CLOSE,ordinal,51,3,1
3,recent_limit_up_count_10d,BOARD_HISTORY,True,D1_CLOSE,ordinal,51,5,1
4,recent_limit_up_count_20d,BOARD_HISTORY,True,D1_CLOSE,ordinal,51,7,1
5,recent_pool_appearance_count_10d,BOARD_HISTORY,True,D1_CLOSE,ordinal,51,5,1
6,recent_pool_appearance_count_20d,BOARD_HISTORY,True,D1_CLOSE,ordinal,51,7,1
7,board_day_volume_rank,D0_CROSS_SECTION,True,D0_CLOSE,continuous,51,40,1
8,break_open_return,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
9,break_high_return,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,50,1
10,break_close_return,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
11,break_touched_limit_up,D1_PRICE_ACTION,True,D1_CLOSE,binary,51,2,1
12,break_opened_from_limit_up,D1_PRICE_ACTION,True,D1_CLOSE,binary,51,2,1
13,break_upper_shadow_ratio,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,50,1
14,break_lower_shadow_ratio,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,45,1
15,d1_high_to_close_drawdown_raw,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,50,1
16,d1_low_to_close_recovery,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
17,d1_open_to_close_return_raw,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
18,d1_close_location,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,50,1
19,d1_intraday_range,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
20,d1_afternoon_return,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
21,d1_last_hour_return,D1_PRICE_ACTION,True,D1_CLOSE,continuous,51,51,1
22,break_volume_ratio_vs_board_days,D1_VOLUME_ACTIVITY,True,D1_CLOSE,continuous,51,51,1
23,d1_up_bar_volume_ratio,D1_VOLUME_ACTIVITY,True,D1_CLOSE,continuous,51,51,1
24,down_bar_volume_ratio,D1_VOLUME_ACTIVITY,True,D1_CLOSE,continuous,51,51,1
25,volume_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,True,D1_CLOSE,continuous,51,48,1
26,amount_above_d1_close_ratio,D1_CHIP_DISTRIBUTION,True,D1_CLOSE,continuous,51,48,1
27,high_zone_volume_ratio,D1_CHIP_DISTRIBUTION,True,D1_CLOSE,continuous,51,47,1
28,high_zone_amount_ratio,D1_CHIP_DISTRIBUTION,True,D1_CLOSE,continuous,51,47,1
29,late_day_sell_volume_ratio,D1_LATE_DAY_PRESSURE,True,D1_CLOSE,continuous,51,51,1
30,late_day_sell_amount_ratio,D1_LATE_DAY_PRESSURE,True,D1_CLOSE,continuous,51,51,1
31,d1_close_to_vwap_raw,D1_VWAP_POSITION,True,D1_CLOSE,continuous,51,51,1
32,d1_close_to_ma5_raw,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
33,d1_low_to_ma5_raw,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
34,d1_high_to_ma5_raw,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
35,d1_close_to_ma10_raw,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
36,d1_low_to_ma10_raw,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
37,d1_close_to_ma20,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
38,d1_ma5_slope,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
39,d1_ma10_slope,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
40,d1_ma20_slope,D1_MA_POSITION,True,D1_CLOSE,continuous,51,51,1
41,d1_close_above_ma5,D1_MA_POSITION,True,D1_CLOSE,binary,51,1,1
42,d1_close_above_ma10,D1_MA_POSITION,True,D1_CLOSE,binary,51,1,1
43,d1_true_reclaim_ma5,D1_MA_POSITION,True,D1_CLOSE,binary,51,1,1
44,d1_true_reclaim_ma10,D1_MA_POSITION,True,D1_CLOSE,binary,51,1,1
45,consecutive_days_below_ma5,D1_MA_POSITION,True,D1_CLOSE,ordinal,51,1,1
46,consecutive_days_below_ma10,D1_MA_POSITION,True,D1_CLOSE,ordinal,51,1,1
47,break_day_in_pool,POOL_MEMBERSHIP,True,D1_CLOSE,binary,51,1,1
48,last_board_day_in_pool,POOL_MEMBERSHIP,True,D0_CLOSE,binary,51,1,1
49,pool_consecutive_count_last_board,POOL_MEMBERSHIP,True,D0_CLOSE,ordinal,51,2,1
50,recent_7d_cumulative_return,RECENT_7D_PATH,True,D1_CLOSE,continuous,51,51,1
51,recent_7d_max_drawdown,RECENT_7D_PATH,True,D1_CLOSE,continuous,51,51,1
52,recent_7d_close_position,RECENT_7D_PATH,True,D1_CLOSE,continuous,51,51,1
53,recent_7d_limit_up_count,RECENT_7D_PATH,True,D1_CLOSE,ordinal,51,4,1
