feature,group,coverage,nonmissing_rows,missing_rows,unique_values,raw_median_diff,raw_cliff_delta,raw_auc_loss_nonloss,risk_sign,oriented_auc_loss_nonloss,oriented_auc_loss_target7,oriented_auc_loss_positive_non_target,oriented_loss_minus_target7_median,mixed_dates,positive_direction_dates,negative_direction_dates,zero_direction_dates,date_direction_consistency,median_daily_oriented_diff,bootstrap_cliff_p2_5,bootstrap_cliff_p50,bootstrap_cliff_p97_5,bootstrap_cliff_positive_probability,bootstrap_auc_p2_5,bootstrap_auc_p50,bootstrap_auc_p97_5,bootstrap_auc_gt_half_probability,permutation_p,BH_q,is_low_level_53,is_control_representation,post_hoc_development_orientation,loss_n,loss_mean,loss_median,loss_p25,loss_p75,loss_std,loss_min,loss_max,nonloss_n,nonloss_mean,nonloss_median,nonloss_p25,nonloss_p75,nonloss_std,nonloss_min,nonloss_max,target7_n,target7_mean,target7_median,target7_p25,target7_p75,target7_std,target7_min,target7_max,positive_non_target_n,positive_non_target_mean,positive_non_target_median,positive_non_target_p25,positive_non_target_p75,positive_non_target_std,positive_non_target_min,positive_non_target_max,lodo_auc_gt_half_pct,lodo_auc_min,lodo_auc_median,lodo_auc_max,lodo_cliff_positive_pct,lodo_cliff_min,lodo_cliff_median,lodo_cliff_max,coverage_fail,date_support_weak,foundation_pass,foundation_exceptional,evidence_status,failed_gates
board_streak_is_3,BOARD_HISTORY,1,51,0,2,0.5,0.3,0.65,1,0.65,0.625,0.671052631579,0.5,12,6,3,3,0.5,0.25,0.0252525252525,0.297697368421,0.569523438273,0.98245,0.512626262626,0.648848684211,0.784761719137,0.98245,0.147885211479,1,True,False,True,16,0.5,0.5,0,1,0.516397779494,0,1,35,0.2,0,0,0,0.405839724957,0,1,16,0.25,0,0,0.25,0.4472135955,0,1,19,0.157894736842,0,0,0,0.374634324633,0,1,1,0.626050420168,0.647058823529,0.682773109244,1,0.252100840336,0.294117647059,0.365546218487,False,False,False,False,NO_PASS,DATE_CONSISTENCY|BH_FDR
max_board_streak_20d,BOARD_HISTORY,1,51,0,3,1,0.425,0.7125,1,0.7125,0.703125,0.720394736842,1,12,7,3,2,0.583333333333,0.5,0.148145102339,0.425605536332,0.717948717949,0.9986,0.57407255117,0.712802768166,0.858974358974,0.9986,0.031696830317,1,True,False,True,16,2.75,3,2,3,0.683130051064,2,4,35,2.22857142857,2,2,2,0.426042961498,2,3,16,2.25,2,2,2.25,0.4472135955,2,3,19,2.21052631579,2,2,2,0.418853908292,2,3,1,0.686868686869,0.703125,0.756302521008,1,0.373737373737,0.40625,0.512605042017,False,False,False,False,NO_PASS,DATE_CONSISTENCY|BH_FDR
recent_limit_up_count_10d,BOARD_HISTORY,1,51,0,5,1,0.251785714286,0.625892857143,1,0.625892857143,0.654296875,0.601973684211,1,12,7,5,0,0.583333333333,0.5,-0.0785714285714,0.253703703704,0.603247180451,0.92655,0.460714285714,0.626851851852,0.801623590226,0.92655,0.32796720328,1,True,False,True,16,3.125,3,2,4,1.08781125814,2,6,35,2.68571428571,2,2,3,0.90004668413,2,5,16,2.5625,2,2,3,0.727438428093,2,4,19,2.78947368421,2,2,3,1.03166248617,2,5,1,0.603991596639,0.619191919192,0.69012605042,1,0.207983193277,0.238383838384,0.38025210084,False,False,False,False,NO_PASS,CLIFF|DATE_CONSISTENCY|BH_FDR
recent_limit_up_count_20d,BOARD_HISTORY,1,51,0,7,0.5,0.198214285714,0.599107142857,1,0.599107142857,0.623046875,0.578947368421,0.5,12,5,5,2,0.416666666667,0,-0.171428571429,0.2,0.578947368421,0.84945,0.414285714286,0.6,0.789473684211,0.84945,0.407259274073,1,True,False,True,16,4.25,3.5,2.75,6,2.32379000772,2,10,35,3.37142857143,3,2,4,1.33031872089,2,6,16,3.125,3,2,4,1.0246950766,2,5,19,3.57894736842,3,2.5,5,1.53896752813,2,6,1,0.55987394958,0.595703125,0.675420168067,1,0.11974789916,0.19140625,0.350840336134,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|DATE_CONSISTENCY|BOOTSTRAP|BH_FDR
recent_pool_appearance_count_10d,BOARD_HISTORY,1,51,0,5,1,0.251785714286,0.625892857143,1,0.625892857143,0.654296875,0.601973684211,1,12,7,5,0,0.583333333333,0.5,-0.0785714285714,0.253703703704,0.603247180451,0.92655,0.460714285714,0.626851851852,0.801623590226,0.92655,0.32796720328,1,True,False,True,16,3.125,3,2,4,1.08781125814,2,6,35,2.68571428571,2,2,3,0.90004668413,2,5,16,2.5625,2,2,3,0.727438428093,2,4,19,2.78947368421,2,2,3,1.03166248617,2,5,1,0.603991596639,0.619191919192,0.69012605042,1,0.207983193277,0.238383838384,0.38025210084,False,False,False,False,NO_PASS,CLIFF|DATE_CONSISTENCY|BH_FDR
recent_pool_appearance_count_20d,BOARD_HISTORY,1,51,0,7,0.5,0.198214285714,0.599107142857,1,0.599107142857,0.623046875,0.578947368421,0.5,12,5,5,2,0.416666666667,0,-0.171428571429,0.2,0.578947368421,0.84945,0.414285714286,0.6,0.789473684211,0.84945,0.407259274073,1,True,False,True,16,4.25,3.5,2.75,6,2.32379000772,2,10,35,3.37142857143,3,2,4,1.33031872089,2,6,16,3.125,3,2,4,1.0246950766,2,5,19,3.57894736842,3,2.5,5,1.53896752813,2,6,1,0.55987394958,0.595703125,0.675420168067,1,0.11974789916,0.19140625,0.350840336134,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|DATE_CONSISTENCY|BOOTSTRAP|BH_FDR
board_day_volume_rank,D0_CROSS_SECTION,1,51,0,40,-10.5,-0.153571428571,0.423214285714,-1,0.576785714286,0.58203125,0.572368421053,11,12,5,7,0,0.416666666667,-3.75,-0.166666666667,0.152249134948,0.469642857143,0.81945,0.416666666667,0.576124567474,0.734821428571,0.81945,0.520147985201,1,True,False,True,16,35.5,36.5,11.25,47.5,24.5981029079,2,78,35,44.5714285714,47,18.5,65,30.7879710222,2,116,16,48.25,47.5,19.75,70,34.5591280754,2,116,19,41.4736842105,47,15.5,62,27.8036137161,6,91,1,0.541015625,0.576680672269,0.608080808081,1,0.08203125,0.153361344538,0.216161616162,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|WINNER_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|BH_FDR
break_open_return,D1_PRICE_ACTION,1,51,0,51,-0.0139103366434,-0.103571428571,0.448214285714,-1,0.551785714286,0.5234375,0.575657894737,0.0080733489193,12,5,7,0,0.416666666667,-0.00597715942091,-0.20416207927,0.0976430976431,0.410714285714,0.73525,0.397918960365,0.548821548822,0.705357142857,0.73525,0.691230876912,1,True,False,True,16,0.00811971244072,0.000900976678936,-0.0132984444678,0.033135671724,0.033962015662,-0.0504612045578,0.0853909465021,35,0.0162593404783,0.0148113133223,-0.0115136259298,0.037657213438,0.0393852927148,-0.0683229813665,0.100137174211,16,0.0116068835082,0.00897432559824,-0.0106842698496,0.0371994170711,0.040452849142,-0.0683229813665,0.085497150095,19,0.0201771989793,0.0148113133223,-0.0115675910446,0.0345402024385,0.039126845116,-0.0269749518304,0.100137174211,1,0.510504201681,0.553535353535,0.589898989899,1,0.0210084033613,0.107070707071,0.179797979798,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|WINNER_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|BH_FDR
break_high_return,D1_PRICE_ACTION,1,51,0,50,-0.0032964164833,-0.0857142857143,0.457142857143,-1,0.542857142857,0.5234375,0.559210526316,0.00193132975445,12,4,8,0,0.333333333333,-0.00623484068604,-0.262975778547,0.0785714285714,0.407142857143,0.66665,0.368512110727,0.539285714286,0.703571428571,0.66665,0.768423157684,1,True,False,True,16,0.0744745580686,0.0795654803553,0.0595478716189,0.0939382155955,0.0234949490055,0.0295713510581,0.10101010101,35,0.0724527236443,0.0828618968386,0.0563568726845,0.0999673284034,0.0334703553352,-0.0124223602484,0.100591715976,16,0.0678650859591,0.0814968101098,0.0432266771976,0.0999756127976,0.0396487528971,-0.0124223602484,0.100063331222,19,0.0763159974845,0.0834914611006,0.0594852339998,0.0999594635826,0.0277772185989,-0.000242865816636,0.100591715976,1,0.5078125,0.535353535354,0.605042016807,1,0.015625,0.0707070707071,0.210084033613,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|WINNER_SAFETY|DATE_CONSISTENCY|BOOTSTRAP|BH_FDR
break_close_return,D1_PRICE_ACTION,1,51,0,51,-0.00912078491503,-0.175,0.4125,-1,0.5875,0.546875,0.621710526316,0.00730137737308,12,8,4,0,0.666666666667,0.0150303445982,-0.126984126984,0.176470588235,0.454545454545,0.87185,0.436507936508,0.588235294118,0.727272727273,0.87185,0.483451654835,1,True,False,True,16,0.0217682442796,0.025666477595,9.20140965588e-06,0.0421276720695,0.037378042144,-0.0356960734319,0.0980742252264,35,0.0304723397361,0.03478726251,0.0142182900294,0.0596772170784,0.0456151564161,-0.0953248330298,0.0953242056316,16,0.0286307905186,0.0329678549681,-0.00352226700226,0.0581000024358,0.0468860757295,-0.0703933747412,0.0953242056316,19,0.0320231180246,0.03478726251,0.0265473032714,0.0596772170784,0.0457473309219,-0.0953248330298,0.0894818119423,1,0.564453125,0.583838383838,0.626262626263,1,0.12890625,0.167676767677,0.252525252525,False,False,False,False,NO_PASS,PRIMARY_AUC|CLIFF|WINNER_SAFETY|BOOTSTRAP|BH_FDR
