feature_name,analysis_type,value_type,dev_mean,locked_mean,dev_std,locked_std,standardized_mean_difference,ks_statistic,total_variation_distance,missing_rate_delta,distribution_shift
recent_limit_up_count_10d,ORDINAL,categorical,2.658959537572254,2.54375,0.9177785766703936,0.8603558938898156,,,0.05805635838150292,0.0,False
recent_limit_up_count_20d,ORDINAL,categorical,3.514450867052023,2.99375,1.626835051229573,1.4815293602500825,,,0.19020953757225434,0.0,False
recent_pool_appearance_count_10d,ORDINAL,categorical,2.5895953757225434,2.55625,0.9640674240518796,1.0078114715878912,,,0.08287572254335257,0.0,False
recent_pool_appearance_count_20d,ORDINAL,categorical,3.445086705202312,2.9875,1.6613393372822094,1.5661011959560094,,,0.1449421965317919,0.0,False
max_board_streak_20d,ORDINAL,categorical,2.277456647398844,2.21875,0.5096857269541573,0.631180136553642,,,0.08605491329479774,0.0,False
break_open_return,CONTINUOUS,numeric,0.008669113474910907,0.004101206072734891,0.035623104404284865,0.04422034023473047,0.11424259735202728,0.1245664739884393,,0.0,False
break_high_return,CONTINUOUS,numeric,0.053432896054029705,0.046069468589234254,0.037461110814985925,0.04430073155694555,0.18008048898504941,0.11596820809248555,,0.0,False
break_close_return,CONTINUOUS,numeric,-0.004181897055315666,-0.01930090533727477,0.049713763045135494,0.048730994546439935,0.30702155913637597,0.15848988439306358,,0.0,False
break_volume_ratio_vs_board_days,CONTINUOUS,numeric,2.3948457939996155,2.470885282251602,2.9235592081397064,1.7835190592930001,-0.031122326974380086,0.10848988439306359,,0.0,False
break_touched_limit_up,BINARY,categorical,0.16184971098265896,0.14375,0.3693820113448252,0.35193758380298307,,,0.01809971098265896,0.0,False
d1_close_to_ma5_raw,CONTINUOUS,numeric,0.09393790291153592,0.07757160134819993,0.04486803981519592,0.04115982400421836,0.3794946712288882,0.17178468208092484,,0.0,False
d1_low_to_ma5_raw,CONTINUOUS,numeric,0.05152459484662192,0.038723710365837175,0.0308864319052654,0.03218381004166616,0.4061669804093095,0.21676300578034682,,0.0,False
d1_high_to_ma5_raw,CONTINUOUS,numeric,0.15755101088466342,0.14968995970812732,0.03687231192747412,0.04166135018791662,0.20030304032142546,0.10628612716763006,,0.0,False
d1_close_to_ma10_raw,CONTINUOUS,numeric,0.16035439012875774,0.11623202024631181,0.07891965065854645,0.065103615887341,0.6076475075433831,0.2769508670520231,,0.0,True
d1_low_to_ma10_raw,CONTINUOUS,numeric,0.11504433813441262,0.0759024547155911,0.0634107216669761,0.05659826958949574,0.6498248480069341,0.30209537572254336,,0.0,True
d1_close_to_ma20,CONTINUOUS,numeric,0.20917373747767387,0.1273670228541135,0.12247090353664686,0.12074995649433798,0.6724912024386794,0.3322615606936416,,0.0,True
d1_ma5_slope,CONTINUOUS,numeric,0.04103806486352351,0.03303754208714495,0.02096298812474093,0.01681639683685414,0.41922885189882747,0.19945809248554913,,0.0,False
d1_ma10_slope,CONTINUOUS,numeric,0.023557480453914485,0.014353502794211465,0.014814637757760448,0.015041097595360405,0.6167294622812458,0.26878612716763006,,0.0,True
d1_open_to_close_return_raw,CONTINUOUS,numeric,-0.011946585772394417,-0.022203073328547936,0.05287065646799838,0.05184100193021816,0.19581455783015522,0.13338150289017342,,0.0,False
d1_low_to_close_recovery,CONTINUOUS,numeric,0.040416454180285485,0.03767565805224675,0.0329875497380714,0.03389694235240491,0.08199231519664117,0.1101878612716763,,0.0,False
d1_high_to_close_drawdown_raw,CONTINUOUS,numeric,0.05463677353447271,0.062138191448184485,0.03428771774106769,0.03475320169692022,-0.21735615618066922,0.13135838150289017,,0.0,False
d1_close_to_vwap_raw,CONTINUOUS,numeric,-0.0065535870162833085,-0.012096548768712348,0.024837879132695154,0.02647813834503459,0.2161934446312295,0.12503612716763005,,0.0,False
d1_intraday_range,CONTINUOUS,numeric,0.09638173831121954,0.10097746628722866,0.03288666064415454,0.03371523808480383,-0.13806270093997822,0.11896676300578035,,0.0,False
d1_afternoon_return,CONTINUOUS,numeric,-0.0005517782158713367,-0.00869085324444847,0.02566095678689778,0.02541349728761011,0.31864975784813565,0.1936416184971098,,0.0,False
d1_last_hour_return,CONTINUOUS,numeric,-0.0007911393827123075,-0.0025439928439777316,0.016539484609742,0.018723871609120823,0.09946617841411025,0.14096820809248556,,0.0,False
d1_up_bar_volume_ratio,CONTINUOUS,numeric,0.44485538075402314,0.42624870238881074,0.14031959295195418,0.15108430971655756,0.12780195874072675,0.1011199421965318,,0.0,False
volume_above_d1_close_ratio,CONTINUOUS,numeric,0.5831136750978206,0.6530841150935466,0.3049213104902594,0.32480487325677065,-0.22238995525849706,0.1654985549132948,,0.0,False
high_zone_volume_ratio,CONTINUOUS,numeric,0.18936726453180133,0.1957189214491874,0.19786390120066188,0.1845941128751225,-0.033149861739682554,0.06900289017341041,,0.0,False
late_day_sell_volume_ratio,CONTINUOUS,numeric,0.07316871782768823,0.07766792925500371,0.03663425648572321,0.042491680775335564,-0.1137418407056554,0.07738439306358381,,0.0,False
down_bar_volume_ratio,CONTINUOUS,numeric,0.5031554323899693,0.49889567085716574,0.13313586362874202,0.1472307334367111,0.030408704653120216,0.0881864161849711,,0.0,False
