feature_name,source_or_derived,source_column,allowlist_tier,mechanism_group,preprocess_policy,mutual_exclusion_group_id,total_value_type,total_n,total_non_null,total_missing,total_missing_rate,total_unique_count,total_dominant_value,total_dominant_count,total_dominant_rate,total_min,total_p01,total_p05,total_p25,total_p50,total_p75,total_p95,total_p99,total_max,dev_non_null,dev_missing_rate,locked_non_null,locked_missing_rate,missing_rate_delta
recent_limit_up_count_10d,source,recent_limit_up_count_10d,PRIMARY,BOARD_HISTORY,RAW_ORDINAL,nan,numeric,333,333,0,0.0,6,2,195,0.585586,2.0,2.0,2.0,2.0,2.0,3.0,4.0,6.0,8.0,173,0.0,160,0.0,0.0
recent_limit_up_count_20d,source,recent_limit_up_count_20d,PRIMARY,BOARD_HISTORY,RAW_ORDINAL,nan,numeric,333,333,0,0.0,10,2,142,0.426426,2.0,2.0,2.0,2.0,3.0,4.0,6.0,8.0,11.0,173,0.0,160,0.0,0.0
recent_pool_appearance_count_10d,source,recent_pool_appearance_count_10d,PRIMARY,BOARD_HISTORY,RAW_ORDINAL,nan,numeric,333,333,0,0.0,7,2,173,0.51952,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,8.0,173,0.0,160,0.0,0.0
recent_pool_appearance_count_20d,source,recent_pool_appearance_count_20d,PRIMARY,BOARD_HISTORY,RAW_ORDINAL,nan,numeric,333,333,0,0.0,10,2,126,0.378378,1.0,1.0,2.0,2.0,3.0,4.0,6.0,8.0,10.0,173,0.0,160,0.0,0.0
max_board_streak_20d,source,max_board_streak_20d,PRIMARY,BOARD_HISTORY,RAW_ORDINAL,nan,numeric,333,333,0,0.0,4,2,263,0.78979,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,8.0,173,0.0,160,0.0,0.0
break_open_return,source,break_open_return,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,318,0.0,16,0.048048,-0.100494233937397,-0.0969154228855722,-0.05129583101492648,-0.0187713310580205,0.0,0.0293040293040294,0.08602051227922038,0.10009240607269086,0.1004514672686232,173,0.0,160,0.0,0.0
break_high_return,source,break_high_return,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,323,0.0,6,0.018018,-0.0999719180005617,-0.04881777255729439,-0.01852419894545312,0.0200138026224983,0.0538029804528741,0.0852529090477323,0.10005778246187542,0.1004737673467827,0.101010101010101,173,0.0,160,0.0,0.0
break_close_return,source,break_close_return,PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,331,0.0,3,0.009009,-0.1054938174988261,-0.10066157133464827,-0.09987405981867276,-0.0464344941956882,-0.011320754716981,0.0288461538461537,0.07142164196518033,0.09204678206242059,0.0980742252263742,173,0.0,160,0.0,0.0
break_volume_ratio_vs_board_days,source,break_volume_ratio_vs_board_days,PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,ME01_BREAK_ACTIVITY_RATIO,numeric,333,333,0,0.0,333,1.9557475120024888,1,0.003003,0.0851824177252201,0.7864266530210624,0.9462948296730114,1.390658876489458,1.895476086661282,2.7398780704151573,5.319069903067401,12.24019311270053,32.94142699037559,173,0.0,160,0.0,0.0
break_touched_limit_up,source,break_touched_limit_up,PRIMARY,D1_PRICE_ACTION,RAW_BINARY,nan,numeric,333,333,0,0.0,2,False,282,0.846847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,173,0.0,160,0.0,0.0
