feature_name,allowlist_tier,mechanism_group,selected_any_model,selected_models,boundary_status,boundary_note
recent_limit_up_count_10d,PRIMARY,BOARD_HISTORY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
recent_limit_up_count_20d,PRIMARY,BOARD_HISTORY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
recent_pool_appearance_count_10d,PRIMARY,BOARD_HISTORY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
recent_pool_appearance_count_20d,PRIMARY,BOARD_HISTORY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
max_board_streak_20d,PRIMARY,BOARD_HISTORY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_open_return,PRIMARY,D1_PRICE_ACTION,True,M1|M2,SELECTED_FIXED,候选成员在六月开发审查后人工固定
break_high_return,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_close_return,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_volume_ratio_vs_board_days,PRIMARY,D1_VOLUME_ACTIVITY,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
break_touched_limit_up,PRIMARY,D1_PRICE_ACTION,False,,NOT_SELECTED_NOT_REJECTED,"不属于本次预声明候选设计; 不代表永久淘汰, 不得按 AUC/flags 自动填写淘汰理由"
