feature_name,allowlist_tier,source_or_derived,source_column,mechanism_group,preprocess_policy,mutual_exclusion_group_id,analysis_type,effect_metric_name,effect_value,effect_direction,signed_auc_raw,lodo_sign_consistency,lodo_max_absolute_delta,board_direction_agreement_status,board_2_effect,board_3_effect,bootstrap_valid,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_ci_crosses_zero,bootstrap_low_valid_replicates,distribution_shift,flags
break_open_return,PRIMARY,source,break_open_return,D1_PRICE_ACTION,FOLD_CLIP_Z,,CONTINUOUS,auc_minus_half,0.06437704430567948,+,0.5643770443056795,1.0,0.021335857501072808,BOTH_VERIFIED,0.0803571428571429,0.0,1000,-0.041093496345534525,0.15664588694371576,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
down_bar_volume_ratio,PRIMARY,source,down_bar_volume_ratio,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,,CONTINUOUS,auc_minus_half,0.04252155813261971,+,0.5425215581326197,1.0,0.01914920353814198,BOTH_VERIFIED,0.03273809523809523,0.09999999999999998,1000,-0.04931354945559493,0.14156866530395945,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
high_zone_volume_ratio,PRIMARY,source,high_zone_volume_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,CONTINUOUS,auc_minus_half,-0.04690752304490037,-,0.45309247695509963,1.0,0.026499359779594223,BOTH_VERIFIED,-0.030399659863945605,-0.1388888888888889,1000,-0.16357310460548477,0.06464468647979282,True,False,False,QUANTILE_COLLAPSE|BOOTSTRAP_CI_CROSSES_ZERO
late_day_sell_volume_ratio,PRIMARY,source,late_day_sell_volume_ratio,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,CONTINUOUS,auc_minus_half,-0.061106155218554836,-,0.43889384478144516,1.0,0.025287299079573777,BOTH_VERIFIED,-0.07514880952380953,-0.011111111111111127,1000,-0.13488999647285835,0.009960415415114766,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
d1_close_to_vwap_raw,PRIMARY,source,d1_close_to_vwap_raw,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,CONTINUOUS,auc_minus_half,-0.021260779066309854,-,0.47873922093369015,1.0,0.015512357706826907,BOTH_VERIFIED,-0.021896258503401378,-0.0222222222222222,1000,-0.08632374369820142,0.0509792736825901,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
high_zone_amount_ratio,SENSITIVITY,source,high_zone_amount_ratio,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,ME03_HIGH_ZONE,CONTINUOUS,auc_minus_half,-0.047056199821587874,-,0.4529438001784121,1.0,0.026818104583492652,BOTH_VERIFIED,-0.02997448979591838,-0.13333333333333336,1000,-0.16486871577020862,0.06510403036079195,True,False,False,QUANTILE_COLLAPSE|BOOTSTRAP_CI_CROSSES_ZERO|SENSITIVITY_ONLY|MUTUAL_EXCLUSION_ALTERNATIVE
late_day_sell_amount_ratio,SENSITIVITY,source,late_day_sell_amount_ratio,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,ME04_LATE_SELL,CONTINUOUS,auc_minus_half,-0.0633363068688671,-,0.4366636931311329,1.0,0.02497987509061217,BOTH_VERIFIED,-0.0772746598639456,-0.011111111111111127,1000,-0.1367932496175421,0.007931497143616998,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO|SENSITIVITY_ONLY|MUTUAL_EXCLUSION_ALTERNATIVE
d1_vwap_to_close_gap,SENSITIVITY,source,d1_vwap_to_close_gap,D1_VWAP_POSITION,FOLD_CLIP_Z,ME05_VWAP_GAP,CONTINUOUS,auc_minus_half,0.021260779066309854,+,0.5212607790663099,1.0,0.015512357706826907,BOTH_VERIFIED,0.021896258503401378,0.022222222222222254,1000,-0.05097927368259011,0.08632374369820144,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO|SENSITIVITY_ONLY|MUTUAL_EXCLUSION_ALTERNATIVE
overrepair,PRIMARY,derived,d1_open_to_close_return_raw,PREDECLARED_DERIVED,FOLD_CLIP_Z,,CONTINUOUS,auc_minus_half,-0.04326494201605707,-,0.4567350579839429,1.0,0.02798812923701416,BOTH_VERIFIED,-0.024128401360544227,-0.13611111111111113,1000,-0.11602196313184039,0.04383570111261979,True,False,False,QUANTILE_COLLAPSE|BOOTSTRAP_CI_CROSSES_ZERO
ma5_overheat_10,PRIMARY,derived,d1_close_to_ma5_raw,PREDECLARED_DERIVED,RAW_BINARY,,BINARY,risk_difference_1_minus_0,-0.08407557354925776,-,,1.0,0.035541651331125024,BOTH_VERIFIED,-0.08317139525845313,-0.10416666666666669,1000,-0.22372936016511866,0.04449939315635316,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
break_volume_abnormality,PRIMARY,derived,break_volume_ratio_vs_board_days,PREDECLARED_DERIVED,FOLD_CLIP_Z,,CONTINUOUS,auc_minus_half,-0.024829021706809395,-,0.4751709782931906,1.0,0.02270172199805104,BOTH_VERIFIED,-0.005739795918367374,-0.15555555555555556,1000,-0.11683349568172616,0.053321456086286585,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
profit_chip_ratio,PRIMARY,derived,volume_above_d1_close_ratio,PREDECLARED_DERIVED,FOLD_CLIP_Z,,CONTINUOUS,auc_minus_half,0.010853404698186186,+,0.5108534046981862,0.9523809523809523,0.015027256696493851,BOTH_VERIFIED,0.00871598639455784,0.0,1000,-0.05151993449898318,0.08226865762546695,True,False,False,BOOTSTRAP_CI_CROSSES_ZERO
