test_date,history_dates,historical_meta_rows,historical_top10_dates,historical_top10_rows,historical_pair_dates,historical_zero_pair_dates,pair_count,binary_pair_count,capped_pair_count,raw_pair_count,pair_keys_identical,pair_x_identical,pair_weights_identical,self_label_leakage_rows,current_test_leakage_rows,binary_target_mean,capped_target_mean,raw_target_mean,pair_weight_date_sum_min,pair_weight_date_sum_max,predictors,l2
2026-06-01,18,130,18,130,16,2,497,497,497,497,True,True,True,0,0,-0.0160965794769,0.00177331788102,-0.000799163744993,1,1,3,0.3
2026-06-02,19,134,19,134,17,2,503,503,503,503,True,True,True,0,0,-0.013916500994,0.00151056798174,-0.000873531622949,1,1,3,0.3
2026-06-03,20,136,20,136,18,2,504,504,504,504,True,True,True,0,0,-0.0119047619048,0.00159477803511,-0.000727051530679,1,1,3,0.3
2026-06-04,21,143,21,143,19,2,525,525,525,525,True,True,True,0,0,-0.0228571428571,-0.00112861637606,-0.00432688836844,1,1,3,0.3
2026-06-05,22,149,22,149,20,2,540,540,540,540,True,True,True,0,0,-0.0222222222222,-0.00180202284394,-0.00491145394764,1,1,3,0.3
2026-06-08,23,155,23,155,21,2,555,555,555,555,True,True,True,0,0,-0.0108108108108,-0.00022465795136,-0.00307902444897,1,1,3,0.3
2026-06-09,24,158,24,158,22,2,558,558,558,558,True,True,True,0,0,-0.010752688172,-0.000200715232696,-0.00303973567387,1,1,3,0.3
2026-06-10,25,167,25,167,23,2,594,594,594,594,True,True,True,0,0,-0.020202020202,-0.00195020469874,-0.00485582052027,1,1,3,0.3
2026-06-11,26,174,26,174,24,2,615,615,615,615,True,True,True,0,0,-0.0162601626016,-0.00178715309814,-0.00360812084991,1,1,3,0.3
2026-06-12,27,184,27,184,25,2,660,660,660,660,True,True,True,0,0,-0.0212121212121,-0.00253856079404,-0.00432710463909,1,1,3,0.3
2026-06-15,28,192,28,192,26,2,688,688,688,688,True,True,True,0,0,-0.0290697674419,-0.00295805918882,-0.00486902058831,1,1,3,0.3
2026-06-16,29,195,29,195,27,2,691,691,691,691,True,True,True,0,0,-0.0217076700434,-0.0027333526314,-0.00451247984071,1,1,3,0.3
2026-06-17,30,202,30,202,28,2,712,712,712,712,True,True,True,0,0,-0.0308988764045,-0.00351818411442,-0.00556006061825,1,1,3,0.3
2026-06-18,31,212,31,212,29,2,757,757,757,757,True,True,True,0,0,-0.0250990752972,-0.00303582423962,-0.00430178729427,1,1,3,0.3
2026-06-22,32,222,32,222,30,2,802,802,802,802,True,True,True,0,0,-0.0274314214464,-0.00418892841298,-0.0055631125219,1,1,3,0.3
2026-06-23,33,229,33,229,31,2,823,823,823,823,True,True,True,0,0,-0.0267314702309,-0.00372532421784,-0.00555499054651,1,1,3,0.3
2026-06-24,34,239,34,239,32,2,868,868,868,868,True,True,True,0,0,-0.0103686635945,-0.00292959797238,-0.00352054931833,1,1,3,0.3
2026-06-25,35,249,35,249,33,2,913,913,913,913,True,True,True,0,0,0.00328587075575,-0.00213701421112,-0.00250908689736,1,1,3,0.3
2026-06-26,36,258,36,258,34,2,949,949,949,949,True,True,True,0,0,-0.0158061116965,-0.00391171045811,-0.00525177284106,1,1,3,0.3
2026-06-29,37,268,37,268,35,2,994,994,994,994,True,True,True,0,0,-0.0010060362173,-0.00323249580477,-0.00442823857733,1,1,3,0.3
2026-06-30,38,273,38,273,36,2,1004,1004,1004,1004,True,True,True,0,0,0.00796812749004,-0.00261571899536,-0.0031347579543,1,1,3,0.3
