event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
002806_2026-06-01,2026-06-01,002806,4,1,1,True,0.8125,0.8125,0.232687450027,1,0.00936735359113,1,0.00863312967766,1,1,0.149321266968,0.07
600110_2026-06-01,2026-06-01,600110,4,2,0.666666666667,True,0.5625,0.375,0.112208780628,2,0.0068493450119,2,-0.000628858143127,2,0,0.0451559934319,0.0451559934319
000090_2026-06-01,2026-06-01,000090,4,3,0.333333333333,True,0.0625,0.0208333333333,0.0277176327865,3,0.00282970437511,3,-0.00105034492865,3,0,-0.0263852242744,-0.0263852242744
603324_2026-06-01,2026-06-01,603324,4,4,0,True,0.3125,0,-0.0189514285169,4,0.00156444880259,4,-0.00736742878845,4,0,0.0224038752649,0.0224038752649
002608_2026-06-02,2026-06-02,002608,2,1,1,True,0.25,0.25,0.189218358283,1,0.0159859624823,1,0.016173380548,1,1,0.099,0.07
600011_2026-06-02,2026-06-02,600011,2,2,0,True,0.5,0,-0.0089915887262,2,0.00652568755074,2,-0.00567744684647,2,0,0.0260475651189,0.0260475651189
600280_2026-06-03,2026-06-03,600280,7,1,1,True,0.142857142857,0.142857142857,0.304366570132,2,0.0157964815219,2,0.0160861808236,2,0,-0.0125313283208,-0.0125313283208
002579_2026-06-03,2026-06-03,002579,7,2,0.833333333333,True,0.642857142857,0.535714285714,0.392257054201,1,0.0208799091473,1,0.0286267885925,1,0,0.0540254237288,0.0540254237288
001210_2026-06-03,2026-06-03,001210,7,3,0.666666666667,True,0.357142857143,0.238095238095,0.249196166543,3,0.013976582306,4,0.0146885402449,3,0,-0.244557534634,-0.244557534634
002404_2026-06-03,2026-06-03,002404,7,4,0.5,True,0.107142857143,0.0535714285714,0.145365502118,5,0.00813287149304,6,0.00650434145501,4,0,0.0299319727891,0.0299319727891
