test_date,training_pair_total,binary_cross_threshold_pairs,binary_same_class_pairs,within_non_target_pairs,within_target7_pairs,binary_tied_separated_by_capped,binary_tied_separated_by_raw,within_non_target_separated_by_capped,within_non_target_separated_by_raw,within_target7_separated_by_capped,within_target7_separated_by_raw
2026-06-01,497,248,249,165,84,165,249,165,165,0,84
2026-06-02,503,251,252,168,84,168,252,168,168,0,84
2026-06-03,504,252,252,168,84,168,252,168,168,0,84
2026-06-04,525,258,267,183,84,183,267,183,183,0,84
2026-06-05,540,258,282,198,84,198,282,198,198,0,84
2026-06-08,555,266,289,204,85,204,289,204,204,0,85
2026-06-09,558,266,292,207,85,207,292,207,207,0,85
2026-06-10,594,274,320,235,85,235,320,235,235,0,85
2026-06-11,615,286,329,238,91,238,329,238,238,0,91
2026-06-12,660,302,358,266,92,266,358,266,266,0,92
2026-06-15,688,318,370,272,98,272,370,272,272,0,98
2026-06-16,691,323,368,267,101,267,368,267,267,0,101
2026-06-17,712,332,380,279,101,279,380,279,279,0,101
2026-06-18,757,353,404,282,122,282,404,282,282,0,122
2026-06-22,802,362,440,318,122,318,440,318,318,0,122
2026-06-23,823,374,449,321,128,321,449,321,321,0,128
2026-06-24,868,399,469,331,138,331,469,331,331,0,138
2026-06-25,913,415,498,359,139,359,498,359,359,0,139
2026-06-26,949,435,514,369,145,369,514,369,369,0,145
2026-06-29,994,451,543,397,146,397,543,397,397,0,146
2026-06-30,1004,450,554,406,148,406,554,406,406,0,148
