scope,model,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,winner_capture,universe_target7_rate,Top3_days_le_minus_3,Top3_days_le_minus_5,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target_concordance
COMBINED,CONTROL_V4A,0.0283930560164,0.0454831800428,-0.00709219858156,-0.0793172690763,0.0275962393758,0.000796816640657,0.714285714286,0.285714285714,0.571428571429,0.285714285714,21,0.0320306491097,0.0451559934319,0.0160583941606,-0.036815920398,0.0275962393758,0.00443440973398,0.761904761905,0.238095238095,0.52380952381,0.285714285714,21,-0.00302540178649,-0.00224115242175,-0.0326514808689,-0.244557534634,0.0265748622166,-0.0296002640031,0.5,0.5,0.45,0.3,20,0.0283930560164,0.0454831800428,-0.00709219858156,-0.0793172690763,0.0275962393758,0.000796816640657,0.714285714286,0.285714285714,0.571428571429,0.285714285714,21,0.0302118525631,0.0324107142857,0.0140178571429,-0.0298547129695,0.0275962393758,0.00261561318732,0.857142857143,0.142857142857,0.380952380952,0.285714285714,21,0.01853903678,0.025742001346,-0.00257720256964,-0.0676878130753,0.0265748622166,-0.00803582543656,0.7,0.3,0.4,0.283333333333,20,0.444444444444,0.329456226935,1,1,0.500302343159,0.491472431078,0.51623015873,0.669444444444
COMBINED,PAIR_BINARY7,0.0113854939426,0.0322945682451,-0.0109409190372,-0.142105263158,0.0275962393758,-0.0162107454331,0.666666666667,0.333333333333,0.47619047619,0.238095238095,21,0.0278719749131,0.0451559934319,-0.0125313283208,-0.0793172690763,0.0275962393758,0.000275735537376,0.714285714286,0.285714285714,0.619047619048,0.333333333333,21,0.0224598501102,0.0527381074959,0.00340203754878,-0.244557534634,0.0265748622166,-0.00411501210633,0.75,0.25,0.6,0.4,20,0.0113854939426,0.0322945682451,-0.0109409190372,-0.142105263158,0.0275962393758,-0.0162107454331,0.666666666667,0.333333333333,0.47619047619,0.238095238095,21,0.0196287344279,0.020747047704,-0.0141124348272,-0.0457534569453,0.0275962393758,-0.00796750494787,0.619047619048,0.380952380952,0.428571428571,0.285714285714,21,0.0196259380509,0.017608292248,0.00352782750994,-0.0676878130753,0.0265748622166,-0.00694892416562,0.8,0.2,0.35,0.316666666667,20,0.481481481481,0.329456226935,1,1,0.522411186697,0.549880952381,0.57873015873,0.66626984127
COMBINED,PAIR_CAPPED7,0.0351703918572,0.0439285714286,0.0194285714286,-0.0793172690763,0.0275962393758,0.00757415248143,0.809523809524,0.190476190476,0.714285714286,0.333333333333,21,0.0271656959083,0.0260475651189,0.0068359375,-0.0419642857143,0.0275962393758,-0.000430543467493,0.809523809524,0.190476190476,0.47619047619,0.190476190476,21,0.03067716322,0.0587203495631,-0.0185887031919,-0.0525252525253,0.0265748622166,0.00410230100347,0.65,0.3,0.7,0.5,20,0.0351703918572,0.0439285714286,0.0194285714286,-0.0793172690763,0.0275962393758,0.00757415248143,0.809523809524,0.190476190476,0.714285714286,0.333333333333,21,0.0311680438827,0.0324107142857,0.016592039801,-0.0298547129695,0.0275962393758,0.00357180450697,0.857142857143,0.142857142857,0.666666666667,0.261904761905,21,0.0304425590393,0.034723267061,0.0108822218662,-0.0247974836203,0.0265748622166,0.0038676968227,0.85,0.15,0.55,0.333333333333,20,0.472222222222,0.329456226935,0,0,0.521730914588,0.505766499582,0.550873015873,0.512698412698
COMBINED,PAIR_RAW,0.0229059989204,0.0395387149918,0.0160583941606,-0.142105263158,0.0275962393758,-0.00469024045531,0.761904761905,0.238095238095,0.619047619048,0.285714285714,21,0.0144998945607,0.0260475651189,-0.0215053763441,-0.0793172690763,0.0275962393758,-0.0130963448151,0.619047619048,0.380952380952,0.47619047619,0.333333333333,21,0.0219951671974,0.0643181718981,-0.0154510677399,-0.244557534634,0.0265748622166,-0.00457969501919,0.7,0.3,0.6,0.35,20,0.0229059989204,0.0395387149918,0.0160583941606,-0.142105263158,0.0275962393758,-0.00469024045531,0.761904761905,0.238095238095,0.619047619048,0.285714285714,21,0.0187029467405,0.020747047704,-0.0116259913413,-0.0962515705711,0.0275962393758,-0.00889329263521,0.619047619048,0.380952380952,0.428571428571,0.309523809524,21,0.0188229923655,0.017608292248,0.00521647654384,-0.0685345259411,0.0265748622166,-0.00775186985104,0.85,0.15,0.35,0.316666666667,20,0.444444444444,0.329456226935,2,2,0.52037037037,0.525319548872,0.573015873016,0.694047619048
COMBINED,TOP10_ORACLE,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0577702855928,0.07,0.0474406991261,-0.0109409190372,0.0275962393758,0.0301740462171,0.952380952381,0.047619047619,0.857142857143,0.571428571429,21,0.0528186836057,0.0669300766283,0.044879346684,-0.0172839506173,0.0265748622166,0.0262438213891,0.95,0.05,0.85,0.4,20,0.0697205182964,0.07,0.07,0.0659375,0.0275962393758,0.0421242789206,1,0,1,0.904761904762,21,0.0637454019446,0.07,0.0587203495631,0.0286262325934,0.0275962393758,0.0361491625689,1,0,0.952380952381,0.738095238095,21,0.0606272164778,0.0689766922095,0.058717021134,0.0133228381898,0.0265748622166,0.0340523542612,1,0,0.9,0.633333333333,20,0.935185185185,0.329456226935,0,0,,,,
COMBINED,UNIVERSE,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0265748622166,,,,0.0265748622166,0,,,,0.329456226935,20,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0275962393758,,,,0.0275962393758,0,,,,0.329456226935,21,0.0265748622166,,,,0.0265748622166,0,,,,0.329456226935,20,,0.329456226935,,,,,,
LOW,CONTROL_V4A,-0.00368499385565,-0.0109409190372,-0.0272478070176,-0.0627906976744,0.007922338637,-0.0116073324926,0.285714285714,0.714285714286,0.285714285714,0,7,0.0385295070737,0.0540254237288,0.0150783742544,-0.0204131227217,0.007922338637,0.0306071684367,0.714285714286,0.285714285714,0.714285714286,0.285714285714,7,-0.0624760313766,-0.0444572748268,-0.0973152578417,-0.244557534634,0.007922338637,-0.0703983700136,0.285714285714,0.714285714286,0.285714285714,0,7,-0.00368499385565,-0.0109409190372,-0.0272478070176,-0.0627906976744,0.007922338637,-0.0116073324926,0.285714285714,0.714285714286,0.285714285714,0,7,0.017422256609,0.0140178571429,0.0024300146932,-0.0141124348272,0.007922338637,0.00949991797203,0.714285714286,0.285714285714,0.428571428571,0.142857142857,7,-0.00921050605286,-0.00646240583523,-0.011425958834,-0.0676878130753,0.007922338637,-0.0171328446899,0.285714285714,0.714285714286,0.142857142857,0.0952380952381,7,0.266666666667,0.111451247166,1,1,0.500302343159,0.491472431078,0.51623015873,0.669444444444
LOW,PAIR_BINARY7,-0.0270191912861,-0.0109409190372,-0.0576579750999,-0.142105263158,0.007922338637,-0.0349415299231,0.285714285714,0.714285714286,0.285714285714,0,7,-0.00171635040094,-0.0125313283208,-0.0230000834168,-0.0444572748268,0.007922338637,-0.00963868903794,0.428571428571,0.571428571429,0.428571428571,0,7,-0.00111438210583,0.0395387149918,-0.00345636966125,-0.244557534634,0.007922338637,-0.00903672074283,0.714285714286,0.285714285714,0.714285714286,0.142857142857,7,-0.0270191912861,-0.0109409190372,-0.0576579750999,-0.142105263158,0.007922338637,-0.0349415299231,0.285714285714,0.714285714286,0.285714285714,0,7,-0.0143677708435,-0.0141124348272,-0.0276230340022,-0.0457534569453,0.007922338637,-0.0222901094805,0.142857142857,0.857142857143,0.285714285714,0,7,-0.00994997459762,-0.00268799028737,-0.0210601082933,-0.0676878130753,0.007922338637,-0.0178723132346,0.428571428571,0.571428571429,0.142857142857,0.047619047619,7,0.2,0.111451247166,1,1,0.522411186697,0.549880952381,0.57873015873,0.66626984127
LOW,PAIR_CAPPED7,0.0208900190664,0.0200970873786,0.00384306327082,-0.0109409190372,0.007922338637,0.0129676804294,0.714285714286,0.285714285714,0.714285714286,0,7,0.00867431892873,0.0068359375,-0.0131149792289,-0.0419642857143,0.007922338637,0.00075198029173,0.571428571429,0.428571428571,0.428571428571,0,7,-0.0118918986991,-0.0172839506173,-0.0479631666343,-0.0525252525253,0.007922338637,-0.0198142373361,0.285714285714,0.571428571429,0.428571428571,0,7,0.0208900190664,0.0200970873786,0.00384306327082,-0.0109409190372,0.007922338637,0.0129676804294,0.714285714286,0.285714285714,0.714285714286,0,7,0.0147821689976,0.020747047704,0.00020585847616,-0.0109335991678,0.007922338637,0.00685983036055,0.714285714286,0.285714285714,0.857142857143,0,7,0.00589081309868,0.0133228381898,-0.0158504832273,-0.0247974836203,0.007922338637,-0.00203152553832,0.571428571429,0.428571428571,0.428571428571,0,7,0,0.111451247166,0,0,0.521730914588,0.505766499582,0.550873015873,0.512698412698
LOW,PAIR_RAW,-0.00202608377607,0.0200970873786,-0.00901655880938,-0.142105263158,0.007922338637,-0.00994842241306,0.571428571429,0.428571428571,0.571428571429,0,7,-0.0333072063498,-0.0444572748268,-0.0514615652547,-0.0627906976744,0.007922338637,-0.0412295449868,0.142857142857,0.857142857143,0.142857142857,0,7,-0.00719734458401,0.0350515463918,-0.0209083264487,-0.244557534634,0.007922338637,-0.015119683221,0.571428571429,0.428571428571,0.571428571429,0,7,-0.00202608377607,0.0200970873786,-0.00901655880938,-0.142105263158,0.007922338637,-0.00994842241306,0.571428571429,0.428571428571,0.571428571429,0,7,-0.0176666450629,-0.0116259913413,-0.0151632587003,-0.0962515705711,0.007922338637,-0.0255889836999,0.142857142857,0.857142857143,0.285714285714,0,7,-0.0141768782366,0.00762961327003,-0.0425052730208,-0.0685345259411,0.007922338637,-0.0220992168736,0.571428571429,0.428571428571,0.142857142857,0,7,0,0.111451247166,2,2,0.52037037037,0.525319548872,0.573015873016,0.694047619048
