signal_date,month,candidate_count,target7_count,date_group,K,available_target7_slots,top3_target7_hits,available_winner_capture_rate,full_available_winner_capture,required_non_target_slots,model_top3_capped_return,oracle_top3_capped_return,selected_non_target_count,selected_non_target_mean_capped_return,oracle_non_target_fill_mean_return,best_non_target_fill_capture_rate,missed_target7_winners,winner_fixed_top3_return,total_top3_regret,winner_capture_regret,repair_ordering_regret,model
2026-05-20,2026-05,10,5,A,3,3,2,0.666667,False,0,0.045297038178394144,0.07,1,-0.00410888546481758,,nan,1,0.07,0.024702961821605862,0.024702961821605862,0.0,Ridge
2026-05-21,2026-05,6,3,A,3,3,1,0.333333,False,0,0.023537581699346444,0.07,2,0.00030637254901966227,,nan,2,0.07,0.04646241830065356,0.04646241830065356,0.0,Ridge
2026-05-22,2026-05,1,1,B,1,1,1,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,Ridge
2026-05-25,2026-05,8,1,B,3,1,0,0.000000,False,2,0.0016249031382645773,0.06034266012433507,3,0.0016249031382645773,0.055513990186502604,0.500000,1,0.04476581994641395,0.05871775698607049,0.043140916808149375,0.015576840177921117,Ridge
2026-05-26,2026-05,18,5,A,3,3,1,0.333333,False,0,0.035019502229787725,0.07,2,0.017529253344681583,,nan,2,0.07,0.03498049777021228,0.03498049777021228,0.0,Ridge
2026-05-27,2026-05,10,6,A,3,3,2,0.666667,False,0,0.06899917287014064,0.07,1,0.06699751861042191,,nan,1,0.07,0.001000827129859369,0.001000827129859369,0.0,Ridge
2026-05-28,2026-05,4,3,A,3,3,2,0.666667,False,0,0.024107625425919377,0.07,1,-0.06767712372224188,,nan,1,0.07,0.04589237457408063,0.04589237457408063,0.0,Ridge
2026-05-29,2026-05,3,1,B,3,1,1,1.000000,True,2,0.013392068858581074,0.013392068858581074,2,-0.014911896712128392,-0.014911896712128392,1.000000,0,0.013392068858581074,0.0,0.0,0.0,Ridge
2026-06-01,2026-06,4,1,B,3,1,1,1.000000,True,2,0.029590256385816378,0.04585328956558874,2,0.009385384578724565,0.03377993434838311,0.500000,0,0.029590256385816378,0.016263033179772363,0.0,0.016263033179772363,Ridge
2026-06-02,2026-06,2,1,B,2,1,1,1.000000,True,1,0.04802378255945647,0.04802378255945647,1,0.02604756511891293,0.02604756511891293,1.000000,0,0.04802378255945647,0.0,0.0,0.0,Ridge
2026-06-03,2026-06,7,1,B,3,1,0,0.000000,False,2,-0.07571896338851898,0.06461353960022741,3,-0.07571896338851898,0.0619203094003411,0.000000,1,0.029133548156104527,0.1403325029887464,0.10485251154462351,0.03547999144412288,Ridge
2026-06-04,2026-06,6,0,C,3,0,0,nan,,3,0.02887921513808156,0.03352192716526833,3,0.02887921513808156,0.03352192716526833,0.666667,0,0.02887921513808156,0.004642712027186767,0.0,0.004642712027186767,Ridge
2026-06-05,2026-06,6,2,B,3,2,1,0.500000,False,1,0.009343212333533357,0.06901660280970623,2,-0.020985181499699967,0.06704980842911867,0.000000,1,0.047673716012084554,0.05967339047617287,0.038330503678551196,0.021342886797621675,Ridge
2026-06-08,2026-06,3,0,C,3,0,0,nan,,3,0.0133228381898118,0.0133228381898118,3,0.0133228381898118,0.0133228381898118,1.000000,0,0.0133228381898118,0.0,0.0,0.0,Ridge
2026-06-09,2026-06,9,1,B,3,1,1,1.000000,True,2,-0.002687990287322306,0.060455078652633276,2,-0.03903198543098346,0.05568261797894991,0.500000,0,-0.002687990287322306,0.06314306893995558,0.0,0.06314306893995558,Ridge
2026-06-10,2026-06,7,4,A,3,3,3,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,Ridge
2026-06-11,2026-06,10,2,B,3,2,1,0.500000,False,1,0.04811707035755484,0.06912397921306612,2,0.03717560553633226,0.06737193763919835,0.000000,1,0.06189158016147637,0.021006908855511285,0.01377450980392153,0.007232399051589754,Ridge
2026-06-12,2026-06,8,4,A,3,3,0,0.000000,False,0,0.015279883254608865,0.07,3,0.015279883254608865,,nan,3,0.07,0.054720116745391144,0.054720116745391144,0.0,Ridge
2026-06-15,2026-06,3,1,B,3,1,1,1.000000,True,2,0.044940476190476274,0.044940476190476274,2,0.032410714285714404,0.032410714285714404,1.000000,0,0.044940476190476274,0.0,0.0,0.0,Ridge
2026-06-16,2026-06,7,3,A,3,3,1,0.333333,False,0,0.033132509278480236,0.07,2,0.014698763917720348,,nan,2,0.07,0.03686749072151977,0.03686749072151977,0.0,Ridge
2026-06-17,2026-06,17,12,A,3,3,2,0.666667,False,0,0.039574468085106417,0.07,1,-0.02127659574468077,,nan,1,0.07,0.03042553191489359,0.03042553191489359,0.0,Ridge
2026-06-18,2026-06,15,2,B,3,2,0,0.000000,False,1,-0.006462405835234053,0.06919127581547968,3,-0.006462405835234053,0.06757382744643903,0.000000,2,0.06182772668094575,0.07565368165071373,0.0682901325161798,0.00736354913453393,Ridge
2026-06-22,2026-06,7,4,A,3,3,2,0.666667,False,0,0.05380633645693881,0.07,1,0.021419009370816422,,nan,1,0.07,0.016193663543061197,0.016193663543061197,0.0,Ridge
2026-06-23,2026-06,14,7,A,3,3,2,0.666667,False,0,0.056470588235294085,0.07,1,0.02941176470588225,,nan,1,0.07,0.013529411764705922,0.013529411764705922,0.0,Ridge
2026-06-24,2026-06,15,3,A,3,3,0,0.000000,False,0,0.03679056310803008,0.07,3,0.03679056310803008,,nan,3,0.07,0.03320943689196992,0.03320943689196992,0.0,Ridge
2026-06-25,2026-06,9,4,A,3,3,2,0.666667,False,0,0.04593406593406594,0.07,1,-0.00219780219780219,,nan,1,0.07,0.024065934065934068,0.024065934065934068,0.0,Ridge
2026-06-26,2026-06,12,3,A,3,3,1,0.333333,False,0,0.03161535303776677,0.07,2,0.012423029556650145,,nan,2,0.07,0.03838464696223324,0.03838464696223324,0.0,Ridge
2026-06-29,2026-06,5,3,A,3,3,2,0.666667,False,0,0.020227576974564898,0.07,1,-0.07931726907630532,,nan,1,0.07,0.04977242302543511,0.04977242302543511,0.0,Ridge
2026-06-30,2026-06,7,1,B,3,1,0,0.000000,False,2,-0.014688738254847475,0.05350284857792074,3,-0.014688738254847475,0.04525427286688111,0.500000,1,0.029574827636625427,0.06819158683276821,0.0442635658914729,0.02392802094129531,Ridge
2026-05-20,2026-05,10,5,A,3,3,0,0.000000,False,0,0.017012165123740968,0.07,3,0.017012165123740968,,nan,3,0.07,0.052987834876259035,0.052987834876259035,0.0,GBDT
2026-05-21,2026-05,6,3,A,3,3,1,0.333333,False,0,0.023537581699346444,0.07,2,0.00030637254901966227,,nan,2,0.07,0.04646241830065356,0.04646241830065356,0.0,GBDT
2026-05-22,2026-05,1,1,B,1,1,1,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,GBDT
2026-05-25,2026-05,8,1,B,3,1,0,0.000000,False,2,-0.017148568912020285,0.06034266012433507,3,-0.017148568912020285,0.055513990186502604,0.000000,1,0.025992347896129087,0.07749122903635536,0.04314091680814937,0.03435031222820598,GBDT
2026-05-26,2026-05,18,5,A,3,3,2,0.666667,False,0,0.04769547325102882,0.07,1,0.0030864197530864335,,nan,1,0.07,0.02230452674897119,0.02230452674897119,0.0,GBDT
2026-05-27,2026-05,10,6,A,3,3,3,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,GBDT
2026-05-28,2026-05,4,3,A,3,3,2,0.666667,False,0,0.024107625425919377,0.07,1,-0.06767712372224188,,nan,1,0.07,0.04589237457408063,0.04589237457408063,0.0,GBDT
2026-05-29,2026-05,3,1,B,3,1,1,1.000000,True,2,0.013392068858581074,0.013392068858581074,2,-0.014911896712128392,-0.014911896712128392,1.000000,0,0.013392068858581074,0.0,0.0,0.0,GBDT
2026-06-01,2026-06,4,1,B,3,1,0,0.000000,False,2,0.013724881474119951,0.04585328956558874,3,0.013724881474119951,0.03377993434838311,1.000000,1,0.04585328956558874,0.03212840809146879,0.03212840809146879,0.0,GBDT
2026-06-02,2026-06,2,1,B,2,1,1,1.000000,True,1,0.04802378255945647,0.04802378255945647,1,0.02604756511891293,0.02604756511891293,1.000000,0,0.04802378255945647,0.0,0.0,0.0,GBDT
2026-06-03,2026-06,7,1,B,3,1,0,0.000000,False,2,-0.07571896338851898,0.06461353960022741,3,-0.07571896338851898,0.0619203094003411,0.000000,1,0.029133548156104527,0.1403325029887464,0.10485251154462351,0.03547999144412288,GBDT
2026-06-04,2026-06,6,0,C,3,0,0,nan,,3,-0.014811318067537882,0.03352192716526833,3,-0.014811318067537882,0.03352192716526833,0.333333,0,-0.014811318067537882,0.04833324523280621,0.0,0.04833324523280621,GBDT
2026-06-05,2026-06,6,2,B,3,2,1,0.500000,False,1,0.009343212333533357,0.06901660280970623,2,-0.020985181499699967,0.06704980842911867,0.000000,1,0.047673716012084554,0.05967339047617287,0.038330503678551196,0.021342886797621675,GBDT
2026-06-08,2026-06,3,0,C,3,0,0,nan,,3,0.0133228381898118,0.0133228381898118,3,0.0133228381898118,0.0133228381898118,1.000000,0,0.0133228381898118,0.0,0.0,0.0,GBDT
2026-06-09,2026-06,9,1,B,3,1,1,1.000000,True,2,0.023892629480643357,0.060455078652633276,2,0.0008389442209650322,0.05568261797894991,0.000000,0,0.023892629480643357,0.03656244917198992,0.0,0.03656244917198992,GBDT
2026-06-10,2026-06,7,4,A,3,3,2,0.666667,False,0,0.0520194647201947,0.07,1,0.016058394160584077,,nan,1,0.07,0.01798053527980531,0.01798053527980531,0.0,GBDT
2026-06-11,2026-06,10,2,B,3,2,1,0.500000,False,1,0.04811707035755484,0.06912397921306612,2,0.03717560553633226,0.06737193763919835,0.000000,1,0.06189158016147637,0.021006908855511285,0.01377450980392153,0.007232399051589754,GBDT
2026-06-12,2026-06,8,4,A,3,3,2,0.666667,False,0,0.039498207885304636,0.07,1,-0.021505376344086113,,nan,1,0.07,0.03050179211469537,0.03050179211469537,0.0,GBDT
2026-06-15,2026-06,3,1,B,3,1,1,1.000000,True,2,0.044940476190476274,0.044940476190476274,2,0.032410714285714404,0.032410714285714404,1.000000,0,0.044940476190476274,0.0,0.0,0.0,GBDT
2026-06-16,2026-06,7,3,A,3,3,2,0.666667,False,0,0.040424469413233445,0.07,1,-0.01872659176029967,,nan,1,0.07,0.02957553058676656,0.02957553058676656,0.0,GBDT
2026-06-17,2026-06,17,12,A,3,3,1,0.333333,False,0,0.028862275161960178,0.07,2,0.008293412742940265,,nan,2,0.07,0.04113772483803983,0.04113772483803983,0.0,GBDT
2026-06-18,2026-06,15,2,B,3,2,1,0.500000,False,1,0.050640089134643664,0.06919127581547968,2,0.040960133701965495,0.06757382744643903,1.000000,1,0.06919127581547968,0.018551186680836017,0.018551186680836017,0.0,GBDT
2026-06-22,2026-06,7,4,A,3,3,3,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,GBDT
2026-06-23,2026-06,14,7,A,3,3,3,1.000000,True,0,0.07,0.07,0,,,nan,0,0.07,0.0,0.0,0.0,GBDT
2026-06-24,2026-06,15,3,A,3,3,2,0.666667,False,0,0.06389935377423343,0.07,1,0.05169806132270027,,nan,1,0.07,0.006100646225766573,0.006100646225766573,0.0,GBDT
2026-06-25,2026-06,9,4,A,3,3,2,0.666667,False,0,0.042893919218819354,0.07,1,-0.011318242343541951,,nan,1,0.07,0.027106080781180653,0.027106080781180653,0.0,GBDT
2026-06-26,2026-06,12,3,A,3,3,1,0.333333,False,0,0.03161535303776677,0.07,2,0.012423029556650145,,nan,2,0.07,0.03838464696223324,0.03838464696223324,0.0,GBDT
2026-06-29,2026-06,5,3,A,3,3,1,0.333333,False,0,0.003430191353649914,0.07,2,-0.029854712969525132,,nan,2,0.07,0.06656980864635009,0.06656980864635009,0.0,GBDT
2026-06-30,2026-06,7,1,B,3,1,1,1.000000,True,2,-0.0071689712968783055,0.05350284857792074,2,-0.04575345694531746,0.04525427286688111,0.000000,0,-0.0071689712968783055,0.06067181987479904,0.0,0.06067181987479904,GBDT
