model,signal_date,date_group,diagnostic_rank,event_id,code,score,target7,raw_opportunity_return,capped_opportunity_return_7,is_oracle_top3_member,is_oracle_non_target_fill_member,is_selected_non_target
Ridge,2026-05-20,A,1,603311_2026-05-20,603311,0.1823899288936443,1,0.1723525230987919,0.07,1,0,0
Ridge,2026-05-20,A,2,603115_2026-05-20,603115,0.1101516420288205,1,0.2054098870349259,0.07,1,0,0
Ridge,2026-05-20,A,3,603206_2026-05-20,603206,0.0752105027862558,0,-0.00410888546481758,-0.00410888546481758,0,0,1
Ridge,2026-05-21,A,1,605288_2026-05-21,605288,0.2129176043933375,0,0.042279411764706065,0.042279411764706065,0,0,1
Ridge,2026-05-21,A,2,000417_2026-05-21,000417,-0.0518913880619661,1,0.10102040816326507,0.07,1,0,0
Ridge,2026-05-21,A,3,603938_2026-05-21,603938,-0.0806316362517759,0,-0.04166666666666674,-0.04166666666666674,0,0,1
Ridge,2026-05-22,B,1,003004_2026-05-22,003004,0.0447902422116145,1,0.12680115273775217,0.07,1,0,0
Ridge,2026-05-25,B,1,600611_2026-05-25,600611,0.1517144431649957,0,-0.05942275042444811,-0.05942275042444811,0,0,1
Ridge,2026-05-25,B,2,002442_2026-05-25,002442,0.1352079641276925,0,0.002512562814070307,0.002512562814070307,0,0,1
Ridge,2026-05-25,B,3,000012_2026-05-25,000012,0.0135736473967365,0,0.06178489702517154,0.06178489702517154,1,1,1
Ridge,2026-05-26,A,1,000636_2026-05-26,000636,0.0854425198607607,1,0.15809523809523807,0.07,1,0,0
Ridge,2026-05-26,A,2,002980_2026-05-26,002980,0.0826742844089711,0,0.05747229979281143,0.05747229979281143,0,0,1
Ridge,2026-05-26,A,3,002938_2026-05-26,002938,0.082645426024624,0,-0.022413793103448265,-0.022413793103448265,0,0,1
Ridge,2026-05-27,A,1,002552_2026-05-27,002552,0.4018573799850748,1,0.22299651567944268,0.07,1,0,0
Ridge,2026-05-27,A,2,003036_2026-05-27,003036,0.2853597646554686,1,0.24476190476190474,0.07,1,0,0
Ridge,2026-05-27,A,3,002185_2026-05-27,002185,0.1349198659420118,0,0.06699751861042191,0.06699751861042191,0,0,1
Ridge,2026-05-28,A,1,002771_2026-05-28,002771,-0.0368370404818504,1,0.09433962264150941,0.07,1,0,0
Ridge,2026-05-28,A,2,002251_2026-05-28,002251,-0.2050135933254968,1,0.1685393258426966,0.07,1,0,0
Ridge,2026-05-28,A,3,001257_2026-05-28,001257,-0.211674463473648,0,-0.06767712372224188,-0.06767712372224188,0,0,1
Ridge,2026-05-29,B,1,603989_2026-05-29,603989,0.016049003359525,0,-0.032201914708442136,-0.032201914708442136,1,1,1
Ridge,2026-05-29,B,2,002579_2026-05-29,002579,-0.0724384649412552,1,0.1958525345622122,0.07,1,0,0
Ridge,2026-05-29,B,3,603032_2026-05-29,603032,-0.2591200672388972,0,0.0023781212841853527,0.0023781212841853527,1,1,1
Ridge,2026-06-01,B,1,000090_2026-06-01,000090,-0.0051230912551852,0,-0.02638522427440637,-0.02638522427440637,0,0,1
Ridge,2026-06-01,B,2,600110_2026-06-01,600110,-0.1038432324805896,0,0.0451559934318555,0.0451559934318555,1,1,1
Ridge,2026-06-01,B,3,002806_2026-06-01,002806,-0.1352038093708715,1,0.14932126696832593,0.07,1,0,0
Ridge,2026-06-02,B,1,002608_2026-06-02,002608,0.1295579713503293,1,0.09899999999999998,0.07,1,0,0
Ridge,2026-06-02,B,2,600011_2026-06-02,600011,-0.1597648096201113,0,0.02604756511891293,0.02604756511891293,1,1,1
Ridge,2026-06-03,B,1,600280_2026-06-03,600280,0.2528257341307337,0,-0.01253132832080206,-0.01253132832080206,0,0,1
Ridge,2026-06-03,B,2,002404_2026-06-03,002404,0.009600618469813,0,0.029931972789115635,0.029931972789115635,0,0,1
Ridge,2026-06-03,B,3,001210_2026-06-03,001210,-0.0215438223013476,0,-0.24455753463387053,-0.24455753463387053,0,0,1
Ridge,2026-06-04,C,1,600487_2026-06-04,600487,0.1913350270630112,0,0.06593749999999998,0.06593749999999998,1,1,1
Ridge,2026-06-04,C,2,603311_2026-06-04,603311,0.1370992836917758,0,0.02779234399580499,0.02779234399580499,1,1,1
