event_id,code,signal_date,stage_group,sample_role_v021,daily_d2open_to_d3high_return,audit_minute_d2open_to_d3high_return,target_return_daily_minus_minute,daily_d2open_to_d3close_return,audit_minute_d2open_to_d3close_return,close_return_daily_minus_minute,target7_daily_d2open_d3high,audit_minute_target7,target_label_daily_vs_minute_same,tail_loss_daily_5pct,audit_minute_tail_loss,tail_label_daily_vs_minute_same,d2_open_daily,audit_minute_d2_open,d2_open_daily_minus_minute,d3_high_daily,audit_minute_d3_high,d3_high_daily_minus_minute,d3_close_daily,audit_minute_d3_close,d3_close_daily_minus_minute,daily_label_quality_ok,daily_label_quality_reason,section,metric,value
000980_2026-05-06,000980,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,0.06666666666666687,0.0666666666666668,6.938893903907228e-17,0.03529411764705892,0.0352941176470589,2.0816681711721685e-17,False,False,True,False,False,True,2.55,2.55,0.0,2.72,2.72,0.0,2.64,2.64,0.0,True,ok,per_row,,
001266_2026-04-30,001266,2026-05-06,post,SENSITIVITY_MAY_COMPLETE,0.01836782143687521,0.0183678214368752,1.0408340855860843e-17,0.004882585445245224,0.0048825854452452,2.42861286636753e-17,False,False,True,False,False,True,43.01,43.01,0.0,43.8,43.8,0.0,43.22,43.22,0.0,True,ok,per_row,,
002645_2026-05-06,002645,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,0.05146778497903148,0.0514677849790314,8.326672684688674e-17,0.04384292794510092,0.0438429279451009,2.0816681711721685e-17,False,False,True,False,False,True,26.23,26.23,0.0,27.58,27.58,0.0,27.38,27.38,0.0,True,ok,per_row,,
600714_2026-05-06,600714,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,0.09748134328358216,0.0974813432835821,5.551115123125783e-17,0.0774253731343284,0.0774253731343284,0.0,True,True,True,False,False,True,21.44,21.44,0.0,23.53,23.53,0.0,23.1,23.1,0.0,True,ok,per_row,,
605099_2026-05-06,605099,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,0.06512477175897757,0.0651247717589775,6.938893903907228e-17,0.020693852708460136,0.0206938527084601,3.8163916471489756e-17,False,False,True,False,False,True,49.29,49.29,0.0,52.5,52.5,0.0,50.31,50.31,0.0,True,ok,per_row,,
000980_2026-05-06,000980,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,0.11969111969111967,0.1196911196911196,6.938893903907228e-17,0.06949806949806958,0.0694980694980695,8.326672684688674e-17,True,True,True,False,False,True,2.59,2.59,0.0,2.9,2.9,0.0,2.77,2.77,0.0,True,ok,per_row,,
001266_2026-04-30,001266,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,0.02813653136531369,0.0281365313653136,8.673617379884035e-17,0.005535055350553542,0.0055350553505535,4.163336342344337e-17,False,False,True,False,False,True,43.36,43.36,0.0,44.58,44.58,0.0,43.6,43.6,0.0,True,ok,per_row,,
002645_2026-05-06,002645,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,0.15402298850574714,0.1540229885057471,2.7755575615628914e-17,0.15287356321839063,0.1528735632183906,2.7755575615628914e-17,True,True,True,False,False,True,26.1,26.1,0.0,30.12,30.12,0.0,30.09,30.09,0.0,True,ok,per_row,,
600714_2026-05-06,600714,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,0.13538873994638068,0.1353887399463806,8.326672684688674e-17,0.10679177837354792,0.1067917783735479,1.3877787807814457e-17,True,True,True,False,False,True,22.38,22.38,0.0,25.41,25.41,0.0,24.77,24.77,0.0,True,ok,per_row,,
605099_2026-05-06,605099,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,0.03340624378604096,0.0334062437860409,5.551115123125783e-17,0.02207198250149145,0.0220719825014914,4.85722573273506e-17,False,False,True,False,False,True,50.29,50.29,0.0,51.97,51.97,0.0,51.4,51.4,0.0,True,ok,per_row,,
