model_head,factor,bucket,bucket_n,bucket_target7_rate,bucket_tail_rate,bucket_avg_close_return
d0_target,d1_close_to_ma5_raw,0,3,0.3333333333333333,0.3333333333333333,0.024474239756238237
d0_target,d1_close_to_ma5_raw,1,277,0.33212996389891697,0.27075812274368233,0.0005494375237604265
d0_target,ma5_gap_clipped,0,3,0.3333333333333333,0.3333333333333333,0.024474239756238237
d0_target,ma5_gap_clipped,1,277,0.33212996389891697,0.27075812274368233,0.0005494375237604265
d0_target,ma5_below_minus_2_hinge,0,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_target,ma5_above_5_hinge,0,56,0.35714285714285715,0.26785714285714285,0.012404410954751558
d0_target,ma5_above_5_hinge,1,224,0.32589285714285715,0.27232142857142855,-0.0020938843755166727
d0_target,ma5_above_10_hinge,0,160,0.375,0.25,0.00783246081868685
d0_target,ma5_above_10_hinge,1,120,0.275,0.3,-0.008563140146996195
d0_target,d1_true_reclaim_ma5,0,265,0.32452830188679244,0.2792452830188679,-0.0011611119708521286
d0_target,d1_true_reclaim_ma5,1,15,0.4666666666666667,0.13333333333333333,0.03555410570841111
d0_target,d1_close_to_ma5_bucket,above_plus_10pct,120,0.275,0.3,-0.008563140146996195
d0_target,d1_close_to_ma5_bucket,near_ma5,17,0.4117647058823529,0.17647058823529413,0.023119091565688706
d0_target,d1_close_to_ma5_bucket,plus_2_to_plus_5pct,39,0.3333333333333333,0.3076923076923077,0.007733909149984081
d0_target,d1_close_to_ma5_bucket,plus_5_to_plus_10pct,104,0.38461538461538464,0.2403846153846154,0.005370641514652007
d0_target,d1_open_to_close_return_raw,0,173,0.3815028901734104,0.26011560693641617,0.007431942889668948
d0_target,d1_open_to_close_return_raw,1,107,0.2523364485981308,0.2897196261682243,-0.00990756267815304
d0_target,d1_oc_return_clipped,0,173,0.3815028901734104,0.26011560693641617,0.007431942889668948
d0_target,d1_oc_return_clipped,1,107,0.2523364485981308,0.2897196261682243,-0.00990756267815304
d0_target,d1_repair_above_2_hinge,0,207,0.34782608695652173,0.2608695652173913,0.0062261660485103615
d0_target,d1_repair_above_2_hinge,1,73,0.2876712328767123,0.3013698630136986,-0.014564376146456056
d0_target,d1_repair_above_5_flag,0,243,0.3333333333333333,0.2716049382716049,0.001323867313889816
d0_target,d1_repair_above_5_flag,1,37,0.32432432432432434,0.2702702702702703,-0.002596833619591154
d0_target,d1_open_to_close_bucket,above_plus_5pct,37,0.32432432432432434,0.2702702702702703,-0.002596833619591154
d0_target,d1_open_to_close_bucket,below_minus_5pct,71,0.36619718309859156,0.2676056338028169,0.01177236592915061
d0_target,d1_open_to_close_bucket,minus_2_to_0pct,32,0.53125,0.1875,0.025026880736202364
d0_target,d1_open_to_close_bucket,minus_5_to_minus_2pct,67,0.3283582089552239,0.2835820895522388,-0.00457096518745778
d0_target,d1_open_to_close_bucket,plus_2_to_plus_5pct,36,0.25,0.3333333333333333,-0.026864350410178314
